scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  531.876ms ,  634.294ms ,  526.339ms ,  459.136ms ,  625.337ms ,  430.289ms ,  524.290ms ,    0.381ms ,    0.273ms ,    0.048ms ,    0.000ms ,    0.259ms ,    0.235ms ,    0.104ms ,    0.007ms ,    5.643ms ,    5.525ms ,   37.728ms ,   37.630ms ,  438.170ms ,  604.788ms ,  385.633ms ,  385.533ms ,   14.683ms ,   14.516ms ,    6.775ms ,    6.672ms
sublime         , simple_vbo                ,  158.243ms ,   50.801ms ,  157.022ms ,   42.857ms ,   42.785ms ,   93.605ms ,  156.973ms ,   17.728ms ,   17.676ms ,    0.030ms ,    0.000ms ,    8.896ms ,    8.873ms ,    0.064ms ,    0.004ms ,    3.063ms ,    3.043ms ,   23.087ms ,   23.026ms ,    1.432ms ,    1.429ms ,   64.962ms ,   64.902ms ,   11.738ms ,   11.764ms ,    5.462ms ,    5.402ms
sublime         , simple_vbo_stor           ,  131.946ms ,   54.797ms ,  132.331ms ,   45.790ms ,   45.701ms ,   72.341ms ,  130.633ms ,   19.581ms ,   19.522ms ,    0.024ms ,    0.000ms ,    8.645ms ,    8.620ms ,    0.052ms ,    0.003ms ,    3.323ms ,    3.304ms ,   18.451ms ,   18.401ms ,    1.534ms ,    1.527ms ,   52.106ms ,   52.058ms ,   12.707ms ,   12.728ms ,    1.707ms ,    1.659ms
sublime         , complete_vbo              ,  412.300ms ,  136.897ms ,  410.018ms ,  124.495ms ,  124.274ms ,  255.065ms ,  406.469ms ,   68.320ms ,   68.209ms ,    0.055ms ,    0.000ms ,   29.839ms ,   29.790ms ,    0.115ms ,    0.007ms ,    4.614ms ,    4.523ms ,   41.070ms ,   40.961ms ,    2.884ms ,    2.876ms ,  199.355ms ,  199.247ms ,   18.838ms ,   18.876ms ,   14.470ms ,   14.362ms
sublime         , one_ssbo                  ,  305.766ms ,   89.682ms ,  304.870ms ,   72.975ms ,   72.801ms ,  209.301ms ,  302.452ms ,   28.888ms ,   28.774ms ,    0.035ms ,    0.000ms ,    9.931ms ,    9.907ms ,    0.074ms ,    0.005ms ,    5.716ms ,    5.683ms ,   25.244ms ,   25.176ms ,    3.861ms ,    3.860ms ,  173.385ms ,  173.318ms ,   24.579ms ,   24.577ms ,   10.563ms ,   10.497ms
sublime         , ssbo_instr_list           ,  594.963ms ,   86.886ms ,  594.092ms ,   67.247ms ,   67.045ms ,  506.457ms ,  589.773ms ,   18.359ms ,   18.191ms ,    0.029ms ,    0.000ms ,    8.084ms ,    8.039ms ,    0.062ms ,    0.004ms ,    6.473ms ,    6.454ms ,   20.297ms ,   20.241ms ,    4.544ms ,    4.541ms ,  461.337ms ,  461.285ms ,   29.787ms ,   29.820ms ,   24.732ms ,   24.680ms
sublime         , ssbo_inlined_instr_6      ,  327.633ms ,   87.084ms ,  326.235ms ,   71.723ms ,   71.521ms ,  237.220ms ,  323.832ms ,   29.065ms ,   28.948ms ,    0.029ms ,    0.000ms ,    9.844ms ,    9.807ms ,    0.064ms ,    0.004ms ,    5.358ms ,    5.338ms ,   22.414ms ,   22.354ms ,    3.634ms ,    3.632ms ,  207.321ms ,  207.262ms ,   23.822ms ,   23.796ms ,    7.392ms ,    7.331ms
sublime         , ssbo_inlined_instr_4_4    ,  347.736ms ,   93.128ms ,  345.824ms ,   93.053ms ,   75.581ms ,  234.274ms ,  344.460ms ,   29.015ms ,   28.862ms ,    0.033ms ,    0.000ms ,    8.573ms ,    8.561ms ,    0.071ms ,    0.005ms ,   23.434ms ,    6.086ms ,   24.892ms ,   24.826ms ,    4.124ms ,    4.118ms ,  203.291ms ,  203.225ms ,   27.907ms ,   27.954ms ,    5.986ms ,    5.919ms
sublime         , ssbo_inlined_instr_6_6    ,  424.701ms ,  106.473ms ,  422.595ms ,   86.860ms ,   86.770ms ,  309.581ms ,  420.415ms ,   33.550ms ,   33.440ms ,    0.038ms ,    0.000ms ,   11.304ms ,   11.257ms ,    0.082ms ,    0.005ms ,    6.645ms ,    6.619ms ,   28.815ms ,   28.738ms ,    4.549ms ,    4.533ms ,  268.638ms ,  268.562ms ,   30.812ms ,   30.921ms ,   12.008ms ,   11.931ms
sublime         , ssbo_inlined_instr_8_8    ,  398.543ms ,   98.933ms ,  397.203ms ,   80.962ms ,   80.825ms ,  295.442ms ,  394.665ms ,   32.685ms ,   32.583ms ,    0.034ms ,    0.000ms ,   11.446ms ,   11.399ms ,    0.073ms ,    0.004ms ,    5.759ms ,    5.730ms ,   25.094ms ,   25.026ms ,    4.054ms ,    4.038ms ,  255.779ms ,  255.714ms ,   27.018ms ,   27.075ms ,   14.462ms ,   14.395ms
sublime         , ssbo_inlined_instr_10_10  ,  564.787ms ,  114.861ms , 18446744072838.148ms ,   95.586ms ,   95.463ms , 18446744072719.773ms ,  559.816ms ,   36.357ms ,   36.263ms ,    0.044ms ,    0.000ms ,   17.943ms ,   17.877ms ,    0.095ms ,    0.006ms ,    6.557ms ,    6.529ms ,   33.185ms ,   33.097ms ,    4.488ms ,    4.478ms , 18446744072658.574ms ,  380.592ms ,   30.241ms ,   30.316ms ,   27.871ms ,   27.783ms
sublime         , ssbo_inlined_instr_20_20  ,  541.797ms ,  121.572ms ,  538.260ms ,  102.596ms ,  102.327ms ,  418.980ms ,  535.984ms ,   40.687ms ,   40.574ms ,    0.031ms ,    0.000ms ,   21.499ms ,   21.401ms ,    0.066ms ,    0.004ms ,    6.158ms ,    6.122ms ,   22.735ms ,   22.674ms ,    4.250ms ,    4.252ms ,  384.540ms ,  384.481ms ,   30.002ms ,   29.978ms ,   11.608ms ,   11.549ms
sublime         , ssbo_inlined_instr_4_6    ,  469.494ms ,  110.882ms ,  463.059ms ,   90.526ms ,   90.374ms ,  353.834ms ,  464.800ms ,   34.319ms ,   34.193ms ,    0.040ms ,    0.000ms ,    9.555ms ,    9.509ms ,    0.084ms ,    0.006ms ,    6.713ms ,    6.660ms ,   29.385ms ,   29.306ms ,    4.554ms ,    4.544ms ,  309.457ms ,  309.378ms ,   35.385ms ,   35.468ms ,   14.869ms ,   14.790ms
sublime         , ssbo_inlined_instr_4_8    ,  817.358ms ,  112.730ms ,  814.800ms ,   91.205ms ,   90.885ms ,  701.336ms ,  809.669ms ,   34.985ms ,   34.768ms ,    0.039ms ,    0.000ms ,   10.359ms ,   10.290ms ,    0.081ms ,    0.005ms ,    7.209ms ,    7.150ms ,   28.695ms ,   28.618ms ,    4.793ms ,    4.786ms ,  622.941ms ,  622.864ms ,   33.859ms ,   33.891ms ,   49.580ms ,   49.504ms
sublime         , ssbo_inlined_instr_4_10   ,  560.766ms ,  102.974ms ,  557.656ms ,   83.074ms ,   82.837ms ,  459.557ms ,  555.703ms ,   31.725ms ,   31.596ms ,    0.027ms ,    0.000ms ,    9.190ms ,    9.102ms ,    0.058ms ,    0.003ms ,    6.556ms ,    6.541ms ,   19.737ms ,   19.684ms ,    4.402ms ,    4.393ms ,  425.563ms ,  425.510ms ,   31.201ms ,   31.205ms ,   14.172ms ,   14.121ms
