scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  509.911ms ,  632.400ms ,    0.000ms ,  505.645ms ,  628.232ms ,    0.000ms ,  506.230ms ,    0.138ms ,    0.123ms ,    0.000ms ,    0.000ms ,    0.172ms ,    0.179ms ,    0.000ms ,    0.000ms ,    5.941ms ,    5.755ms ,    0.000ms ,    0.000ms ,  444.939ms ,  608.772ms ,    0.000ms ,    0.000ms ,   54.455ms ,   13.403ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,  150.992ms ,   82.676ms ,    0.000ms ,  145.159ms ,   76.957ms ,    0.000ms ,  149.849ms ,   37.086ms ,   37.111ms ,    0.000ms ,    0.000ms ,   11.638ms ,   11.591ms ,    0.000ms ,    0.000ms ,    7.701ms ,    4.453ms ,    0.000ms ,    0.000ms ,    2.173ms ,    2.149ms ,    0.000ms ,    0.000ms ,   86.561ms ,   21.653ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,  121.664ms ,   71.852ms ,    0.000ms ,  116.755ms ,   67.046ms ,    0.000ms ,  120.629ms ,   32.282ms ,   32.303ms ,    0.000ms ,    0.000ms ,   10.458ms ,   10.428ms ,    0.000ms ,    0.000ms ,    4.209ms ,    3.755ms ,    0.000ms ,    0.000ms ,    1.852ms ,    1.847ms ,    0.000ms ,    0.000ms ,   67.954ms ,   18.713ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,  167.331ms ,  125.572ms ,    0.000ms ,  163.292ms ,  121.664ms ,    0.000ms ,  165.816ms ,   67.885ms ,   67.961ms ,    0.000ms ,    0.000ms ,   30.291ms ,   30.291ms ,    0.000ms ,    0.000ms ,    3.406ms ,    3.311ms ,    0.000ms ,    0.000ms ,    2.252ms ,    2.244ms ,    0.000ms ,    0.000ms ,   59.458ms ,   17.857ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,  196.634ms ,   76.493ms ,    0.000ms ,  190.816ms ,   70.804ms ,    0.000ms ,  195.277ms ,   25.846ms ,   25.738ms ,    0.000ms ,    0.000ms ,   11.045ms ,   10.998ms ,    0.000ms ,    0.000ms ,    5.360ms ,    4.565ms ,    0.000ms ,    0.000ms ,    3.553ms ,    3.530ms ,    0.000ms ,    0.000ms ,  145.012ms ,   25.973ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,  503.102ms ,   82.085ms ,    0.000ms ,  495.902ms ,   75.055ms ,    0.000ms ,  497.964ms ,   25.103ms ,   24.384ms ,    0.000ms ,    0.000ms ,    9.168ms ,    8.892ms ,    0.000ms ,    0.000ms ,    5.629ms ,    5.545ms ,    0.000ms ,    0.000ms ,    4.594ms ,    4.522ms ,    0.000ms ,    0.000ms ,  451.408ms ,   31.712ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,  240.171ms ,   81.698ms ,    0.000ms ,  234.245ms ,   75.900ms ,    0.000ms ,  237.554ms ,   30.845ms ,   30.856ms ,    0.000ms ,    0.000ms ,   10.786ms ,   10.682ms ,    0.000ms ,    0.000ms ,    7.649ms ,    4.692ms ,    0.000ms ,    0.000ms ,    3.779ms ,    3.749ms ,    0.000ms ,    0.000ms ,  181.186ms ,   25.921ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,  217.972ms ,   74.116ms ,    0.000ms ,  212.296ms ,   68.532ms ,    0.000ms ,  215.924ms ,   27.482ms ,   27.557ms ,    0.000ms ,    0.000ms ,    8.451ms ,    8.388ms ,    0.000ms ,    0.000ms ,    4.430ms ,    4.370ms ,    0.000ms ,    0.000ms ,    3.280ms ,    3.272ms ,    0.000ms ,    0.000ms ,  168.653ms ,   24.945ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,  238.334ms ,   86.792ms ,    0.000ms ,  231.342ms ,   79.930ms ,    0.000ms ,  236.003ms ,   35.059ms ,   35.091ms ,    0.000ms ,    0.000ms ,    9.812ms ,    9.626ms ,    0.000ms ,    0.000ms ,    4.862ms ,    4.744ms ,    0.000ms ,    0.000ms ,    3.430ms ,    3.428ms ,    0.000ms ,    0.000ms ,  178.179ms ,   27.041ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,  284.568ms ,   89.937ms ,    0.000ms ,  278.153ms ,   83.627ms ,    0.000ms ,  282.060ms ,   34.405ms ,   34.159ms ,    0.000ms ,    0.000ms ,   12.027ms ,   11.893ms ,    0.000ms ,    0.000ms ,   29.279ms ,    5.198ms ,    0.000ms ,    0.000ms ,    3.740ms ,    3.737ms ,    0.000ms ,    0.000ms ,  198.702ms ,   28.640ms ,    0.000ms ,    0.000ms
