scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   22.958ms ,   18.933ms ,   17.294ms ,   18.933ms ,   18.733ms ,   17.008ms ,    0.006ms ,    0.000ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.003ms ,    0.002ms ,    0.000ms ,    0.650ms ,    0.650ms ,    0.694ms ,    0.692ms ,   17.918ms ,   17.797ms ,   13.967ms ,   13.965ms ,    0.362ms ,    0.283ms ,    2.345ms ,    2.343ms
sublime         , simple_vbo                ,    2.775ms ,    0.793ms ,    1.895ms ,    0.730ms ,    0.730ms ,    1.579ms ,    0.005ms ,    0.100ms ,    0.100ms ,    0.000ms ,    0.000ms ,    0.469ms ,    0.469ms ,    0.001ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.209ms ,    0.208ms ,    0.020ms ,    0.020ms ,    0.620ms ,    0.620ms ,    0.134ms ,    0.134ms ,    0.749ms ,    0.749ms
sublime         , simple_vbo_stor           ,    4.216ms ,    0.422ms ,    3.784ms ,    0.350ms ,    0.351ms ,    3.355ms ,    0.005ms ,    0.101ms ,    0.101ms ,    0.000ms ,    0.000ms ,    0.060ms ,    0.061ms ,    0.001ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.331ms ,    0.330ms ,    0.016ms ,    0.016ms ,    0.983ms ,    0.982ms ,    0.166ms ,    0.166ms ,    2.040ms ,    2.039ms
sublime         , complete_vbo              ,    4.752ms ,    1.207ms ,    3.524ms ,    1.139ms ,    1.140ms ,    3.190ms ,    0.005ms ,    0.281ms ,    0.282ms ,    0.001ms ,    0.000ms ,    0.684ms ,    0.684ms ,    0.001ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.338ms ,    0.337ms ,    0.025ms ,    0.024ms ,    1.694ms ,    1.693ms ,    0.142ms ,    0.143ms ,    1.157ms ,    1.156ms
sublime         , one_ssbo                  ,    6.199ms ,    0.398ms ,    5.756ms ,    0.336ms ,    0.336ms ,    5.594ms ,    0.005ms ,    0.072ms ,    0.073ms ,    0.001ms ,    0.000ms ,    0.056ms ,    0.055ms ,    0.002ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.500ms ,    0.499ms ,    0.024ms ,    0.025ms ,    3.580ms ,    3.579ms ,    0.177ms ,    0.176ms ,    1.512ms ,    1.510ms
sublime         , ssbo_instr_list           ,   17.235ms ,    0.382ms ,   18.054ms ,    0.296ms ,    0.296ms ,   16.571ms ,    0.004ms ,    0.055ms ,    0.055ms ,    0.001ms ,    0.000ms ,    0.026ms ,    0.025ms ,    0.002ms ,    0.000ms ,    0.006ms ,    0.007ms ,    0.544ms ,    0.543ms ,    0.024ms ,    0.024ms ,   12.941ms ,   12.939ms ,    0.185ms ,    0.185ms ,    3.084ms ,    3.083ms
sublime         , ssbo_inlined_instr_6      ,    9.226ms ,    0.463ms ,    8.742ms ,    0.390ms ,    0.390ms ,    8.375ms ,    0.006ms ,    0.076ms ,    0.077ms ,    0.001ms ,    0.000ms ,    0.057ms ,    0.057ms ,    0.002ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.560ms ,    0.558ms ,    0.026ms ,    0.025ms ,    5.673ms ,    5.672ms ,    0.224ms ,    0.224ms ,    2.140ms ,    2.138ms
sublime         , ssbo_inlined_instr_4_4    ,    9.091ms ,    0.856ms ,    8.206ms ,    0.788ms ,    0.788ms ,    7.801ms ,    0.005ms ,    0.090ms ,    0.091ms ,    0.001ms ,    0.000ms ,    0.031ms ,    0.030ms ,    0.002ms ,    0.000ms ,    0.008ms ,    0.008ms ,    0.570ms ,    0.567ms ,    0.024ms ,    0.024ms ,    5.022ms ,    5.021ms ,    0.635ms ,    0.635ms ,    2.206ms ,    2.205ms
sublime         , ssbo_inlined_instr_6_6    ,   10.474ms ,    0.682ms ,    9.742ms ,    0.616ms ,    0.616ms ,    9.542ms ,    0.005ms ,    0.092ms ,    0.092ms ,    0.001ms ,    0.000ms ,    0.031ms ,    0.031ms ,    0.002ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.674ms ,    0.673ms ,    0.025ms ,    0.025ms ,    6.586ms ,    6.584ms ,    0.461ms ,    0.461ms ,    2.279ms ,    2.277ms
sublime         , ssbo_inlined_instr_8_8    ,    9.365ms ,    0.871ms ,    8.409ms ,    0.799ms ,    0.800ms ,    8.225ms ,    0.006ms ,    0.094ms ,    0.094ms ,    0.001ms ,    0.000ms ,    0.039ms ,    0.039ms ,    0.002ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.696ms ,    0.694ms ,    0.025ms ,    0.026ms ,    6.864ms ,    6.863ms ,    0.634ms ,    0.634ms ,    0.662ms ,    0.661ms
