scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,    18933us ,    18733us , 17008.250us ,        6us ,        0us ,        0us ,    0.917us ,    0.000us ,        3us ,        3us ,    2.000us ,    0.083us ,      650us ,      650us ,  694.000us ,  692.083us ,    17918us ,    17797us , 13966.833us , 13964.916us ,      362us ,      283us , 2344.500us , 2342.666us
sublime         , simple_vbo                ,     1 ,      730us ,      730us , 1579.167us ,        5us ,      100us ,      100us ,    0.250us ,    0.000us ,      469us ,      469us ,    0.583us ,    0.083us ,        7us ,        7us ,  208.834us ,  208.333us ,       20us ,       20us ,  620.083us ,  619.583us ,      134us ,      134us ,  749.417us ,  748.833us
sublime         , simple_vbo_stor           ,     1 ,      350us ,      351us , 3355.334us ,        5us ,      101us ,      101us ,    0.417us ,    0.000us ,       60us ,       61us ,    1.000us ,    0.000us ,        7us ,        7us ,  331.083us ,  330.250us ,       16us ,       16us ,  982.667us ,  981.750us ,      166us ,      166us , 2040.167us , 2039.166us
sublime         , complete_vbo              ,     1 ,     1139us ,     1140us , 3190.000us ,        5us ,      281us ,      282us ,    0.500us ,    0.000us ,      684us ,      684us ,    0.916us ,    0.083us ,        7us ,        7us ,  338.334us ,  337.416us ,       25us ,       24us , 1693.666us , 1692.666us ,      142us ,      143us , 1156.584us , 1155.666us
sublime         , one_ssbo                  ,     1 ,      336us ,      336us , 5594.333us ,        5us ,       72us ,       73us ,    0.666us ,    0.000us ,       56us ,       55us ,    1.500us ,    0.083us ,        7us ,        7us ,  500.167us ,  498.833us ,       24us ,       25us , 3580.167us , 3578.833us ,      177us ,      176us , 1511.833us , 1510.500us
sublime         , ssbo_instr_list           ,     1 ,      296us ,      296us , 16570.833us ,        4us ,       55us ,       55us ,    0.750us ,    0.000us ,       26us ,       25us ,    1.583us ,    0.083us ,        6us ,        7us ,  544.000us ,  542.583us ,       24us ,       24us , 12940.667us , 12939.166us ,      185us ,      185us , 3083.833us , 3082.500us
sublime         , ssbo_inlined_instr_6      ,     1 ,      390us ,      390us , 8375.083us ,        6us ,       76us ,       77us ,    0.666us ,    0.000us ,       57us ,       57us ,    1.584us ,    0.083us ,        7us ,        7us ,  559.666us ,  558.166us ,       26us ,       25us , 5673.334us , 5671.833us ,      224us ,      224us , 2139.833us , 2138.250us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      788us ,      788us , 7801.416us ,        5us ,       90us ,       91us ,    0.750us ,    0.000us ,       31us ,       30us ,    1.666us ,    0.083us ,        8us ,        8us ,  570.334us ,  566.500us ,       24us ,       24us , 5022.250us , 5020.666us ,      635us ,      635us , 2206.416us , 2204.833us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      616us ,      616us , 9542.167us ,        5us ,       92us ,       92us ,    0.917us ,    0.000us ,       31us ,       31us ,    1.917us ,    0.083us ,        7us ,        7us ,  674.500us ,  672.750us ,       25us ,       25us , 6585.583us , 6583.833us ,      461us ,      461us , 2279.250us , 2277.416us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      799us ,      800us , 8224.834us ,        6us ,       94us ,       94us ,    0.917us ,    0.000us ,       39us ,       39us ,    2.000us ,    0.166us ,        7us ,        7us ,  696.167us ,  694.333us ,       25us ,       26us , 6863.916us , 6862.750us ,      634us ,      634us ,  661.834us ,  661.333us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,     1894us ,     1893us , 3342.834us ,        5us ,      101us ,      101us ,    0.250us ,    0.000us ,      913us ,      913us ,    0.584us ,    0.083us ,        8us ,        7us ,  215.916us ,  215.416us ,       27us ,       27us , 2291.667us , 2291.166us ,      845us ,      845us ,  834.417us ,  833.916us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,     1493us ,     1493us , 7172.917us ,        5us ,      114us ,      114us ,    0.500us ,    0.000us ,      410us ,      410us ,    0.917us ,    0.083us ,        8us ,        8us ,  321.917us ,  321.000us ,       26us ,       26us , 5630.166us , 5629.333us ,      935us ,      935us , 1219.417us , 1218.583us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,     1840us ,     1840us , 5023.500us ,        4us ,       82us ,       81us ,    0.417us ,    0.000us ,       32us ,       32us ,    0.916us ,    0.083us ,        7us ,        8us ,  330.084us ,  329.166us ,       24us ,       23us , 3558.333us , 3557.416us ,     1695us ,     1696us , 1133.750us , 1132.833us
sublime         , ssbo_inlined_instr_4_8    ,     1 ,      724us ,      725us , 10921.666us ,        5us ,       82us ,       82us ,    0.666us ,    0.000us ,       34us ,       35us ,    1.334us ,    0.083us ,        7us ,        7us ,  481.000us ,  479.666us ,       24us ,       24us , 9675.500us , 9674.583us ,      577us ,      577us ,  763.166us ,  762.666us
sublime         , ssbo_inlined_instr_4_10   ,     1 ,      907us ,      907us , 5327.583us ,        5us ,       80us ,       81us ,    0.250us ,    0.000us ,       36us ,       36us ,    0.583us ,    0.000us ,        7us ,        6us ,  230.250us ,  229.666us ,       25us ,       25us , 4428.917us , 4428.416us ,      759us ,      759us ,  667.583us ,  667.083us
sublime         , ssbo_inlined_instr_4_20   ,     1 ,     1082us ,     1082us , 16390.584us ,        5us ,       84us ,       85us ,    0.250us ,    0.000us ,       25us ,       24us ,    0.584us ,    0.083us ,        6us ,        6us ,  211.416us ,  210.916us ,       27us ,       27us , 13869.917us , 13869.416us ,      940us ,      940us , 2308.417us , 2307.750us
sublime         , ssbo_inlined_instr_6_4    ,     1 ,     2061us ,     2062us , 2792.750us ,        5us ,       93us ,       93us ,    0.250us ,    0.000us ,       42us ,       43us ,    0.667us ,    0.000us ,        6us ,        5us ,  216.750us ,  216.250us ,       20us ,       21us , 1794.916us , 1794.416us ,     1900us ,     1900us ,  780.167us ,  779.666us
sublime         , ssbo_inlined_instr_8_4    ,     1 ,      673us ,      673us , 3429.750us ,        5us ,       93us ,       93us ,    0.333us ,    0.000us ,       39us ,       39us ,    0.750us ,    0.083us ,        7us ,        7us ,  277.500us ,  276.833us ,       24us ,       24us , 2254.417us , 2253.750us ,      510us ,      510us ,  896.750us ,  895.916us
sublime         , ssbo_inlined_instr_10_4   ,     1 ,      666us ,      665us , 8620.167us ,        5us ,       96us ,       96us ,    0.917us ,    0.000us ,       48us ,       48us ,    2.000us ,    0.166us ,        8us ,        7us ,  711.250us ,  709.416us ,       25us ,       25us , 5816.917us , 5815.166us ,      489us ,      489us , 2089.083us , 2087.333us
sublime         , ssbo_inlined_instr_20_4   ,     1 ,      638us ,      639us , 8503.417us ,        5us ,      126us ,      126us ,    0.917us ,    0.000us ,       50us ,       50us ,    2.000us ,    0.083us ,        8us ,        8us ,  711.500us ,  709.583us ,       24us ,       24us , 5780.167us , 5778.333us ,      430us ,      431us , 2008.833us , 2007.000us
sublime         , ssbo_instr_combo_4        ,     1 ,      590us ,      590us , 7976.333us ,        6us ,       72us ,       72us ,    0.917us ,    0.000us ,       28us ,       28us ,    2.000us ,    0.166us ,        7us ,        7us ,  731.750us ,  729.833us ,       26us ,       26us , 5986.583us , 5984.750us ,      457us ,      457us , 1255.083us , 1253.166us
sublime         , ssbo_instr_combo_6        ,     1 ,      568us ,      568us , 7266.166us ,        4us ,       56us ,       55us ,    0.916us ,    0.000us ,       23us ,       23us ,    2.000us ,    0.166us ,        7us ,        7us ,  711.334us ,  709.500us ,       25us ,       26us , 6538.250us , 6536.416us ,      457us ,      457us ,   13.666us ,   11.833us
sublime         , ssbo_instr_combo_8        ,     1 ,      756us ,      757us , 10136.000us ,        5us ,       58us ,       58us ,    0.917us ,    0.000us ,       27us ,       28us ,    2.000us ,    0.166us ,        8us ,        8us ,  710.000us ,  708.166us ,       26us ,       26us , 7344.833us , 7343.000us ,      637us ,      637us , 2078.250us , 2076.500us
sublime         , ssbo_instr_combo_10       ,     1 ,      961us ,      962us , 11225.000us ,        6us ,       83us ,       84us ,    0.917us ,    0.000us ,       24us ,       23us ,    2.000us ,    0.166us ,        7us ,        8us ,  710.833us ,  709.000us ,       28us ,       28us , 8191.250us , 8189.416us ,      819us ,      819us , 2320.000us , 2318.166us
sublime         , ssbo_instr_combo_20       ,     1 ,     1175us ,     1175us , 17199.250us ,        5us ,       69us ,       69us ,    0.917us ,    0.000us ,       25us ,       25us ,    2.000us ,    0.166us ,        8us ,        8us ,  711.500us ,  709.666us ,       28us ,       28us , 12332.000us , 12330.166us ,     1045us ,     1045us , 4152.833us , 4151.000us
