scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  495.872ms ,  626.744ms ,  494.878ms ,  475.380ms ,  623.110ms ,  298.736ms ,  491.008ms ,    0.051ms ,    0.037ms ,    0.050ms ,    0.000ms ,    0.036ms ,    0.049ms ,    0.124ms ,    0.024ms ,    1.261ms ,    2.671ms ,    0.766ms ,    0.711ms ,  468.946ms ,  610.776ms ,  294.483ms ,   67.637ms ,    5.086ms ,    9.577ms ,    3.313ms ,    1.836ms
sublime         , simple_vbo                ,   34.216ms ,   18.767ms ,   31.028ms ,   15.306ms ,   15.537ms ,   15.794ms ,   33.957ms ,    5.769ms ,    5.878ms ,    0.029ms ,    0.000ms ,    3.463ms ,    3.467ms ,    0.073ms ,    0.014ms ,    0.446ms ,    0.433ms ,    0.730ms ,    0.698ms ,    0.205ms ,    0.207ms ,   13.513ms ,   13.490ms ,    5.423ms ,    5.552ms ,    1.449ms ,    0.922ms
sublime         , simple_vbo_stor           ,   29.053ms ,   15.628ms ,   28.869ms ,   12.505ms ,   12.643ms ,   13.949ms ,   28.795ms ,    5.672ms ,    5.671ms ,    0.018ms ,    0.000ms ,    2.835ms ,    2.843ms ,    3.602ms ,    3.564ms ,    0.483ms ,    0.477ms ,    0.177ms ,    0.158ms ,    0.201ms ,    0.203ms ,    8.814ms ,    8.802ms ,    3.314ms ,    3.449ms ,    1.337ms ,    0.612ms
sublime         , complete_vbo              ,   86.847ms ,   41.019ms ,   83.287ms ,   37.730ms ,   38.213ms ,   45.424ms ,   86.031ms ,   20.033ms ,   20.400ms ,    0.042ms ,    0.000ms ,   10.720ms ,   10.709ms ,    0.107ms ,    0.021ms ,    0.498ms ,    0.505ms ,    0.669ms ,    0.621ms ,    0.330ms ,    0.327ms ,   42.627ms ,   42.583ms ,    6.149ms ,    6.272ms ,    1.979ms ,    1.380ms
sublime         , one_ssbo                  ,   30.946ms ,   12.748ms ,   30.616ms ,    9.681ms ,   10.022ms ,   18.876ms ,   30.683ms ,    3.027ms ,    3.039ms ,    0.018ms ,    0.000ms ,    2.385ms ,    2.374ms ,    0.047ms ,    0.009ms ,    0.446ms ,    0.442ms ,    0.260ms ,    0.240ms ,    0.339ms ,    0.338ms ,   17.530ms ,   17.518ms ,    3.484ms ,    3.829ms ,    1.020ms ,    0.594ms
sublime         , ssbo_instr_list           ,   43.292ms ,   12.227ms ,   41.175ms ,    9.220ms ,    9.482ms ,   31.711ms ,   42.885ms ,    2.232ms ,    2.231ms ,    0.015ms ,    0.000ms ,    0.933ms ,    0.937ms ,    0.036ms ,    0.007ms ,    0.486ms ,    0.487ms ,    0.211ms ,    0.196ms ,    0.355ms ,    0.346ms ,   30.474ms ,   30.466ms ,    5.214ms ,    5.481ms ,    0.976ms ,    0.472ms
sublime         , ssbo_inlined_instr_6      ,   35.245ms ,   17.994ms ,   31.753ms ,   14.918ms ,   15.252ms ,   18.054ms ,   34.938ms ,    5.194ms ,    5.202ms ,    0.015ms ,    0.000ms ,    2.331ms ,    2.326ms ,    0.039ms ,    0.008ms ,    0.465ms ,    0.461ms ,    0.220ms ,    0.204ms ,    0.350ms ,    0.351ms ,   16.905ms ,   16.897ms ,    6.578ms ,    6.912ms ,    0.875ms ,    0.501ms
sublime         , ssbo_inlined_instr_4_4    ,   31.585ms ,   14.551ms ,   29.597ms ,   11.530ms ,   11.835ms ,   17.664ms ,   31.319ms ,    3.727ms ,    3.727ms ,    0.017ms ,    0.000ms ,    1.854ms ,    1.849ms ,    0.044ms ,    0.009ms ,    0.452ms ,    0.458ms ,    0.243ms ,    0.224ms ,    0.340ms ,    0.341ms ,   16.427ms ,   16.416ms ,    5.157ms ,    5.460ms ,    0.933ms ,    0.560ms
sublime         , ssbo_inlined_instr_6_6    ,   37.991ms ,   16.694ms ,   34.662ms ,   13.606ms ,   13.835ms ,   21.891ms ,   37.686ms ,    3.798ms ,    3.806ms ,    0.019ms ,    0.000ms ,    2.291ms ,    2.292ms ,    0.047ms ,    0.009ms ,    0.489ms ,    0.483ms ,    0.262ms ,    0.242ms ,    0.350ms ,    0.340ms ,   20.560ms ,   20.547ms ,    6.678ms ,    6.914ms ,    1.002ms ,    0.615ms
sublime         , ssbo_inlined_instr_8_8    ,   44.348ms ,   19.503ms ,   40.003ms ,   15.685ms ,   16.009ms ,   26.254ms ,   44.032ms ,    3.951ms ,    3.965ms ,    0.022ms ,    0.000ms ,    2.877ms ,    2.881ms ,    0.054ms ,    0.011ms ,    0.470ms ,    0.460ms ,    0.289ms ,    0.266ms ,    0.352ms ,    0.344ms ,   24.564ms ,   24.548ms ,    8.035ms ,    8.359ms ,    1.325ms ,    0.694ms
sublime         , ssbo_inlined_instr_10_10  ,   56.886ms ,   27.535ms ,   51.450ms ,   22.346ms ,   22.897ms ,   31.225ms ,   56.411ms ,    7.221ms ,    7.224ms ,    0.022ms ,    0.000ms ,    3.573ms ,    3.576ms ,    0.056ms ,    0.011ms ,    0.828ms ,    0.821ms ,    0.634ms ,    0.610ms ,    0.591ms ,    0.597ms ,   29.291ms ,   29.274ms ,   10.133ms ,   10.679ms ,    1.222ms ,    0.726ms
sublime         , ssbo_inlined_instr_20_20  ,   92.809ms ,   41.112ms ,   71.894ms ,   43.012ms ,   36.087ms ,   46.167ms ,   92.214ms ,    9.077ms ,    9.080ms ,    0.023ms ,    0.000ms ,    6.363ms ,    6.375ms ,    0.059ms ,    0.012ms ,    0.959ms ,    0.947ms ,    0.348ms ,    0.323ms ,    0.707ms ,    0.699ms ,   44.186ms ,   44.170ms ,   25.906ms ,   18.986ms ,    1.551ms ,    0.819ms
