scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  481.649ms ,  646.953ms ,    0.000ms ,  480.365ms ,  645.630ms ,    0.000ms ,  476.959ms ,    0.041ms ,    0.036ms ,    0.000ms ,    0.000ms ,    0.043ms ,    0.043ms ,    0.000ms ,    0.000ms ,    1.459ms ,    2.931ms ,    0.000ms ,    0.000ms ,  472.476ms ,  631.307ms ,    0.000ms ,    0.000ms ,    6.346ms ,   11.313ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   30.795ms ,   17.937ms ,    0.000ms ,   30.028ms ,   17.182ms ,    0.000ms ,   30.662ms ,    5.933ms ,    6.085ms ,    0.000ms ,    0.000ms ,    2.778ms ,    2.885ms ,    0.000ms ,    0.000ms ,    0.490ms ,    0.479ms ,    0.000ms ,    0.000ms ,    0.220ms ,    0.220ms ,    0.000ms ,    0.000ms ,   20.607ms ,    7.513ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   17.710ms ,   14.905ms ,    0.000ms ,   16.977ms ,   14.187ms ,    0.000ms ,   17.549ms ,    5.720ms ,    5.715ms ,    0.000ms ,    0.000ms ,    3.834ms ,    3.844ms ,    0.000ms ,    0.000ms ,    0.424ms ,    0.419ms ,    0.000ms ,    0.000ms ,    0.209ms ,    0.209ms ,    0.000ms ,    0.000ms ,    6.790ms ,    4.000ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   40.838ms ,   41.201ms ,    0.000ms ,   39.734ms ,   40.101ms ,    0.000ms ,   40.478ms ,   20.529ms ,   21.001ms ,    0.000ms ,    0.000ms ,   11.223ms ,   11.229ms ,    0.000ms ,    0.000ms ,    0.545ms ,    0.533ms ,    0.000ms ,    0.000ms ,    0.372ms ,    0.376ms ,    0.000ms ,    0.000ms ,    7.065ms ,    6.962ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   20.026ms ,   11.970ms ,    0.000ms ,   19.255ms ,   11.197ms ,    0.000ms ,   19.835ms ,    3.154ms ,    3.149ms ,    0.000ms ,    0.000ms ,    2.419ms ,    2.410ms ,    0.000ms ,    0.000ms ,    0.449ms ,    0.452ms ,    0.000ms ,    0.000ms ,    0.376ms ,    0.386ms ,    0.000ms ,    0.000ms ,   12.857ms ,    4.800ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   38.133ms ,   12.345ms ,    0.000ms ,   37.293ms ,   11.503ms ,    0.000ms ,   37.769ms ,    2.461ms ,    2.466ms ,    0.000ms ,    0.000ms ,    1.255ms ,    1.319ms ,    0.000ms ,    0.000ms ,    0.486ms ,    0.480ms ,    0.000ms ,    0.000ms ,    0.444ms ,    0.443ms ,    0.000ms ,    0.000ms ,   32.647ms ,    6.795ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   24.502ms ,   23.005ms ,    0.000ms ,   23.173ms ,   21.695ms ,    0.000ms ,   24.285ms ,    8.716ms ,    8.726ms ,    0.000ms ,    0.000ms ,    2.555ms ,    2.557ms ,    0.000ms ,    0.000ms ,    0.759ms ,    0.747ms ,    0.000ms ,    0.000ms ,    0.664ms ,    0.669ms ,    0.000ms ,    0.000ms ,   10.479ms ,    8.996ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   21.943ms ,   19.878ms ,    0.000ms ,   20.626ms ,   18.571ms ,    0.000ms ,   21.747ms ,    6.548ms ,    6.553ms ,    0.000ms ,    0.000ms ,    2.396ms ,    2.400ms ,    0.000ms ,    0.000ms ,    0.849ms ,    0.836ms ,    0.000ms ,    0.000ms ,    0.647ms ,    0.664ms ,    0.000ms ,    0.000ms ,   10.186ms ,    8.118ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   30.140ms ,   22.829ms ,    0.000ms ,   28.805ms ,   21.501ms ,    0.000ms ,   29.919ms ,    6.718ms ,    6.726ms ,    0.000ms ,    0.000ms ,    2.551ms ,    2.554ms ,    0.000ms ,    0.000ms ,    0.840ms ,    0.822ms ,    0.000ms ,    0.000ms ,    0.657ms ,    0.655ms ,    0.000ms ,    0.000ms ,   18.039ms ,   10.744ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   39.711ms ,   25.026ms ,    0.000ms ,   38.375ms ,   23.702ms ,    0.000ms ,   39.482ms ,    6.969ms ,    6.982ms ,    0.000ms ,    0.000ms ,    3.125ms ,    3.112ms ,    0.000ms ,    0.000ms ,    0.766ms ,    0.760ms ,    0.000ms ,    0.000ms ,    0.652ms ,    0.659ms ,    0.000ms ,    0.000ms ,   26.863ms ,   12.189ms ,    0.000ms ,    0.000ms
