scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   16.658ms ,   55.330ms ,   12.085ms ,   16.543ms ,   54.937ms ,   11.815ms ,    0.006ms ,    0.001ms ,    0.001ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.003ms ,    0.000ms ,    0.000ms ,    0.643ms ,    0.867ms ,    0.005ms ,    0.005ms ,   12.859ms ,   38.874ms ,   11.736ms ,    0.671ms ,    3.037ms ,   15.192ms ,    0.072ms ,    0.019ms
sublime         , simple_vbo                ,    4.233ms ,    6.325ms ,    0.564ms ,    3.872ms ,    6.259ms ,    0.293ms ,    0.012ms ,    0.182ms ,    0.182ms ,    0.001ms ,    0.000ms ,    0.072ms ,    0.072ms ,    0.001ms ,    0.000ms ,    0.012ms ,    0.012ms ,    0.008ms ,    0.007ms ,    0.028ms ,    0.027ms ,    0.258ms ,    0.258ms ,    3.578ms ,    5.966ms ,    0.025ms ,    0.018ms
sublime         , simple_vbo_stor           ,    0.704ms ,    0.392ms ,    0.479ms ,    0.334ms ,    0.342ms ,    0.327ms ,    0.005ms ,    0.070ms ,    0.070ms ,    0.001ms ,    0.000ms ,    0.138ms ,    0.138ms ,    0.039ms ,    0.038ms ,    0.007ms ,    0.007ms ,    0.005ms ,    0.005ms ,    0.018ms ,    0.017ms ,    0.254ms ,    0.254ms ,    0.101ms ,    0.110ms ,    0.028ms ,    0.017ms
sublime         , complete_vbo              ,   25.224ms ,   28.039ms ,    0.826ms ,   20.089ms ,   27.978ms ,    0.674ms ,    0.005ms ,    0.201ms ,    0.407ms ,    0.001ms ,    0.000ms ,    0.609ms ,    1.444ms ,    0.000ms ,    0.000ms ,    0.008ms ,    0.008ms ,    0.007ms ,    0.007ms ,    0.028ms ,    0.028ms ,    0.505ms ,    0.505ms ,   19.243ms ,   26.091ms ,    0.162ms ,    0.018ms
sublime         , one_ssbo                  ,   31.685ms ,   36.294ms ,    0.780ms ,   30.803ms ,   36.237ms ,    0.503ms ,    0.005ms ,    0.074ms ,    0.075ms ,    0.001ms ,    0.000ms ,    0.039ms ,    0.039ms ,    0.001ms ,    0.000ms ,    0.008ms ,    0.007ms ,    0.008ms ,    0.008ms ,    0.029ms ,    0.029ms ,    0.468ms ,    0.468ms ,   30.653ms ,   36.087ms ,    0.025ms ,    0.017ms
sublime         , ssbo_instr_list           ,   72.420ms ,   76.142ms ,    1.401ms ,   71.238ms ,   76.082ms ,    1.122ms ,    0.007ms ,    0.062ms ,    0.062ms ,    0.001ms ,    0.000ms ,    0.125ms ,    0.849ms ,    0.001ms ,    0.000ms ,    0.008ms ,    0.067ms ,    0.008ms ,    0.008ms ,    0.025ms ,    0.025ms ,    1.087ms ,    1.087ms ,   71.018ms ,   75.079ms ,    0.025ms ,    0.017ms
sublime         , ssbo_inlined_instr_6      ,  356.093ms ,  361.993ms ,    1.261ms ,  354.083ms ,  361.868ms ,    0.608ms ,    0.005ms ,    0.080ms ,    0.079ms ,    0.001ms ,    0.000ms ,    0.038ms ,    0.038ms ,    0.001ms ,    0.000ms ,    0.009ms ,    0.009ms ,    0.014ms ,    0.013ms ,    0.025ms ,    0.026ms ,    0.565ms ,    0.565ms ,  353.931ms ,  361.716ms ,    0.027ms ,    0.017ms
sublime         , ssbo_inlined_instr_4_4    ,  181.920ms ,  186.998ms ,    0.838ms ,  179.986ms ,  186.924ms ,    0.523ms ,    0.007ms ,    0.090ms ,    0.090ms ,    0.001ms ,    0.000ms ,    1.437ms ,    6.133ms ,    0.001ms ,    0.000ms ,    0.010ms ,    0.010ms ,    0.013ms ,    0.013ms ,    0.036ms ,    0.035ms ,    0.484ms ,    0.484ms ,  178.413ms ,  180.656ms ,    0.024ms ,    0.018ms
sublime         , ssbo_inlined_instr_6_6    ,  330.125ms ,  336.446ms ,    0.929ms ,  328.089ms ,  336.322ms ,    0.608ms ,    0.007ms ,    0.101ms ,    0.101ms ,    0.001ms ,    0.000ms ,    0.038ms ,    0.038ms ,    0.001ms ,    0.000ms ,    0.010ms ,    0.010ms ,    0.013ms ,    0.013ms ,    0.032ms ,    0.032ms ,    0.566ms ,    0.566ms ,  327.908ms ,  336.141ms ,    0.027ms ,    0.017ms
sublime         , ssbo_inlined_instr_8_8    ,  518.746ms ,  522.086ms ,    1.146ms ,  516.697ms ,  521.999ms ,    0.629ms ,    0.008ms ,    0.089ms ,    0.090ms ,    0.001ms ,    0.000ms ,    0.137ms ,    2.080ms ,    0.001ms ,    0.000ms ,    0.009ms ,    0.009ms ,    0.013ms ,    0.013ms ,    0.029ms ,    0.029ms ,    0.588ms ,    0.588ms ,  516.433ms ,  519.791ms ,    0.026ms ,    0.017ms
sublime         , ssbo_inlined_instr_10_10  ,  767.148ms ,  773.034ms ,    1.458ms ,  764.717ms ,  772.928ms ,    0.719ms ,    0.007ms ,    0.111ms ,    0.112ms ,    0.001ms ,    0.000ms ,    0.220ms ,    0.220ms ,    0.001ms ,    0.000ms ,    0.008ms ,    0.007ms ,    0.014ms ,    0.013ms ,    0.028ms ,    0.028ms ,    0.676ms ,    0.676ms ,  764.350ms ,  772.561ms ,    0.027ms ,    0.018ms
