scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,    16543us ,    54937us , 11814.570us ,        6us ,        1us ,        1us ,    0.880us ,    0.000us ,        3us ,        3us ,    0.040us ,    0.000us ,      643us ,      867us ,    4.920us ,    4.840us ,    12859us ,    38874us , 11736.230us ,  671.160us ,     3037us ,    15192us ,   72.500us ,   19.200us
sublime         , simple_vbo                ,     1 ,     3872us ,     6259us ,  293.360us ,       12us ,      182us ,      182us ,    0.520us ,    0.000us ,       72us ,       72us ,    1.360us ,    0.280us ,       12us ,       12us ,    8.080us ,    7.480us ,       28us ,       27us ,  258.320us ,  258.120us ,     3578us ,     5966us ,   25.080us ,   17.600us
sublime         , simple_vbo_stor           ,     1 ,      334us ,      342us ,  326.600us ,        5us ,       70us ,       70us ,    0.560us ,    0.000us ,      138us ,      138us ,   38.880us ,   37.800us ,        7us ,        7us ,    5.120us ,    4.600us ,       18us ,       17us ,  254.040us ,  253.840us ,      101us ,      110us ,   28.000us ,   17.480us
sublime         , complete_vbo              ,     1 ,    20089us ,    27978us ,  674.400us ,        5us ,      201us ,      407us ,    0.840us ,    0.000us ,      609us ,     1444us ,    0.040us ,    0.000us ,        8us ,        8us ,    6.880us ,    6.880us ,       28us ,       28us ,  504.760us ,  504.600us ,    19243us ,    26091us ,  161.880us ,   17.640us
sublime         , one_ssbo                  ,     1 ,    30803us ,    36237us ,  503.280us ,        5us ,       74us ,       75us ,    0.560us ,    0.000us ,       39us ,       39us ,    1.400us ,    0.280us ,        8us ,        7us ,    8.320us ,    7.760us ,       29us ,       29us ,  468.160us ,  467.960us ,    30653us ,    36087us ,   24.840us ,   17.440us
sublime         , ssbo_instr_list           ,     1 ,    71238us ,    76082us , 1122.000us ,        7us ,       62us ,       62us ,    0.560us ,    0.000us ,      125us ,      849us ,    1.360us ,    0.280us ,        8us ,       67us ,    8.160us ,    7.600us ,       25us ,       25us , 1086.880us , 1086.720us ,    71018us ,    75079us ,   25.040us ,   16.840us
sublime         , ssbo_inlined_instr_6      ,     1 ,   354083us ,   361868us ,  607.680us ,        5us ,       80us ,       79us ,    0.600us ,    0.000us ,       38us ,       38us ,    1.400us ,    0.280us ,        9us ,        9us ,   13.920us ,   13.240us ,       25us ,       26us ,  565.120us ,  564.960us ,   353931us ,   361716us ,   26.640us ,   17.400us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,   179986us ,   186924us ,  523.440us ,        7us ,       90us ,       90us ,    0.560us ,    0.000us ,     1437us ,     6133us ,    1.400us ,    0.240us ,       10us ,       10us ,   13.480us ,   12.960us ,       36us ,       35us ,  483.880us ,  483.640us ,   178413us ,   180656us ,   24.120us ,   17.880us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,   328089us ,   336322us ,  607.920us ,        7us ,      101us ,      101us ,    0.600us ,    0.000us ,       38us ,       38us ,    1.360us ,    0.280us ,       10us ,       10us ,   13.320us ,   12.720us ,       32us ,       32us ,  565.920us ,  565.720us ,   327908us ,   336141us ,   26.720us ,   17.320us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,   516697us ,   521999us ,  629.000us ,        8us ,       89us ,       90us ,    0.560us ,    0.000us ,      137us ,     2080us ,    1.480us ,    0.280us ,        9us ,        9us ,   13.400us ,   12.840us ,       29us ,       29us ,  587.720us ,  587.520us ,   516433us ,   519791us ,   25.840us ,   17.400us
