scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  373.660ms ,  477.123ms ,  372.932ms ,  368.210ms ,  474.697ms ,  227.315ms ,  369.896ms ,    0.047ms ,    0.036ms ,    0.032ms ,    0.000ms ,    0.041ms ,    0.037ms ,    0.081ms ,    0.016ms ,    0.998ms ,    1.611ms ,    0.185ms ,    0.139ms ,  363.248ms ,  465.845ms ,  225.901ms ,   23.589ms ,    3.876ms ,    7.168ms ,    1.115ms ,    0.640ms
sublime         , simple_vbo                ,   22.993ms ,   12.124ms ,   21.418ms ,    9.745ms ,   10.017ms ,   11.121ms ,   22.786ms ,    2.915ms ,    3.004ms ,    0.033ms ,    0.000ms ,    2.058ms ,    2.060ms ,    0.083ms ,    0.017ms ,    0.492ms ,    0.472ms ,    0.189ms ,    0.143ms ,    0.201ms ,    0.207ms ,    9.507ms ,    9.473ms ,    4.079ms ,    4.274ms ,    1.309ms ,    0.631ms
sublime         , simple_vbo_stor           ,   25.742ms ,   10.937ms ,   25.630ms ,    8.574ms ,    8.740ms ,   14.749ms ,   25.491ms ,    2.767ms ,    2.751ms ,    0.032ms ,    0.000ms ,    2.226ms ,    2.224ms ,    4.265ms ,    4.199ms ,    0.516ms ,    0.518ms ,    0.411ms ,    0.366ms ,    0.235ms ,    0.234ms ,    8.733ms ,    8.700ms ,    2.830ms ,    3.013ms ,    1.308ms ,    0.637ms
sublime         , complete_vbo              ,   81.804ms ,   55.089ms ,   79.411ms ,   52.581ms ,   52.896ms ,   26.926ms ,   81.020ms ,   11.926ms ,   12.126ms ,    0.033ms ,    0.000ms ,   35.336ms ,   35.344ms ,    0.080ms ,    0.016ms ,    0.498ms ,    0.494ms ,    0.184ms ,    0.138ms ,    0.337ms ,    0.329ms ,   25.373ms ,   25.339ms ,    4.484ms ,    4.603ms ,    1.256ms ,    0.634ms
sublime         , one_ssbo                  ,   26.318ms ,   10.794ms ,   25.275ms ,    8.754ms ,    8.749ms ,   15.126ms ,   26.069ms ,    2.320ms ,    2.322ms ,    0.032ms ,    0.000ms ,    2.701ms ,    2.522ms ,    0.078ms ,    0.015ms ,    0.499ms ,    0.499ms ,    0.182ms ,    0.137ms ,    0.337ms ,    0.331ms ,   13.686ms ,   13.653ms ,    2.897ms ,    3.075ms ,    1.148ms ,    0.641ms
sublime         , ssbo_instr_list           ,   71.563ms ,    9.547ms ,   70.994ms ,   37.905ms ,    7.354ms ,   30.485ms ,   71.180ms ,    1.812ms ,    1.804ms ,    0.031ms ,    0.000ms ,    0.758ms ,    0.760ms ,    0.076ms ,    0.015ms ,   31.336ms ,    0.525ms ,    0.174ms ,    0.132ms ,    0.411ms ,    0.402ms ,   28.797ms ,   28.766ms ,    3.588ms ,    3.863ms ,    1.408ms ,    0.651ms
sublime         , ssbo_inlined_instr_6      ,   31.701ms ,   14.351ms ,   29.853ms ,   11.822ms ,   12.124ms ,   17.386ms ,   31.415ms ,    4.235ms ,    4.231ms ,    0.032ms ,    0.000ms ,    1.817ms ,    1.818ms ,    0.081ms ,    0.016ms ,    0.545ms ,    0.534ms ,    0.182ms ,    0.137ms ,    0.421ms ,    0.419ms ,   15.889ms ,   15.855ms ,    4.804ms ,    5.122ms ,    1.202ms ,    0.669ms
sublime         , ssbo_inlined_instr_4_4    ,   27.556ms ,   11.309ms ,   26.414ms ,    8.862ms ,    9.090ms ,   16.041ms ,   27.302ms ,    2.634ms ,    2.630ms ,    0.032ms ,    0.000ms ,    1.385ms ,    1.394ms ,    0.081ms ,    0.016ms ,    0.506ms ,    0.509ms ,    0.184ms ,    0.139ms ,    0.404ms ,    0.394ms ,   14.579ms ,   14.546ms ,    3.933ms ,    4.163ms ,    1.166ms ,    0.659ms
sublime         , ssbo_inlined_instr_6_6    ,   29.956ms ,   12.586ms ,   28.124ms ,   10.150ms ,   10.343ms ,   17.295ms ,   29.675ms ,    2.846ms ,    2.839ms ,    0.032ms ,    0.000ms ,    1.764ms ,    1.761ms ,    0.081ms ,    0.016ms ,    0.511ms ,    0.517ms ,    0.184ms ,    0.138ms ,    0.409ms ,    0.403ms ,   15.864ms ,   15.831ms ,    4.620ms ,    4.823ms ,    1.134ms ,    0.670ms
sublime         , ssbo_inlined_instr_8_8    ,   33.608ms ,   15.333ms ,   30.909ms ,   12.556ms ,   12.860ms ,   18.333ms ,   33.270ms ,    3.376ms ,    3.358ms ,    0.032ms ,    0.000ms ,    2.210ms ,    2.212ms ,    0.080ms ,    0.016ms ,    0.580ms ,    0.578ms ,    0.180ms ,    0.135ms ,    0.449ms ,    0.458ms ,   16.936ms ,   16.903ms ,    5.941ms ,    6.254ms ,    1.107ms ,    0.664ms
sublime         , ssbo_inlined_instr_10_10  ,   38.721ms ,   19.980ms ,   34.662ms ,   16.555ms ,   16.947ms ,   19.521ms ,   38.365ms ,    4.405ms ,    4.409ms ,    0.032ms ,    0.000ms ,    3.367ms ,    3.373ms ,    0.079ms ,    0.016ms ,    0.745ms ,    0.734ms ,    0.180ms ,    0.136ms ,    0.532ms ,    0.525ms ,   17.995ms ,   17.962ms ,    7.506ms ,    7.906ms ,    1.234ms ,    0.669ms
sublime         , ssbo_inlined_instr_20_20  ,   52.780ms ,   25.742ms ,   45.440ms ,   22.957ms ,   23.384ms ,   27.378ms ,   52.309ms ,    6.803ms ,    6.806ms ,    0.030ms ,    0.000ms ,    5.393ms ,    5.391ms ,    0.078ms ,    0.016ms ,    0.518ms ,    0.510ms ,    0.179ms ,    0.135ms ,    0.384ms ,    0.382ms ,   25.795ms ,   25.763ms ,    9.859ms ,   10.295ms ,    1.296ms ,    0.673ms
sublime         , ssbo_inlined_instr_4_6    ,   29.236ms ,   13.308ms ,   27.030ms ,   10.560ms ,   10.771ms ,   16.138ms ,   28.975ms ,    2.977ms ,    2.976ms ,    0.032ms ,    0.000ms ,    1.367ms ,    1.366ms ,    0.082ms ,    0.016ms ,    0.546ms ,    0.540ms ,    0.186ms ,    0.140ms ,    0.434ms ,    0.439ms ,   14.720ms ,   14.686ms ,    5.236ms ,    5.450ms ,    1.118ms ,    0.653ms
sublime         , ssbo_inlined_instr_4_8    ,   29.214ms ,   13.098ms ,   27.023ms ,   10.315ms ,   10.544ms ,   16.312ms ,   28.956ms ,    2.763ms ,    2.758ms ,    0.031ms ,    0.000ms ,    1.410ms ,    1.406ms ,    0.079ms ,    0.016ms ,    0.559ms ,    0.558ms ,    0.184ms ,    0.138ms ,    0.450ms ,    0.451ms ,   14.839ms ,   14.805ms ,    5.133ms ,    5.371ms ,    1.178ms ,    0.666ms
sublime         , ssbo_inlined_instr_4_10   ,   30.196ms ,   13.886ms ,   26.771ms ,   11.406ms ,   11.599ms ,   16.350ms ,   29.931ms ,    2.690ms ,    2.697ms ,    0.032ms ,    0.000ms ,    1.588ms ,    1.572ms ,    0.081ms ,    0.016ms ,    0.503ms ,    0.506ms ,    0.183ms ,    0.139ms ,    0.412ms ,    0.415ms ,   14.927ms ,   14.894ms ,    6.213ms ,    6.409ms ,    1.127ms ,    0.658ms
sublime         , ssbo_inlined_instr_4_20   ,   34.799ms ,   17.897ms ,   27.696ms ,   15.314ms ,   15.458ms ,   16.869ms ,   34.487ms ,    2.730ms ,    2.731ms ,    0.032ms ,    0.000ms ,    1.600ms ,    1.587ms ,    0.079ms ,    0.016ms ,    0.527ms ,    0.532ms ,    0.184ms ,    0.139ms ,    0.399ms ,    0.408ms ,   15.442ms ,   15.409ms ,   10.058ms ,   10.200ms ,    1.132ms ,    0.673ms
sublime         , ssbo_inlined_instr_6_4    ,   28.951ms ,   12.036ms ,   28.011ms ,    9.507ms ,    9.697ms ,   16.798ms ,   28.681ms ,    2.865ms ,    2.866ms ,    0.032ms ,    0.000ms ,    2.115ms ,    2.124ms ,    0.080ms ,    0.017ms ,    0.531ms ,    0.520ms ,    0.182ms ,    0.137ms ,    0.406ms ,    0.396ms ,   15.346ms ,   15.313ms ,    3.590ms ,    3.791ms ,    1.158ms ,    0.659ms
sublime         , ssbo_inlined_instr_8_4    ,   28.998ms ,   11.203ms ,   28.888ms ,    8.911ms ,    8.972ms ,   17.469ms ,   28.681ms ,    3.205ms ,    3.184ms ,    0.032ms ,    0.000ms ,    2.222ms ,    2.220ms ,    0.079ms ,    0.016ms ,    0.477ms ,    0.481ms ,    0.180ms ,    0.135ms ,    0.362ms ,    0.347ms ,   16.006ms ,   15.974ms ,    2.645ms ,    2.740ms ,    1.172ms ,    0.661ms
sublime         , ssbo_inlined_instr_10_4   ,   33.215ms ,   15.538ms ,   32.966ms ,   12.492ms ,   12.633ms ,   18.061ms ,   32.889ms ,    4.445ms ,    4.436ms ,    0.031ms ,    0.000ms ,    3.349ms ,    3.355ms ,    0.080ms ,    0.016ms ,    0.697ms ,    0.688ms ,    0.183ms ,    0.138ms ,    0.504ms ,    0.507ms ,   16.580ms ,   16.547ms ,    3.497ms ,    3.647ms ,    1.187ms ,    0.662ms
sublime         , ssbo_inlined_instr_20_4   ,   38.535ms ,   20.435ms ,   38.355ms ,   17.717ms ,   17.825ms ,   18.355ms ,   38.156ms ,    7.832ms ,    7.839ms ,    0.033ms ,    0.000ms ,    5.393ms ,    5.393ms ,    0.079ms ,    0.016ms ,    0.631ms ,    0.624ms ,    0.182ms ,    0.137ms ,    0.450ms ,    0.455ms ,   16.584ms ,   16.550ms ,    3.411ms ,    3.514ms ,    1.478ms ,    0.660ms
sublime         , ssbo_instr_combo_4        ,   25.362ms ,    9.952ms ,   25.230ms ,    7.326ms ,    7.379ms ,   15.482ms ,   25.116ms ,    2.241ms ,    2.228ms ,    0.032ms ,    0.000ms ,    0.739ms ,    0.744ms ,    0.081ms ,    0.016ms ,    0.574ms ,    0.580ms ,    0.183ms ,    0.138ms ,    0.446ms ,    0.433ms ,   13.893ms ,   13.860ms ,    3.326ms ,    3.394ms ,    1.292ms ,    0.659ms
sublime         , ssbo_instr_combo_6        ,   26.471ms ,    9.455ms ,   25.227ms ,    7.246ms ,    7.404ms ,   15.967ms ,   26.228ms ,    1.842ms ,    1.847ms ,    0.032ms ,    0.000ms ,    0.740ms ,    0.734ms ,    0.082ms ,    0.016ms ,    0.462ms ,    0.452ms ,    0.185ms ,    0.140ms ,    0.325ms ,    0.326ms ,   14.536ms ,   14.503ms ,    3.877ms ,    4.045ms ,    1.132ms ,    0.686ms
sublime         , ssbo_instr_combo_8        ,   27.338ms ,    9.961ms ,   25.600ms ,    7.774ms ,    7.902ms ,   16.453ms ,   27.089ms ,    1.840ms ,    1.838ms ,    0.031ms ,    0.000ms ,    0.710ms ,    0.706ms ,    0.079ms ,    0.016ms ,    0.456ms ,    0.455ms ,    0.182ms ,    0.137ms ,    0.318ms ,    0.320ms ,   15.031ms ,   14.998ms ,    4.450ms ,    4.583ms ,    1.131ms ,    0.686ms
sublime         , ssbo_instr_combo_10       ,   28.503ms ,   10.727ms ,   26.205ms ,    8.252ms ,    8.377ms ,   17.571ms ,   28.250ms ,    1.812ms ,    1.811ms ,    0.032ms ,    0.000ms ,    0.709ms ,    0.694ms ,    0.080ms ,    0.016ms ,    0.465ms ,    0.472ms ,    0.183ms ,    0.139ms ,    0.322ms ,    0.327ms ,   15.916ms ,   15.882ms ,    4.944ms ,    5.073ms ,    1.360ms ,    0.675ms
sublime         , ssbo_instr_combo_20       ,   36.345ms ,   14.511ms ,   31.178ms ,   11.722ms ,   11.877ms ,   21.824ms ,   36.021ms ,    1.919ms ,    1.920ms ,    0.031ms ,    0.000ms ,    0.753ms ,    0.754ms ,    0.078ms ,    0.016ms ,    0.516ms ,    0.510ms ,    0.181ms ,    0.136ms ,    0.388ms ,    0.390ms ,   20.267ms ,   20.234ms ,    8.146ms ,    8.303ms ,    1.268ms ,    0.688ms
sublime         , one_ssbo_ext_no_sdf       ,   23.600ms ,   10.465ms ,   23.356ms ,    7.460ms ,    7.653ms ,   13.569ms ,   23.383ms ,    2.485ms ,    2.480ms ,    0.032ms ,    0.000ms ,    0.916ms ,    0.916ms ,    0.080ms ,    0.016ms ,    0.514ms ,    0.512ms ,    0.183ms ,    0.138ms ,    0.389ms ,    0.393ms ,   12.160ms ,   12.126ms ,    3.156ms ,    3.352ms ,    1.114ms ,    0.638ms
sublime         , one_ssbo_ext_sdf_list     ,   30.112ms ,   11.812ms ,   29.836ms ,    9.001ms ,    9.179ms ,   18.611ms ,   29.824ms ,    2.935ms ,    2.937ms ,    0.032ms ,    0.000ms ,    1.765ms ,    1.763ms ,    0.080ms ,    0.016ms ,    0.564ms ,    0.556ms ,    0.182ms ,    0.138ms ,    0.417ms ,    0.421ms ,   17.159ms ,   17.126ms ,    3.320ms ,    3.502ms ,    1.159ms ,    0.648ms
sublime         , one_ssbo_ext_one_sdf      ,   27.159ms ,   11.346ms ,   26.782ms ,    8.701ms ,    8.864ms ,   15.743ms ,   26.905ms ,    2.798ms ,    2.789ms ,    0.032ms ,    0.000ms ,    1.766ms ,    1.766ms ,    0.081ms ,    0.016ms ,    0.511ms ,    0.502ms ,    0.185ms ,    0.140ms ,    0.417ms ,    0.412ms ,   14.215ms ,   14.181ms ,    3.209ms ,    3.395ms ,    1.229ms ,    0.642ms
sublime         , one_ssbo_ext_one_sdf_pack ,   29.947ms ,   10.767ms ,   29.568ms ,    8.313ms ,    8.504ms ,   19.082ms ,   29.666ms ,    2.533ms ,    2.538ms ,    0.032ms ,    0.000ms ,    1.785ms ,    1.779ms ,    0.081ms ,    0.017ms ,    0.502ms ,    0.502ms ,    0.183ms ,    0.138ms ,    0.377ms ,    0.371ms ,   17.525ms ,   17.491ms ,    3.116ms ,    3.314ms ,    1.260ms ,    0.637ms
