scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  363.369ms ,  466.235ms ,    0.000ms ,  362.582ms ,  465.456ms ,    0.000ms ,  359.660ms ,    0.030ms ,    0.030ms ,    0.000ms ,    0.000ms ,    0.035ms ,    0.032ms ,    0.000ms ,    0.000ms ,    0.835ms ,    1.256ms ,    0.000ms ,    0.000ms ,  357.843ms ,  457.186ms ,    0.000ms ,    0.000ms ,    3.839ms ,    6.952ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   20.553ms ,   11.256ms ,    0.000ms ,   19.901ms ,   10.602ms ,    0.000ms ,   20.287ms ,    3.003ms ,    3.066ms ,    0.000ms ,    0.000ms ,    2.380ms ,    2.384ms ,    0.000ms ,    0.000ms ,    0.448ms ,    0.443ms ,    0.000ms ,    0.000ms ,    0.203ms ,    0.203ms ,    0.000ms ,    0.000ms ,   13.867ms ,    4.506ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   22.819ms ,   10.620ms ,    0.000ms ,   22.079ms ,    9.879ms ,    0.000ms ,   22.594ms ,    3.258ms ,    3.258ms ,    0.000ms ,    0.000ms ,    2.494ms ,    2.490ms ,    0.000ms ,    0.000ms ,    0.479ms ,    0.482ms ,    0.000ms ,    0.000ms ,    0.223ms ,    0.214ms ,    0.000ms ,    0.000ms ,   15.625ms ,    3.435ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   36.961ms ,   27.917ms ,    0.000ms ,   36.077ms ,   27.035ms ,    0.000ms ,   36.591ms ,   12.391ms ,   12.584ms ,    0.000ms ,    0.000ms ,    8.818ms ,    8.809ms ,    0.000ms ,    0.000ms ,    0.463ms ,    0.471ms ,    0.000ms ,    0.000ms ,    0.351ms ,    0.335ms ,    0.000ms ,    0.000ms ,   14.054ms ,    4.836ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   23.972ms ,    9.228ms ,    0.000ms ,   23.339ms ,    8.598ms ,    0.000ms ,   23.739ms ,    2.370ms ,    2.376ms ,    0.000ms ,    0.000ms ,    2.038ms ,    2.034ms ,    0.000ms ,    0.000ms ,    0.444ms ,    0.445ms ,    0.000ms ,    0.000ms ,    0.329ms ,    0.318ms ,    0.000ms ,    0.000ms ,   18.158ms ,    3.425ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   39.374ms ,    9.013ms ,    0.000ms ,   38.662ms ,    8.313ms ,    0.000ms ,   38.992ms ,    1.831ms ,    1.837ms ,    0.000ms ,    0.000ms ,    1.000ms ,    1.001ms ,    0.000ms ,    0.000ms ,    0.501ms ,    0.499ms ,    0.000ms ,    0.000ms ,    0.388ms ,    0.383ms ,    0.000ms ,    0.000ms ,   34.942ms ,    4.593ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   28.120ms ,   13.662ms ,    0.000ms ,   27.322ms ,   12.907ms ,    0.000ms ,   27.788ms ,    4.296ms ,    4.298ms ,    0.000ms ,    0.000ms ,    2.098ms ,    2.121ms ,    0.000ms ,    0.000ms ,    0.524ms ,    0.494ms ,    0.000ms ,    0.000ms ,    0.347ms ,    0.339ms ,    0.000ms ,    0.000ms ,   20.057ms ,    5.655ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   25.500ms ,   11.700ms ,    0.000ms ,   24.837ms ,   11.047ms ,    0.000ms ,   25.259ms ,    2.677ms ,    2.674ms ,    0.000ms ,    0.000ms ,    2.547ms ,    2.547ms ,    0.000ms ,    0.000ms ,    0.488ms ,    0.480ms ,    0.000ms ,    0.000ms ,    0.375ms ,    0.378ms ,    0.000ms ,    0.000ms ,   18.750ms ,    4.968ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   27.314ms ,   12.749ms ,    0.000ms ,   26.513ms ,   11.948ms ,    0.000ms ,   27.138ms ,    3.406ms ,    3.409ms ,    0.000ms ,    0.000ms ,    1.915ms ,    1.910ms ,    0.000ms ,    0.000ms ,    0.555ms ,    0.551ms ,    0.000ms ,    0.000ms ,    0.435ms ,    0.432ms ,    0.000ms ,    0.000ms ,   20.202ms ,    5.646ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   29.436ms ,   14.160ms ,    0.000ms ,   28.559ms ,   13.282ms ,    0.000ms ,   29.168ms ,    3.929ms ,    3.927ms ,    0.000ms ,    0.000ms ,    2.266ms ,    2.260ms ,    0.000ms ,    0.000ms ,    0.578ms ,    0.578ms ,    0.000ms ,    0.000ms ,    0.434ms ,    0.434ms ,    0.000ms ,    0.000ms ,   21.352ms ,    6.083ms ,    0.000ms ,    0.000ms
