scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,    6.026ms ,   16.020ms ,    4.588ms ,    5.786ms ,   14.558ms ,    4.341ms ,    0.004ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.000ms ,    0.001ms ,    0.001ms ,    0.000ms ,    0.000ms ,    0.806ms ,    0.623ms ,    0.002ms ,    0.002ms ,    4.737ms ,   12.709ms ,    4.301ms ,    0.283ms ,    0.242ms ,    1.224ms ,    0.037ms ,    0.007ms
sublime         , simple_vbo                ,    1.462ms ,    1.402ms ,    0.198ms ,    1.316ms ,    1.372ms ,    0.123ms ,    0.002ms ,    0.037ms ,    0.066ms ,    0.000ms ,    0.000ms ,    0.028ms ,    0.028ms ,    0.001ms ,    0.000ms ,    0.004ms ,    0.004ms ,    0.002ms ,    0.002ms ,    0.009ms ,    0.010ms ,    0.107ms ,    0.107ms ,    1.238ms ,    1.264ms ,    0.012ms ,    0.007ms
sublime         , simple_vbo_stor           ,    0.688ms ,    0.529ms ,    0.238ms ,    0.501ms ,    0.502ms ,    0.160ms ,    0.001ms ,    0.032ms ,    0.032ms ,    0.000ms ,    0.000ms ,    0.411ms ,    0.411ms ,    0.044ms ,    0.043ms ,    0.002ms ,    0.002ms ,    0.005ms ,    0.004ms ,    0.007ms ,    0.007ms ,    0.100ms ,    0.099ms ,    0.049ms ,    0.050ms ,    0.011ms ,    0.007ms
sublime         , complete_vbo              ,    2.190ms ,    2.208ms ,    0.366ms ,    1.882ms ,    2.179ms ,    0.287ms ,    0.002ms ,    0.121ms ,    0.121ms ,    0.000ms ,    0.000ms ,    0.324ms ,    0.454ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.011ms ,    0.011ms ,    0.272ms ,    0.272ms ,    1.423ms ,    1.590ms ,    0.011ms ,    0.007ms
sublime         , one_ssbo                  ,    0.905ms ,    0.444ms ,    0.246ms ,    0.714ms ,    0.417ms ,    0.169ms ,    0.001ms ,    0.032ms ,    0.032ms ,    0.000ms ,    0.000ms ,    0.021ms ,    0.020ms ,    0.001ms ,    0.000ms ,    0.002ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.010ms ,    0.025ms ,    0.153ms ,    0.152ms ,    0.649ms ,    0.337ms ,    0.012ms ,    0.007ms
sublime         , ssbo_instr_list           ,    1.299ms ,    1.249ms ,    0.422ms ,    0.928ms ,    1.221ms ,    0.344ms ,    0.001ms ,    0.030ms ,    0.029ms ,    0.000ms ,    0.000ms ,    0.433ms ,    0.639ms ,    0.001ms ,    0.000ms ,    0.004ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.012ms ,    0.013ms ,    0.330ms ,    0.330ms ,    0.449ms ,    0.537ms ,    0.011ms ,    0.007ms
sublime         , ssbo_inlined_instr_6      ,    2.284ms ,    1.867ms ,    0.271ms ,    2.066ms ,    1.834ms ,    0.194ms ,    0.002ms ,    0.042ms ,    0.042ms ,    0.000ms ,    0.000ms ,    0.020ms ,    0.020ms ,    0.001ms ,    0.000ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.010ms ,    0.010ms ,    0.178ms ,    0.178ms ,    1.992ms ,    1.760ms ,    0.012ms ,    0.008ms
sublime         , ssbo_inlined_instr_4_4    ,    1.615ms ,    1.793ms ,    0.348ms ,    1.347ms ,    1.764ms ,    0.231ms ,    0.001ms ,    0.029ms ,    0.028ms ,    0.000ms ,    0.000ms ,    0.425ms ,    0.426ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.009ms ,    0.009ms ,    0.169ms ,    0.169ms ,    0.881ms ,    1.299ms ,    0.058ms ,    0.008ms
sublime         , ssbo_inlined_instr_6_6    ,    2.265ms ,    2.053ms ,    0.270ms ,    2.045ms ,    2.020ms ,    0.194ms ,    0.001ms ,    0.030ms ,    0.029ms ,    0.000ms ,    0.000ms ,    0.021ms ,    0.021ms ,    0.001ms ,    0.000ms ,    0.002ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.009ms ,    0.008ms ,    0.178ms ,    0.178ms ,    1.983ms ,    1.959ms ,    0.012ms ,    0.008ms
sublime         , ssbo_inlined_instr_8_8    ,    3.336ms ,    3.101ms ,    0.278ms ,    3.107ms ,    3.068ms ,    0.203ms ,    0.001ms ,    0.036ms ,    0.036ms ,    0.000ms ,    0.000ms ,    0.067ms ,    0.067ms ,    0.001ms ,    0.000ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.010ms ,    0.010ms ,    0.188ms ,    0.187ms ,    2.992ms ,    2.953ms ,    0.012ms ,    0.008ms
sublime         , ssbo_inlined_instr_10_10  ,    4.081ms ,    4.494ms ,    0.310ms ,    3.827ms ,    4.455ms ,    0.218ms ,    0.001ms ,    0.036ms ,    0.036ms ,    0.000ms ,    0.000ms ,    0.750ms ,    0.750ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.010ms ,    0.011ms ,    0.203ms ,    0.203ms ,    3.028ms ,    3.656ms ,    0.012ms ,    0.008ms
sublime         , ssbo_inlined_instr_20_20  ,    8.137ms ,    7.888ms ,    0.563ms ,    7.798ms ,    7.857ms ,    0.315ms ,    0.002ms ,    0.069ms ,    0.103ms ,    0.000ms ,    0.000ms ,    0.053ms ,    0.053ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.010ms ,    0.011ms ,    0.299ms ,    0.299ms ,    7.663ms ,    7.688ms ,    0.012ms ,    0.008ms
sublime         , ssbo_inlined_instr_4_6    ,    2.162ms ,    1.982ms ,    0.272ms ,    1.946ms ,    1.951ms ,    0.191ms ,    0.002ms ,    0.034ms ,    0.034ms ,    0.000ms ,    0.000ms ,    0.017ms ,    0.018ms ,    0.001ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.002ms ,    0.002ms ,    0.010ms ,    0.010ms ,    0.174ms ,    0.174ms ,    1.882ms ,    1.887ms ,    0.013ms ,    0.008ms
sublime         , ssbo_inlined_instr_4_8    ,    2.877ms ,    2.733ms ,    0.332ms ,    2.663ms ,    2.688ms ,    0.188ms ,    0.001ms ,    0.037ms ,    0.036ms ,    0.000ms ,    0.000ms ,    0.045ms ,    0.045ms ,    0.001ms ,    0.000ms ,    0.002ms ,    0.002ms ,    0.003ms ,    0.002ms ,    0.011ms ,    0.011ms ,    0.171ms ,    0.171ms ,    2.568ms ,    2.594ms ,    0.013ms ,    0.008ms
