scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,     5786us ,    14558us , 4340.800us ,        4us ,        0us ,        1us ,    0.000us ,    0.000us ,        1us ,        1us ,    0.000us ,    0.000us ,      806us ,      623us ,    2.240us ,    2.080us ,     4737us ,    12709us , 4301.280us ,  282.560us ,      242us ,     1224us ,   37.280us ,    7.200us
sublime         , simple_vbo                ,     1 ,     1316us ,     1372us ,  122.720us ,        2us ,       37us ,       66us ,    0.320us ,    0.000us ,       28us ,       28us ,    0.960us ,    0.160us ,        4us ,        4us ,    2.240us ,    1.760us ,        9us ,       10us ,  107.360us ,  107.040us ,     1238us ,     1264us ,   11.840us ,    7.200us
sublime         , simple_vbo_stor           ,     1 ,      501us ,      502us ,  160.000us ,        1us ,       32us ,       32us ,    0.480us ,    0.000us ,      411us ,      411us ,   44.000us ,   43.360us ,        2us ,        2us ,    4.800us ,    4.480us ,        7us ,        7us ,   99.520us ,   99.200us ,       49us ,       50us ,   11.200us ,    7.360us
sublime         , complete_vbo              ,     1 ,     1882us ,     2179us ,  286.560us ,        2us ,      121us ,      121us ,    0.320us ,    0.000us ,      324us ,      454us ,    0.960us ,    0.160us ,        3us ,        3us ,    2.400us ,    1.920us ,       11us ,       11us ,  271.840us ,  271.520us ,     1423us ,     1590us ,   11.040us ,    7.040us
sublime         , one_ssbo                  ,     1 ,      714us ,      417us ,  168.640us ,        1us ,       32us ,       32us ,    0.320us ,    0.000us ,       21us ,       20us ,    0.960us ,    0.160us ,        2us ,        3us ,    2.240us ,    1.760us ,       10us ,       25us ,  152.960us ,  152.480us ,      649us ,      337us ,   12.160us ,    7.360us
sublime         , ssbo_instr_list           ,     1 ,      928us ,     1221us ,  344.480us ,        1us ,       30us ,       29us ,    0.480us ,    0.000us ,      433us ,      639us ,    0.960us ,    0.160us ,        4us ,        3us ,    2.240us ,    1.920us ,       12us ,       13us ,  329.920us ,  329.600us ,      449us ,      537us ,   10.880us ,    7.200us
sublime         , ssbo_inlined_instr_6      ,     1 ,     2066us ,     1834us ,  194.400us ,        2us ,       42us ,       42us ,    0.480us ,    0.000us ,       20us ,       20us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.240us ,    1.760us ,       10us ,       10us ,  178.400us ,  177.920us ,     1992us ,     1760us ,   12.320us ,    7.680us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,     1347us ,     1764us ,  230.880us ,        1us ,       29us ,       28us ,    0.320us ,    0.000us ,      425us ,      426us ,    0.960us ,    0.160us ,        3us ,        2us ,    2.400us ,    1.920us ,        9us ,        9us ,  169.280us ,  168.960us ,      881us ,     1299us ,   57.920us ,    7.520us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,     2045us ,     2020us ,  194.240us ,        1us ,       30us ,       29us ,    0.320us ,    0.000us ,       21us ,       21us ,    0.960us ,    0.160us ,        2us ,        3us ,    2.240us ,    1.760us ,        9us ,        8us ,  178.240us ,  177.760us ,     1983us ,     1959us ,   12.480us ,    7.840us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,     3107us ,     3068us ,  203.200us ,        1us ,       36us ,       36us ,    0.320us ,    0.000us ,       67us ,       67us ,    0.960us ,    0.320us ,        2us ,        2us ,    2.240us ,    1.760us ,       10us ,       10us ,  187.680us ,  187.200us ,     2992us ,     2953us ,   12.000us ,    7.520us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,     3827us ,     4455us ,  218.400us ,        1us ,       36us ,       36us ,    0.480us ,    0.000us ,      750us ,      750us ,    0.960us ,    0.160us ,        3us ,        2us ,    2.240us ,    1.920us ,       10us ,       11us ,  203.040us ,  202.720us ,     3028us ,     3656us ,   11.680us ,    7.520us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,     7798us ,     7857us ,  315.360us ,        2us ,       69us ,      103us ,    0.480us ,    0.000us ,       53us ,       53us ,    0.960us ,    0.160us ,        3us ,        2us ,    2.400us ,    2.080us ,       10us ,       11us ,  299.040us ,  298.720us ,     7663us ,     7688us ,   12.480us ,    8.320us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,     1946us ,     1951us ,  191.360us ,        2us ,       34us ,       34us ,    0.320us ,    0.000us ,       17us ,       18us ,    1.120us ,    0.160us ,        3us ,        2us ,    2.400us ,    1.920us ,       10us ,       10us ,  174.400us ,  174.080us ,     1882us ,     1887us ,   13.120us ,    8.000us
sublime         , ssbo_inlined_instr_4_8    ,     1 ,     2663us ,     2688us ,  187.680us ,        1us ,       37us ,       36us ,    0.320us ,    0.000us ,       45us ,       45us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.560us ,    1.760us ,       11us ,       11us ,  170.880us ,  170.560us ,     2568us ,     2594us ,   12.960us ,    8.320us
sublime         , ssbo_inlined_instr_4_10   ,     1 ,     3631us ,     3660us ,  192.320us ,        2us ,       30us ,       30us ,    0.320us ,    0.000us ,       43us ,       43us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,        9us ,        9us ,  175.520us ,  175.200us ,     3547us ,     3576us ,   12.960us ,    8.160us
sublime         , ssbo_inlined_instr_4_20   ,     1 ,     7612us ,     7672us ,  199.520us ,        1us ,       48us ,       48us ,    0.480us ,    0.000us ,      141us ,      142us ,    0.960us ,    0.320us ,        5us ,        4us ,    2.400us ,    1.920us ,       10us ,       10us ,  182.560us ,  182.080us ,     7408us ,     7468us ,   13.120us ,    8.320us
sublime         , ssbo_inlined_instr_6_4    ,     1 ,      849us ,      940us ,  197.440us ,        1us ,       32us ,       32us ,    0.480us ,    0.000us ,       21us ,       20us ,    0.960us ,    0.160us ,        2us ,        3us ,    2.560us ,    1.760us ,       10us ,        9us ,  180.800us ,  180.480us ,      784us ,      876us ,   12.640us ,    7.840us
sublime         , ssbo_inlined_instr_8_4    ,     1 ,      119us ,      120us ,  201.920us ,        1us ,       35us ,       35us ,    0.320us ,    0.000us ,       23us ,       23us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,       10us ,        9us ,  185.280us ,  184.960us ,       49us ,       51us ,   12.800us ,    7.840us
sublime         , ssbo_inlined_instr_10_4   ,     1 ,      133us ,      134us ,  208.160us ,        2us ,       35us ,       35us ,    0.320us ,    0.000us ,       34us ,       33us ,    1.120us ,    0.160us ,        2us ,        3us ,    2.400us ,    1.760us ,        9us ,        9us ,  191.520us ,  191.200us ,       53us ,       54us ,   12.800us ,    7.840us
sublime         , ssbo_inlined_instr_20_4   ,     1 ,      195us ,      197us ,  206.400us ,        1us ,       79us ,       79us ,    0.480us ,    0.000us ,       54us ,       54us ,    0.960us ,    0.320us ,        2us ,        2us ,    2.400us ,    1.760us ,        9us ,        9us ,  189.920us ,  189.440us ,       51us ,       53us ,   12.640us ,    7.840us
sublime         , ssbo_instr_combo_4        ,     1 ,      108us ,      109us ,  181.120us ,        2us ,       22us ,       22us ,    0.480us ,    0.000us ,       22us ,       22us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.760us ,        9us ,       10us ,  164.320us ,  163.840us ,       53us ,       53us ,   12.960us ,    8.000us
sublime         , ssbo_instr_combo_6        ,     1 ,     1057us ,     1165us ,  190.720us ,        2us ,       28us ,       28us ,    0.480us ,    0.000us ,       35us ,       35us ,    0.960us ,    0.320us ,        3us ,        3us ,    2.400us ,    1.760us ,       10us ,       10us ,  174.240us ,  173.760us ,      981us ,     1089us ,   12.640us ,    8.160us
sublime         , ssbo_instr_combo_8        ,     1 ,     1695us ,     1766us ,  198.240us ,        1us ,       26us ,       26us ,    0.480us ,    0.000us ,       10us ,       10us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.400us ,    2.080us ,        9us ,        9us ,  181.440us ,  180.960us ,     1648us ,     1719us ,   12.960us ,    8.000us
sublime         , ssbo_instr_combo_10       ,     1 ,     2125us ,     2191us ,  239.520us ,        2us ,       22us ,       23us ,    0.480us ,    0.000us ,        9us ,        9us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.880us ,    2.240us ,        9us ,        9us ,  219.840us ,  219.360us ,     2083us ,     2148us ,   15.200us ,    9.600us
