scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  428.605ms ,  734.375ms ,  407.091ms ,  227.103ms ,  328.125ms ,   61.277ms ,  424.643ms ,    0.069ms ,    0.000ms ,    0.480ms ,    0.000ms ,    0.073ms ,    0.000ms ,    0.873ms ,    0.075ms ,    0.081ms ,    0.000ms ,    5.584ms ,    3.887ms ,  205.073ms ,  312.500ms ,   41.574ms ,   40.587ms ,   21.807ms ,   15.625ms ,   12.767ms ,   11.595ms
sublime         , simple_vbo                ,   43.552ms ,   46.875ms ,   37.678ms ,   10.176ms ,    0.000ms ,   17.914ms ,   43.245ms ,    2.624ms ,    0.000ms ,    0.232ms ,    0.000ms ,    4.120ms ,    0.000ms ,    0.540ms ,    0.048ms ,    0.108ms ,    0.000ms ,    3.369ms ,    2.513ms ,    0.324ms ,    0.000ms ,    6.484ms ,    5.202ms ,    3.000ms ,    0.000ms ,    7.290ms ,    6.812ms
sublime         , simple_vbo_stor           ,   32.142ms ,   46.875ms ,   32.031ms ,    7.578ms ,    0.000ms ,   15.637ms ,   31.817ms ,    2.362ms ,    0.000ms ,    0.185ms ,    0.000ms ,    2.346ms ,    0.000ms ,    2.830ms ,    2.366ms ,    0.108ms ,    0.000ms ,    2.603ms ,    1.939ms ,    0.248ms ,    0.000ms ,    4.642ms ,    4.007ms ,    2.514ms ,    0.000ms ,    5.378ms ,    5.007ms
sublime         , complete_vbo              ,   73.385ms ,  125.000ms ,   72.567ms ,   23.721ms ,   93.750ms ,   20.421ms ,   72.848ms ,   12.612ms ,   31.250ms ,    0.245ms ,    0.000ms ,    7.938ms ,    0.000ms ,    0.553ms ,    0.050ms ,    0.090ms ,    0.000ms ,    3.486ms ,    2.562ms ,    0.271ms ,    0.000ms ,    8.925ms ,    8.244ms ,    2.810ms ,   62.500ms ,    7.212ms ,    6.632ms
sublime         , one_ssbo                  ,   33.309ms ,   46.875ms ,   32.977ms ,    7.479ms ,   31.250ms ,   16.286ms ,   32.989ms ,    1.999ms ,    0.000ms ,    0.204ms ,    0.000ms ,    2.147ms ,    0.000ms ,    0.438ms ,    0.038ms ,    0.104ms ,    0.000ms ,    2.685ms ,    2.005ms ,    0.493ms ,    0.000ms ,    7.254ms ,    6.623ms ,    2.736ms ,   31.250ms ,    5.705ms ,    5.201ms
sublime         , ssbo_instr_list           ,   32.608ms ,   78.125ms ,   32.309ms ,    5.707ms ,    0.000ms ,   17.751ms ,   32.301ms ,    2.008ms ,    0.000ms ,    0.193ms ,    0.000ms ,    1.081ms ,    0.000ms ,    0.452ms ,    0.041ms ,    0.192ms ,    0.000ms ,    2.904ms ,    2.087ms ,    0.295ms ,    0.000ms ,    8.326ms ,    7.775ms ,    2.131ms ,    0.000ms ,    5.877ms ,    5.374ms
sublime         , ssbo_inlined_instr_6      ,   40.102ms ,   78.125ms ,   39.207ms ,   11.239ms ,   62.500ms ,   19.163ms ,   39.735ms ,    5.542ms ,    0.000ms ,    0.194ms ,    0.000ms ,    2.156ms ,    0.000ms ,    0.582ms ,    0.039ms ,    0.096ms ,   31.250ms ,    2.755ms ,    2.067ms ,    0.542ms ,    0.000ms ,    9.943ms ,    9.408ms ,    2.903ms ,   31.250ms ,    5.689ms ,    5.295ms
sublime         , ssbo_inlined_instr_4_4    ,   36.818ms ,   78.125ms ,   36.110ms ,    8.632ms ,    0.000ms ,   18.520ms ,   36.475ms ,    3.801ms ,    0.000ms ,    0.192ms ,    0.000ms ,    1.644ms ,    0.000ms ,    0.456ms ,    0.039ms ,    0.105ms ,    0.000ms ,    2.787ms ,    2.097ms ,    0.518ms ,    0.000ms ,    9.223ms ,    8.193ms ,    2.564ms ,    0.000ms ,    5.862ms ,    5.469ms
sublime         , ssbo_inlined_instr_6_6    ,   38.516ms ,   46.875ms ,   38.004ms ,    9.649ms ,    0.000ms ,   19.076ms ,   38.097ms ,    4.039ms ,    0.000ms ,    0.195ms ,    0.000ms ,    2.166ms ,    0.000ms ,    0.450ms ,    0.040ms ,    0.095ms ,    0.000ms ,    2.750ms ,    2.066ms ,    0.499ms ,    0.000ms ,    9.918ms ,    9.386ms ,    2.850ms ,    0.000ms ,    5.764ms ,    5.376ms
sublime         , ssbo_inlined_instr_8_8    ,   42.379ms ,   62.500ms ,   41.384ms ,   10.970ms ,   31.250ms ,   20.399ms ,   41.991ms ,    4.521ms ,    0.000ms ,    0.193ms ,    0.000ms ,    2.722ms ,    0.000ms ,    0.439ms ,    0.039ms ,    0.099ms ,    0.000ms ,    2.830ms ,    2.032ms ,    0.529ms ,    0.000ms ,   11.168ms ,   10.400ms ,    3.099ms ,   31.250ms ,    5.769ms ,    5.369ms
sublime         , ssbo_inlined_instr_10_10  ,   49.101ms ,   62.500ms ,   46.865ms ,   12.836ms ,    0.000ms ,   24.935ms ,   48.678ms ,    5.763ms ,    0.000ms ,    0.218ms ,    0.000ms ,    3.201ms ,    0.000ms ,    0.494ms ,    0.043ms ,    0.110ms ,    0.000ms ,    3.047ms ,    2.315ms ,    0.499ms ,    0.000ms ,   14.679ms ,   13.998ms ,    3.263ms ,    0.000ms ,    6.498ms ,    5.923ms
sublime         , ssbo_inlined_instr_20_20  ,   68.885ms ,  125.000ms ,   68.288ms ,   17.596ms ,   31.250ms ,   37.291ms ,   68.099ms ,    5.282ms ,   31.250ms ,    0.197ms ,    0.000ms ,    5.814ms ,    0.000ms ,    0.447ms ,    0.039ms ,    0.128ms ,    0.000ms ,    2.722ms ,    2.030ms ,    0.513ms ,    0.000ms ,   28.073ms ,   27.339ms ,    5.859ms ,    0.000ms ,    5.852ms ,    5.464ms
sublime         , ssbo_inlined_instr_4_6    ,   45.991ms ,   78.125ms ,   44.971ms ,   11.292ms ,    0.000ms ,   22.974ms ,   45.640ms ,    4.049ms ,    0.000ms ,    0.194ms ,    0.000ms ,    1.731ms ,    0.000ms ,    0.445ms ,    0.038ms ,    0.101ms ,    0.000ms ,    2.689ms ,    1.975ms ,    0.539ms ,    0.000ms ,    9.811ms ,    8.916ms ,    4.872ms ,    0.000ms ,    9.834ms ,    9.456ms
sublime         , ssbo_inlined_instr_4_8    ,   37.487ms ,   46.875ms ,   37.112ms ,    8.712ms ,   31.250ms ,   19.485ms ,   37.127ms ,    3.807ms ,    0.000ms ,    0.201ms ,    0.000ms ,    1.639ms ,    0.000ms ,    0.423ms ,    0.037ms ,    0.103ms ,    0.000ms ,    2.617ms ,    1.953ms ,    0.532ms ,    0.000ms ,   10.656ms ,   10.022ms ,    2.631ms ,   31.250ms ,    5.588ms ,    5.214ms
sublime         , ssbo_inlined_instr_4_10   ,   39.999ms ,   93.750ms ,   39.280ms ,    8.621ms ,   31.250ms ,   21.578ms ,   39.613ms ,    3.759ms ,    0.000ms ,    0.183ms ,    0.000ms ,    1.659ms ,    0.000ms ,    0.430ms ,    0.039ms ,    0.101ms ,    0.000ms ,    2.755ms ,    1.974ms ,    0.531ms ,    0.000ms ,   12.738ms ,   11.869ms ,    2.571ms ,   31.250ms ,    5.472ms ,    5.098ms
