scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  350.134ms ,  656.250ms ,    0.000ms ,  348.984ms ,  656.250ms ,    0.000ms ,  346.866ms ,    0.028ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.057ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.058ms ,    0.000ms ,    0.000ms ,    0.000ms ,  327.145ms ,  625.000ms ,    0.000ms ,    0.000ms ,   21.696ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   30.523ms ,   15.625ms ,    0.000ms ,   29.437ms ,   15.625ms ,    0.000ms ,   30.392ms ,    2.442ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.286ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.098ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.281ms ,    0.000ms ,    0.000ms ,    0.000ms ,   23.330ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   15.545ms ,   31.250ms ,    0.000ms ,   14.560ms ,   31.250ms ,    0.000ms ,   15.391ms ,    2.333ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.434ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.123ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.216ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.454ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   70.174ms ,  125.000ms ,    0.000ms ,   68.766ms ,  125.000ms ,    0.000ms ,   69.937ms ,   13.079ms ,   46.875ms ,    0.000ms ,    0.000ms ,    8.203ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.110ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.249ms ,    0.000ms ,    0.000ms ,    0.000ms ,   47.125ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   18.953ms ,   62.500ms ,    0.000ms ,   17.972ms ,   62.500ms ,    0.000ms ,   18.797ms ,    2.105ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.135ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.094ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.386ms ,    0.000ms ,    0.000ms ,    0.000ms ,   13.252ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   17.456ms ,   31.250ms ,    0.000ms ,   16.277ms ,   31.250ms ,    0.000ms ,   17.291ms ,    2.016ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.060ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.195ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.300ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.706ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   19.131ms ,   62.500ms ,    0.000ms ,   18.146ms ,   62.500ms ,    0.000ms ,   18.949ms ,    5.651ms ,   31.250ms ,    0.000ms ,    0.000ms ,    2.119ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.133ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.402ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.841ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   17.834ms ,   31.250ms ,    0.000ms ,   16.780ms ,   31.250ms ,    0.000ms ,   17.665ms ,    3.763ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.649ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.106ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.425ms ,    0.000ms ,    0.000ms ,    0.000ms ,   10.837ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   18.852ms ,   31.250ms ,    0.000ms ,   17.786ms ,   31.250ms ,    0.000ms ,   18.609ms ,    3.925ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.124ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.139ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.403ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.195ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   20.354ms ,   62.500ms ,    0.000ms ,   19.340ms ,   62.500ms ,    0.000ms ,   20.164ms ,    4.162ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.650ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.129ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.394ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.005ms ,   15.625ms ,    0.000ms ,    0.000ms
