scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  110.771ms ,   31.250ms ,    1.177ms ,  110.428ms ,   31.250ms ,    1.041ms ,    0.008ms ,    0.000ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.271ms ,    0.000ms ,    0.012ms ,    0.001ms ,    0.478ms ,    0.000ms ,    0.052ms ,    0.037ms ,    4.115ms ,   15.625ms ,    0.416ms ,    0.406ms ,  105.564ms ,   15.625ms ,    0.557ms ,    0.548ms
sublime         , simple_vbo                ,    9.894ms ,   31.250ms ,    0.422ms ,    0.244ms ,    0.000ms ,    0.293ms ,    0.005ms ,    0.140ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.050ms ,    0.000ms ,    0.009ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.055ms ,    0.040ms ,    0.004ms ,    0.000ms ,    0.095ms ,    0.082ms ,    0.047ms ,    0.000ms ,    0.131ms ,    0.123ms
sublime         , simple_vbo_stor           ,    1.013ms ,    0.000ms ,    0.441ms ,    0.162ms ,    0.000ms ,    0.322ms ,    0.004ms ,    0.041ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.060ms ,    0.000ms ,    0.042ms ,    0.033ms ,    0.005ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.008ms ,    0.000ms ,    0.095ms ,    0.081ms ,    0.048ms ,    0.000ms ,    0.127ms ,    0.119ms
sublime         , complete_vbo              ,   20.803ms ,   31.250ms ,    0.467ms ,    0.615ms ,    0.000ms ,    0.334ms ,    0.005ms ,    0.306ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.200ms ,    0.000ms ,    0.009ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.055ms ,    0.039ms ,    0.031ms ,    0.000ms ,    0.140ms ,    0.131ms ,    0.075ms ,    0.000ms ,    0.127ms ,    0.120ms
sublime         , one_ssbo                  ,   22.173ms ,   46.875ms ,    0.466ms ,    0.152ms ,    0.000ms ,    0.336ms ,    0.004ms ,    0.038ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.043ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.023ms ,    0.000ms ,    0.142ms ,    0.132ms ,    0.045ms ,    0.000ms ,    0.128ms ,    0.120ms
sublime         , ssbo_instr_list           ,   43.758ms ,   62.500ms ,    0.500ms ,    0.114ms ,    0.000ms ,    0.356ms ,    0.004ms ,    0.036ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.021ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.005ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.009ms ,    0.000ms ,    0.163ms ,    0.152ms ,    0.043ms ,    0.000ms ,    0.127ms ,    0.119ms
sublime         , ssbo_inlined_instr_6      ,  136.986ms ,  250.000ms ,    0.517ms ,    0.272ms ,    0.000ms ,    0.392ms ,    0.004ms ,    0.137ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.066ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.053ms ,    0.039ms ,    0.015ms ,    0.000ms ,    0.196ms ,    0.185ms ,    0.051ms ,    0.000ms ,    0.130ms ,    0.123ms
sublime         , ssbo_inlined_instr_4_4    ,  103.079ms ,  218.750ms ,    0.523ms ,    0.156ms ,    0.000ms ,    0.361ms ,    0.004ms ,    0.050ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.033ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.014ms ,    0.000ms ,    0.167ms ,    0.156ms ,    0.056ms ,    0.000ms ,    0.129ms ,    0.122ms
sublime         , ssbo_inlined_instr_6_6    ,    8.503ms ,   31.250ms ,    0.647ms ,    0.243ms ,    0.000ms ,    0.481ms ,    0.004ms ,    0.090ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.049ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.016ms ,    0.000ms ,    0.190ms ,    0.179ms ,    0.085ms ,    0.000ms ,    0.225ms ,    0.218ms
sublime         , ssbo_inlined_instr_8_8    ,  174.895ms ,  343.750ms ,    0.531ms ,    0.353ms ,    0.000ms ,    0.409ms ,    0.004ms ,    0.115ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.058ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.016ms ,    0.000ms ,    0.212ms ,    0.202ms ,    0.161ms ,    0.000ms ,    0.130ms ,    0.123ms
sublime         , ssbo_inlined_instr_10_10  ,  214.854ms ,  437.500ms ,    0.857ms ,    0.351ms ,    0.000ms ,    0.582ms ,    0.004ms ,    0.212ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.066ms ,    0.000ms ,    0.008ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.054ms ,    0.039ms ,    0.016ms ,    0.000ms ,    0.247ms ,    0.237ms ,    0.054ms ,    0.000ms ,    0.270ms ,    0.262ms
