scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,   110428us ,    31250us , 1041.200us ,        8us ,        0us ,        0us ,    4.160us ,    0.000us ,      271us ,        0us ,   11.840us ,    0.800us ,      478us ,        0us ,   51.840us ,   37.280us ,     4115us ,    15625us ,  416.160us ,  406.400us ,   105564us ,    15625us ,  557.200us ,  548.080us
sublime         , simple_vbo                ,     1 ,      244us ,        0us ,  293.120us ,        5us ,      140us ,        0us ,    4.000us ,    0.000us ,       50us ,        0us ,    8.640us ,    0.800us ,        3us ,        0us ,   54.720us ,   39.520us ,        4us ,        0us ,   94.880us ,   81.600us ,       47us ,        0us ,  130.880us ,  123.040us
sublime         , simple_vbo_stor           ,     1 ,      162us ,        0us ,  322.080us ,        4us ,       41us ,        0us ,    3.840us ,    0.000us ,       60us ,        0us ,   42.240us ,   32.800us ,        5us ,        0us ,   54.080us ,   39.360us ,        8us ,        0us ,   95.360us ,   81.280us ,       48us ,        0us ,  126.560us ,  118.880us
sublime         , complete_vbo              ,     1 ,      615us ,        0us ,  333.600us ,        5us ,      306us ,        0us ,    3.840us ,    0.000us ,      200us ,        0us ,    8.640us ,    0.800us ,        3us ,        0us ,   54.560us ,   39.360us ,       31us ,        0us ,  139.520us ,  131.040us ,       75us ,        0us ,  127.040us ,  119.680us
sublime         , one_ssbo                  ,     1 ,      152us ,        0us ,  336.160us ,        4us ,       38us ,        0us ,    3.840us ,    0.000us ,       43us ,        0us ,    8.320us ,    0.800us ,        3us ,        0us ,   54.240us ,   39.360us ,       23us ,        0us ,  141.920us ,  131.520us ,       45us ,        0us ,  127.840us ,  120.480us
sublime         , ssbo_instr_list           ,     1 ,      114us ,        0us ,  355.520us ,        4us ,       36us ,        0us ,    3.840us ,    0.000us ,       21us ,        0us ,    8.320us ,    0.800us ,        5us ,        0us ,   53.920us ,   39.360us ,        9us ,        0us ,  162.720us ,  151.680us ,       43us ,        0us ,  126.720us ,  119.360us
sublime         , ssbo_inlined_instr_6      ,     1 ,      272us ,        0us ,  391.840us ,        4us ,      137us ,        0us ,    3.680us ,    0.000us ,       66us ,        0us ,    8.480us ,    0.800us ,        3us ,        0us ,   53.280us ,   39.360us ,       15us ,        0us ,  196.320us ,  185.120us ,       51us ,        0us ,  130.080us ,  122.720us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      156us ,        0us ,  361.280us ,        4us ,       50us ,        0us ,    3.680us ,    0.000us ,       33us ,        0us ,    8.320us ,    0.800us ,        3us ,        0us ,   53.600us ,   39.200us ,       14us ,        0us ,  166.720us ,  156.000us ,       56us ,        0us ,  128.960us ,  121.600us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      243us ,        0us ,  481.160us ,        4us ,       90us ,        0us ,    4.000us ,    0.000us ,       49us ,        0us ,    8.320us ,    0.800us ,        3us ,        0us ,   53.600us ,   39.200us ,       16us ,        0us ,  189.760us ,  179.200us ,       85us ,        0us ,  225.480us ,  218.120us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      353us ,        0us ,  408.960us ,        4us ,      115us ,        0us ,    3.840us ,    0.000us ,       58us ,        0us ,    8.320us ,    0.640us ,        3us ,        0us ,   54.240us ,   39.200us ,       16us ,        0us ,  212.320us ,  201.760us ,      161us ,        0us ,  130.240us ,  123.040us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,      351us ,        0us ,  582.200us ,        4us ,      212us ,        0us ,    3.840us ,    0.000us ,       66us ,        0us ,    8.320us ,    0.800us ,        3us ,        0us ,   53.600us ,   39.360us ,       16us ,        0us ,  246.880us ,  236.960us ,       54us ,        0us ,  269.560us ,  261.880us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,      346us ,        0us ,  751.360us ,        5us ,      160us ,        0us ,    3.840us ,    0.000us ,      129us ,        0us ,    8.480us ,    0.800us ,        2us ,        0us ,   53.920us ,   39.360us ,        9us ,        0us ,  556.480us ,  547.520us ,       46us ,        0us ,  128.640us ,  121.440us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,      227us ,        0us ,  506.280us ,        4us ,      125us ,        0us ,    3.840us ,    0.000us ,       37us ,        0us ,    8.320us ,    0.640us ,        2us ,        0us ,   53.760us ,   39.360us ,       16us ,        0us ,  191.040us ,  179.680us ,       47us ,        0us ,  249.320us ,  242.120us
sublime         , ssbo_inlined_instr_4_8    ,     1 ,      151us ,        0us ,  505.920us ,        3us ,       50us ,        0us ,    3.680us ,    0.000us ,       35us ,        0us ,    8.320us ,    0.800us ,        3us ,        0us ,   53.600us ,   39.200us ,       14us ,        0us ,  212.160us ,  200.000us ,       49us ,        0us ,  228.160us ,  220.960us
