scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  309.236ms ,  578.125ms ,    0.000ms ,  307.631ms ,  578.125ms ,    0.000ms ,  306.321ms ,    0.046ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.063ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.094ms ,    0.000ms ,    0.000ms ,    0.000ms ,  297.094ms ,  578.125ms ,    0.000ms ,    0.000ms ,   10.334ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   71.745ms ,   93.750ms ,    0.000ms ,   70.283ms ,   93.750ms ,    0.000ms ,   71.116ms ,    2.998ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.232ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.160ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.310ms ,    0.000ms ,    0.000ms ,    0.000ms ,   59.583ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   71.392ms ,  109.375ms ,    0.000ms ,   70.034ms ,  109.375ms ,    0.000ms ,   70.524ms ,    3.625ms ,   31.250ms ,    0.000ms ,    0.000ms ,    5.995ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.162ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.275ms ,    0.000ms ,    0.000ms ,    0.000ms ,   59.977ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,  105.257ms ,  125.000ms ,    0.000ms ,  103.784ms ,  125.000ms ,    0.000ms ,  104.198ms ,   12.531ms ,   31.250ms ,    0.000ms ,    0.000ms ,   12.187ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.193ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.593ms ,    0.000ms ,    0.000ms ,    0.000ms ,   78.280ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   88.475ms ,   93.750ms ,    0.000ms ,   86.968ms ,   93.750ms ,    0.000ms ,   87.633ms ,    3.752ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.221ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.201ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.533ms ,    0.000ms ,    0.000ms ,    0.000ms ,   77.261ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   90.063ms ,  125.000ms ,    0.000ms ,   88.347ms ,  125.000ms ,    0.000ms ,   89.157ms ,    3.489ms ,   31.250ms ,    0.000ms ,    0.000ms ,    2.192ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.157ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.440ms ,    0.000ms ,    0.000ms ,    0.000ms ,   82.069ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   97.393ms ,  171.875ms ,    0.000ms ,   95.641ms ,  171.875ms ,    0.000ms ,   96.453ms ,    5.722ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.184ms ,   78.125ms ,    0.000ms ,    0.000ms ,    0.206ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.534ms ,    0.000ms ,    0.000ms ,    0.000ms ,   83.995ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   93.620ms ,   93.750ms ,    0.000ms ,   91.921ms ,   93.750ms ,    0.000ms ,   92.649ms ,    4.310ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.712ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.177ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.505ms ,    0.000ms ,    0.000ms ,    0.000ms ,   83.217ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   94.427ms ,   93.750ms ,    0.000ms ,   92.638ms ,   93.750ms ,    0.000ms ,   93.391ms ,    4.771ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.180ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.183ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.545ms ,    0.000ms ,    0.000ms ,    0.000ms ,   81.959ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   99.433ms ,  109.375ms ,    0.000ms ,   96.955ms ,  109.375ms ,    0.000ms ,   98.423ms ,    5.303ms ,   31.250ms ,    0.000ms ,    0.000ms ,    6.405ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.172ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.609ms ,    0.000ms ,    0.000ms ,    0.000ms ,   84.466ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,  103.396ms ,  109.375ms ,    0.000ms ,  101.061ms ,  109.375ms ,    0.000ms ,  102.416ms ,    5.832ms ,   31.250ms ,    0.000ms ,    0.000ms ,    7.908ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.231ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.656ms ,    0.000ms ,    0.000ms ,    0.000ms ,   86.434ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,  189.059ms ,  234.375ms ,    0.000ms ,  187.337ms ,  234.375ms ,    0.000ms ,  187.155ms ,    8.256ms ,   62.500ms ,    0.000ms ,    0.000ms ,   14.630ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.184ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.574ms ,    0.000ms ,    0.000ms ,    0.000ms ,  163.693ms ,  140.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,   92.774ms ,  109.375ms ,    0.000ms ,   91.011ms ,  109.375ms ,    0.000ms ,   91.902ms ,    4.454ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.769ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.169ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.535ms ,    0.000ms ,    0.000ms ,    0.000ms ,   82.084ms ,  109.375ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,   96.438ms ,  140.625ms ,    0.000ms ,   94.776ms ,   78.125ms ,    0.000ms ,   95.270ms ,    4.377ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.767ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.189ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.556ms ,    0.000ms ,    0.000ms ,    0.000ms ,   85.887ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_10   ,  100.971ms ,  140.625ms ,    0.000ms ,   99.111ms ,  109.375ms ,    0.000ms ,   99.992ms ,    4.463ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.788ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.173ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.613ms ,    0.000ms ,    0.000ms ,    0.000ms ,   90.074ms ,  109.375ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_20   ,  181.161ms ,  156.250ms ,    0.000ms ,  179.639ms ,  156.250ms ,    0.000ms ,  179.364ms ,    4.774ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.673ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.175ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.581ms ,    0.000ms ,    0.000ms ,    0.000ms ,  170.436ms ,  156.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_4    ,   92.905ms ,  125.000ms ,    0.000ms ,   91.091ms ,  125.000ms ,    0.000ms ,   92.053ms ,    4.665ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.073ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.180ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.572ms ,    0.000ms ,    0.000ms ,    0.000ms ,   80.601ms ,  125.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_4    ,   88.880ms ,  125.000ms ,    0.000ms ,   87.093ms ,  125.000ms ,    0.000ms ,   87.894ms ,    4.686ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.851ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.200ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.522ms ,   31.250ms ,    0.000ms ,    0.000ms ,   75.834ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_4   ,   89.336ms ,  140.625ms ,    0.000ms ,   87.650ms ,  140.625ms ,    0.000ms ,   88.341ms ,    4.830ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.294ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.184ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.575ms ,    0.000ms ,    0.000ms ,    0.000ms ,   74.767ms ,  140.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_4   ,   92.257ms ,  109.375ms ,    0.000ms ,   90.463ms ,  109.375ms ,    0.000ms ,   91.355ms ,    6.079ms ,    0.000ms ,    0.000ms ,    0.000ms ,   13.387ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.188ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.461ms ,    0.000ms ,    0.000ms ,    0.000ms ,   70.348ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_4        ,   84.781ms ,   78.125ms ,    0.000ms ,   83.236ms ,   78.125ms ,    0.000ms ,   83.856ms ,    3.012ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.986ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.157ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.376ms ,    0.000ms ,    0.000ms ,    0.000ms ,   77.705ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_6        ,   84.939ms ,   93.750ms ,    0.000ms ,   83.197ms ,   93.750ms ,    0.000ms ,   84.106ms ,    2.978ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.019ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.123ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.343ms ,    0.000ms ,    0.000ms ,    0.000ms ,   77.734ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_8        ,   87.631ms ,  109.375ms ,    0.000ms ,   86.109ms ,  109.375ms ,    0.000ms ,   86.771ms ,    3.028ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.980ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.149ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.437ms ,    0.000ms ,    0.000ms ,    0.000ms ,   80.515ms ,  109.375ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_10       ,   93.699ms ,  109.375ms ,    0.000ms ,   91.923ms ,   78.125ms ,    0.000ms ,   92.764ms ,    3.064ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.977ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.164ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.436ms ,    0.000ms ,    0.000ms ,    0.000ms ,   86.282ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_20       ,  176.532ms ,  203.125ms ,    0.000ms ,  175.260ms ,  203.125ms ,    0.000ms ,  174.517ms ,    2.800ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.911ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.158ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.421ms ,    0.000ms ,    0.000ms ,    0.000ms ,  169.970ms ,  203.125ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_no_sdf       ,   75.416ms ,  109.375ms ,    0.000ms ,   73.899ms ,  109.375ms ,    0.000ms ,   74.431ms ,    2.948ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.388ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.174ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.530ms ,    0.000ms ,    0.000ms ,    0.000ms ,   67.859ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_sdf_list     ,   92.772ms ,  125.000ms ,    0.000ms ,   90.988ms ,  125.000ms ,    0.000ms ,   91.718ms ,    3.855ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.669ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.171ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.457ms ,    0.000ms ,    0.000ms ,    0.000ms ,   81.836ms ,  125.000ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_one_sdf      ,   81.553ms ,   93.750ms ,    0.000ms ,   79.987ms ,   93.750ms ,    0.000ms ,   80.731ms ,    3.774ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.649ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.179ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.444ms ,    0.000ms ,    0.000ms ,    0.000ms ,   70.941ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo_ext_one_sdf_pack ,   86.616ms ,   78.125ms ,    0.000ms ,   84.707ms ,   78.125ms ,    0.000ms ,   85.509ms ,    4.364ms ,   31.250ms ,    0.000ms ,    0.000ms ,    4.645ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.187ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.480ms ,    0.000ms ,    0.000ms ,    0.000ms ,   75.031ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , inst_div                  ,   81.755ms ,  109.375ms ,    0.000ms ,   80.185ms ,  109.375ms ,    0.000ms ,   80.907ms ,    3.621ms ,   31.250ms ,    0.000ms ,    0.000ms ,    4.826ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.149ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.360ms ,    0.000ms ,    0.000ms ,    0.000ms ,   71.229ms ,   46.875ms ,    0.000ms ,    0.000ms
mediaplayer     , 1rect_1draw               ,   79.832ms ,  109.375ms ,    0.000ms ,   78.187ms ,  109.375ms ,    0.000ms ,   79.071ms ,    0.056ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.097ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.132ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.843ms ,    0.000ms ,    0.000ms ,    0.000ms ,   75.059ms ,  109.375ms ,    0.000ms ,    0.000ms
mediaplayer     , simple_vbo                ,   53.274ms ,   78.125ms ,    0.000ms ,   51.801ms ,   46.875ms ,    0.000ms ,   52.778ms ,    0.104ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.235ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.122ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.258ms ,    0.000ms ,    0.000ms ,    0.000ms ,   51.082ms ,   46.875ms ,    0.000ms ,    0.000ms
mediaplayer     , simple_vbo_stor           ,   51.446ms ,   46.875ms ,    0.000ms ,   49.920ms ,   46.875ms ,    0.000ms ,   50.929ms ,    0.095ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.264ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.123ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.246ms ,    0.000ms ,    0.000ms ,    0.000ms ,   49.192ms ,   46.875ms ,    0.000ms ,    0.000ms
mediaplayer     , complete_vbo              ,   66.945ms ,   62.500ms ,    0.000ms ,   65.453ms ,   62.500ms ,    0.000ms ,   66.302ms ,    0.201ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.494ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.151ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.324ms ,    0.000ms ,    0.000ms ,    0.000ms ,   64.283ms ,   62.500ms ,    0.000ms ,    0.000ms
mediaplayer     , one_ssbo                  ,   68.362ms ,   78.125ms ,    0.000ms ,   66.755ms ,   78.125ms ,    0.000ms ,   67.742ms ,    0.110ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.237ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.128ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.368ms ,    0.000ms ,    0.000ms ,    0.000ms ,   65.912ms ,   78.125ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_instr_list           ,   78.143ms ,   93.750ms ,    0.000ms ,   76.466ms ,   93.750ms ,    0.000ms ,   77.081ms ,    0.105ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.204ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.135ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.358ms ,    0.000ms ,    0.000ms ,    0.000ms ,   75.664ms ,   93.750ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_6      ,   77.107ms ,   93.750ms ,    0.000ms ,   75.320ms ,   93.750ms ,    0.000ms ,   76.363ms ,    0.120ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.228ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.132ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.358ms ,    0.000ms ,    0.000ms ,    0.000ms ,   74.482ms ,   93.750ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_4_4    ,   74.804ms ,   78.125ms ,    0.000ms ,   73.264ms ,   78.125ms ,    0.000ms ,   74.087ms ,    0.127ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.214ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.131ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.353ms ,    0.000ms ,    0.000ms ,    0.000ms ,   72.439ms ,   78.125ms ,    0.000ms ,    0.000ms
mediaplayer     , ssbo_inlined_instr_6_6    ,   77.017ms ,   78.125ms ,    0.000ms ,   75.526ms ,   78.125ms ,    0.000ms ,   76.276ms ,    0.114ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.240ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.132ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.366ms ,    0.000ms ,    0.000ms ,    0.000ms ,   74.674ms ,   78.125ms ,    0.000ms ,    0.000ms
