scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  116.282ms ,    0.000ms ,    1.132ms ,  115.814ms ,    0.000ms ,    0.956ms ,    0.008ms ,    0.003ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.286ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.581ms ,    0.000ms ,    0.117ms ,    0.097ms ,    3.198ms ,    0.000ms ,    0.387ms ,    0.382ms ,  111.746ms ,    0.000ms ,    0.447ms ,    0.444ms
sublime         , simple_vbo                ,    7.889ms ,    0.000ms ,    1.260ms ,    0.255ms ,    0.000ms ,    1.140ms ,    0.005ms ,    0.146ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.057ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.004ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.006ms ,    0.000ms ,    0.557ms ,    0.547ms ,    0.042ms ,    0.000ms ,    0.253ms ,    0.251ms
sublime         , simple_vbo_stor           ,    1.996ms ,    0.000ms ,    1.314ms ,    0.165ms ,    0.000ms ,    1.198ms ,    0.005ms ,    0.043ms ,    0.000ms ,    0.007ms ,    0.000ms ,    0.071ms ,    0.000ms ,    0.067ms ,    0.043ms ,    0.005ms ,    0.000ms ,    0.310ms ,    0.275ms ,    0.007ms ,    0.000ms ,    0.549ms ,    0.537ms ,    0.039ms ,    0.000ms ,    0.266ms ,    0.263ms
sublime         , complete_vbo              ,   19.301ms ,   31.250ms ,    1.101ms ,    0.720ms ,    0.000ms ,    1.005ms ,    0.005ms ,    0.263ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.159ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.311ms ,    0.276ms ,    0.033ms ,    0.000ms ,    0.420ms ,    0.412ms ,    0.262ms ,    0.000ms ,    0.253ms ,    0.250ms
sublime         , one_ssbo                  ,   21.505ms ,   62.500ms ,    1.362ms ,    0.164ms ,    0.000ms ,    1.243ms ,    0.005ms ,    0.037ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.048ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.019ms ,    0.000ms ,    0.660ms ,    0.651ms ,    0.057ms ,    0.000ms ,    0.253ms ,    0.250ms
sublime         , ssbo_instr_list           ,   51.858ms ,   93.750ms ,    1.418ms ,    0.125ms ,    0.000ms ,    1.295ms ,    0.005ms ,    0.038ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.024ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.004ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.013ms ,    0.000ms ,    0.710ms ,    0.701ms ,    0.046ms ,    0.000ms ,    0.256ms ,    0.253ms
sublime         , ssbo_inlined_instr_6      ,  175.962ms ,  281.250ms ,    1.901ms ,    0.314ms ,    0.000ms ,    1.783ms ,    0.005ms ,    0.164ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.057ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.309ms ,    0.275ms ,    0.009ms ,    0.000ms ,    1.200ms ,    1.191ms ,    0.081ms ,    0.000ms ,    0.252ms ,    0.250ms
sublime         , ssbo_inlined_instr_4_4    ,  100.341ms ,  187.500ms ,    1.227ms ,    0.193ms ,    0.000ms ,    1.109ms ,    0.006ms ,    0.052ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.044ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.004ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.037ms ,    0.000ms ,    0.525ms ,    0.516ms ,    0.056ms ,    0.000ms ,    0.254ms ,    0.251ms
sublime         , ssbo_inlined_instr_6_6    ,    9.085ms ,    0.000ms ,    1.924ms ,    0.233ms ,    0.000ms ,    1.807ms ,    0.005ms ,    0.084ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.055ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.004ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.011ms ,    0.000ms ,    1.197ms ,    1.188ms ,    0.079ms ,    0.000ms ,    0.280ms ,    0.277ms
sublime         , ssbo_inlined_instr_8_8    ,  167.951ms ,  343.750ms ,    1.192ms ,    0.242ms ,    0.000ms ,    1.074ms ,    0.004ms ,    0.070ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.067ms ,    0.000ms ,    0.015ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.308ms ,    0.274ms ,    0.025ms ,    0.000ms ,    0.484ms ,    0.479ms ,    0.077ms ,    0.000ms ,    0.260ms ,    0.258ms
