scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,   115814us ,        0us ,  955.920us ,        8us ,        3us ,        0us ,    1.280us ,    0.000us ,      286us ,        0us ,    3.920us ,    0.240us ,      581us ,        0us ,  117.000us ,   96.520us ,     3198us ,        0us ,  386.560us ,  382.400us ,   111746us ,        0us ,  447.160us ,  443.960us
sublime         , simple_vbo                ,     1 ,      255us ,        0us , 1140.240us ,        5us ,      146us ,        0us ,    6.480us ,    0.000us ,       57us ,        0us ,   15.000us ,    1.200us ,        4us ,        0us ,  308.600us ,  273.840us ,        6us ,        0us ,  557.040us ,  546.880us ,       42us ,        0us ,  253.120us ,  250.520us
sublime         , simple_vbo_stor           ,     1 ,      165us ,        0us , 1197.730us ,        5us ,       43us ,        0us ,    6.640us ,    0.000us ,       71us ,        0us ,   66.640us ,   42.560us ,        5us ,        0us ,  309.760us ,  275.000us ,        7us ,        0us ,  548.890us ,  536.890us ,       39us ,        0us ,  265.800us ,  263.160us
sublime         , complete_vbo              ,     1 ,      720us ,        0us , 1004.920us ,        5us ,      263us ,        0us ,    6.440us ,    0.000us ,      159us ,        0us ,   14.840us ,    1.200us ,        3us ,        0us ,  310.720us ,  275.720us ,       33us ,        0us ,  420.240us ,  411.520us ,      262us ,        0us ,  252.680us ,  249.960us
sublime         , one_ssbo                  ,     1 ,      164us ,        0us , 1242.800us ,        5us ,       37us ,        0us ,    6.360us ,    0.000us ,       48us ,        0us ,   14.880us ,    1.320us ,        3us ,        0us ,  308.920us ,  274.000us ,       19us ,        0us ,  659.880us ,  651.400us ,       57us ,        0us ,  252.760us ,  250.080us
sublime         , ssbo_instr_list           ,     1 ,      125us ,        0us , 1295.240us ,        5us ,       38us ,        0us ,    6.480us ,    0.000us ,       24us ,        0us ,   14.680us ,    1.280us ,        4us ,        0us ,  308.600us ,  273.800us ,       13us ,        0us ,  709.600us ,  701.000us ,       46us ,        0us ,  255.880us ,  253.040us
sublime         , ssbo_inlined_instr_6      ,     1 ,      314us ,        0us , 1782.640us ,        5us ,      164us ,        0us ,    6.400us ,    0.000us ,       57us ,        0us ,   14.880us ,    1.280us ,        3us ,        0us ,  309.440us ,  274.520us ,        9us ,        0us , 1199.600us , 1190.880us ,       81us ,        0us ,  252.320us ,  249.600us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      193us ,        0us , 1109.080us ,        6us ,       52us ,        0us ,    6.480us ,    0.000us ,       44us ,        0us ,   14.600us ,    1.200us ,        4us ,        0us ,  309.120us ,  274.240us ,       37us ,        0us ,  524.680us ,  516.200us ,       56us ,        0us ,  254.200us ,  251.480us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      233us ,        0us , 1806.600us ,        5us ,       84us ,        0us ,    6.320us ,    0.000us ,       55us ,        0us ,   14.680us ,    1.200us ,        4us ,        0us ,  308.720us ,  273.880us ,       11us ,        0us , 1197.000us , 1187.760us ,       79us ,        0us ,  279.880us ,  276.800us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      242us ,        0us , 1073.970us ,        4us ,       70us ,        0us ,    6.360us ,    0.000us ,       67us ,        0us ,   14.840us ,    1.200us ,        3us ,        0us ,  307.970us ,  273.840us ,       25us ,        0us ,  484.400us ,  479.280us ,       77us ,        0us ,  260.400us ,  257.600us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,      279us ,        0us , 1393.520us ,        5us ,      154us ,        0us ,    6.600us ,    0.000us ,       63us ,        0us ,   14.600us ,    1.320us ,        3us ,        0us ,  308.440us ,  273.640us ,       10us ,        0us ,  810.760us ,  802.440us ,       49us ,        0us ,  253.120us ,  250.480us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,      343us ,        0us , 2110.160us ,        4us ,      149us ,        0us ,    6.400us ,    0.000us ,      134us ,        0us ,   15.120us ,    1.320us ,        4us ,        0us ,  308.640us ,  273.600us ,       11us ,        0us , 1458.000us , 1449.760us ,       45us ,        0us ,  322.000us ,  319.320us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,      202us ,        0us , 1256.240us ,        5us ,       94us ,        0us ,    6.480us ,    0.000us ,       34us ,        0us ,   15.120us ,    1.280us ,        3us ,        0us ,  308.240us ,  273.080us ,       16us ,        0us ,  665.560us ,  656.480us ,       55us ,        0us ,  260.840us ,  257.680us
sublime         , ssbo_inlined_instr_4_8    ,     1 ,      187us ,        0us , 1277.680us ,        5us ,       53us ,        0us ,    6.400us ,    0.000us ,       43us ,        0us ,   14.880us ,    1.200us ,        3us ,        0us ,  308.080us ,  273.080us ,       36us ,        0us ,  695.400us ,  686.720us ,       52us ,        0us ,  252.920us ,  249.960us
sublime         , ssbo_inlined_instr_4_10   ,     1 ,      150us ,        0us , 1321.240us ,        5us ,       45us ,        0us ,    6.480us ,    0.000us ,       36us ,        0us ,   14.520us ,    1.200us ,        3us ,        0us ,  308.120us ,  273.240us ,        9us ,        0us ,  737.040us ,  728.560us ,       57us ,        0us ,  255.080us ,  252.440us
sublime         , ssbo_inlined_instr_4_20   ,     1 ,      164us ,        0us , 2128.160us ,        5us ,       46us ,        0us ,    7.000us ,    0.000us ,       37us ,        0us ,   15.640us ,    1.240us ,        3us ,        0us ,  308.640us ,  273.800us ,       31us ,        0us , 1535.480us , 1527.520us ,       47us ,        0us ,  261.400us ,  258.760us
sublime         , ssbo_inlined_instr_6_4    ,     1 ,      179us ,        0us , 1170.560us ,        4us ,       71us ,        0us ,    6.520us ,    0.000us ,       55us ,        0us ,   16.200us ,    2.600us ,        3us ,        0us ,  307.840us ,  272.560us ,        9us ,        0us ,  589.880us ,  581.240us ,       41us ,        0us ,  250.120us ,  247.320us
sublime         , ssbo_inlined_instr_8_4    ,     1 ,      262us ,        0us , 1233.680us ,        4us ,       79us ,        0us ,    6.480us ,    0.000us ,       75us ,        0us ,   14.680us ,    1.280us ,        4us ,        0us ,  308.440us ,  273.640us ,       36us ,        0us ,  648.920us ,  640.600us ,       68us ,        0us ,  255.160us ,  252.440us
