scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  356.517ms ,  484.375ms ,  348.617ms ,  184.970ms ,  250.000ms ,  121.284ms ,  353.664ms ,    0.098ms ,    0.000ms ,    0.445ms ,    0.000ms ,    0.122ms ,    0.000ms ,    0.714ms ,    0.108ms ,    0.122ms ,    0.000ms ,   19.444ms ,   17.098ms ,  182.621ms ,  250.000ms ,   67.057ms ,   66.436ms ,    2.007ms ,    0.000ms ,   33.624ms ,   33.304ms
sublime         , simple_vbo                ,   88.822ms ,  125.000ms ,   86.691ms ,    9.990ms ,    0.000ms ,   62.956ms ,   88.022ms ,    2.594ms ,    0.000ms ,    0.218ms ,    0.000ms ,    3.693ms ,    0.000ms ,    0.336ms ,    0.056ms ,    0.189ms ,    0.000ms ,   12.480ms ,   11.118ms ,    0.395ms ,    0.000ms ,   22.684ms ,   22.111ms ,    3.119ms ,    0.000ms ,   27.239ms ,   26.969ms
sublime         , simple_vbo_stor           ,   86.108ms ,  156.250ms ,   85.975ms ,    7.174ms ,   31.250ms ,   65.270ms ,   85.289ms ,    2.239ms ,    0.000ms ,    0.212ms ,    0.000ms ,    2.299ms ,    0.000ms ,    2.371ms ,    1.515ms ,    0.145ms ,    0.000ms ,   12.232ms ,   10.905ms ,    0.275ms ,    0.000ms ,   22.682ms ,   22.114ms ,    2.216ms ,   31.250ms ,   27.775ms ,   27.510ms
sublime         , complete_vbo              ,  122.531ms ,  171.875ms ,  121.564ms ,   19.731ms ,    0.000ms ,   77.461ms ,  121.362ms ,    9.635ms ,    0.000ms ,    0.229ms ,    0.000ms ,    4.737ms ,    0.000ms ,    0.347ms ,    0.056ms ,    0.340ms ,    0.000ms ,   12.645ms ,   11.196ms ,    0.693ms ,    0.000ms ,   37.395ms ,   37.027ms ,    4.326ms ,    0.000ms ,   26.845ms ,   26.576ms
sublime         , one_ssbo                  ,   99.112ms ,  171.875ms ,   98.759ms ,    8.407ms ,   31.250ms ,   77.783ms ,   98.149ms ,    2.524ms ,    0.000ms ,    0.219ms ,    0.000ms ,    2.102ms ,   31.250ms ,    0.335ms ,    0.055ms ,    0.175ms ,    0.000ms ,   12.435ms ,   11.102ms ,    0.605ms ,    0.000ms ,   36.462ms ,   36.101ms ,    3.001ms ,    0.000ms ,   28.332ms ,   28.062ms
sublime         , ssbo_instr_list           ,  101.324ms ,   78.125ms ,  100.834ms ,    5.703ms ,    0.000ms ,   81.749ms ,  100.351ms ,    2.272ms ,    0.000ms ,    0.211ms ,    0.000ms ,    0.899ms ,    0.000ms ,    0.325ms ,    0.054ms ,    0.141ms ,    0.000ms ,   12.267ms ,   10.875ms ,    0.394ms ,    0.000ms ,   42.243ms ,   41.875ms ,    1.997ms ,    0.000ms ,   26.703ms ,   26.430ms
sublime         , ssbo_inlined_instr_6      ,  110.992ms ,  171.875ms ,  110.466ms ,   10.249ms ,   62.500ms ,   86.315ms ,  109.950ms ,    4.485ms ,   62.500ms ,    0.219ms ,    0.000ms ,    2.062ms ,    0.000ms ,    0.334ms ,    0.055ms ,    0.215ms ,    0.000ms ,   12.662ms ,   11.263ms ,    0.550ms ,    0.000ms ,   45.223ms ,   44.860ms ,    2.937ms ,    0.000ms ,   27.878ms ,   27.607ms
sublime         , ssbo_inlined_instr_4_4    ,  107.050ms ,  156.250ms ,  106.662ms ,    7.893ms ,   31.250ms ,   85.203ms ,  105.754ms ,    3.187ms ,   31.250ms ,    0.220ms ,    0.000ms ,    1.450ms ,    0.000ms ,    0.337ms ,    0.056ms ,    0.151ms ,    0.000ms ,   12.460ms ,   11.089ms ,    0.588ms ,    0.000ms ,   43.722ms ,   43.358ms ,    2.517ms ,    0.000ms ,   28.465ms ,   28.193ms
sublime         , ssbo_inlined_instr_6_6    ,  112.193ms ,  140.625ms ,  111.822ms ,    9.239ms ,   31.250ms ,   87.802ms ,  110.752ms ,    3.572ms ,    0.000ms ,    0.218ms ,    0.000ms ,    1.957ms ,   31.250ms ,    0.335ms ,    0.055ms ,    0.182ms ,    0.000ms ,   12.830ms ,   11.416ms ,    0.587ms ,    0.000ms ,   45.930ms ,   45.560ms ,    2.941ms ,    0.000ms ,   28.489ms ,   28.219ms
sublime         , ssbo_inlined_instr_8_8    ,  117.539ms ,  140.625ms ,  116.547ms ,   10.165ms ,   31.250ms ,   90.864ms ,  116.389ms ,    3.761ms ,    0.000ms ,    0.221ms ,    0.000ms ,    2.514ms ,    0.000ms ,    0.335ms ,    0.055ms ,    0.180ms ,    0.000ms ,   12.768ms ,   11.366ms ,    0.550ms ,    0.000ms ,   48.269ms ,   47.903ms ,    3.160ms ,   31.250ms ,   29.271ms ,   29.000ms
