scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  184.291ms ,  390.625ms ,    0.000ms ,  182.594ms ,  390.625ms ,    0.000ms ,  182.640ms ,    0.041ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.070ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.102ms ,    0.000ms ,    0.000ms ,    0.000ms ,  170.566ms ,  390.625ms ,    0.000ms ,    0.000ms ,   11.815ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   69.871ms ,  125.000ms ,    0.000ms ,   68.668ms ,  125.000ms ,    0.000ms ,   69.229ms ,    6.634ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.761ms ,   93.750ms ,    0.000ms ,    0.000ms ,    0.283ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.377ms ,    0.000ms ,    0.000ms ,    0.000ms ,   53.613ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   66.551ms ,  109.375ms ,    0.000ms ,   65.542ms ,  109.375ms ,    0.000ms ,   65.661ms ,    3.837ms ,    0.000ms ,    0.000ms ,    0.000ms ,    6.182ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.172ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.292ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.059ms ,  109.375ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,  163.683ms ,  203.125ms ,    0.000ms ,  162.323ms ,  203.125ms ,    0.000ms ,  162.805ms ,   10.554ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.506ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.150ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.418ms ,    0.000ms ,    0.000ms ,    0.000ms ,  141.695ms ,  156.250ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   79.620ms ,  109.375ms ,    0.000ms ,   78.470ms ,  109.375ms ,    0.000ms ,   78.835ms ,    4.087ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.114ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.215ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.521ms ,    0.000ms ,    0.000ms ,    0.000ms ,   68.533ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   88.860ms ,  109.375ms ,    0.000ms ,   86.954ms ,  109.375ms ,    0.000ms ,   88.052ms ,    3.584ms ,   46.875ms ,    0.000ms ,    0.000ms ,    2.267ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.149ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.416ms ,    0.000ms ,    0.000ms ,    0.000ms ,   80.538ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   96.275ms ,  125.000ms ,    0.000ms ,   94.778ms ,  125.000ms ,    0.000ms ,   95.398ms ,    7.536ms ,   62.500ms ,    0.000ms ,    0.000ms ,    6.352ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.281ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.737ms ,    0.000ms ,    0.000ms ,    0.000ms ,   79.872ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   93.641ms ,  125.000ms ,    0.000ms ,   92.035ms ,  125.000ms ,    0.000ms ,   92.798ms ,    6.990ms ,   31.250ms ,    0.000ms ,    0.000ms ,    4.195ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.229ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.696ms ,    0.000ms ,    0.000ms ,    0.000ms ,   79.925ms ,   93.750ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   95.494ms ,   93.750ms ,    0.000ms ,   93.826ms ,   62.500ms ,    0.000ms ,   94.453ms ,    4.707ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.322ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.187ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.528ms ,    0.000ms ,    0.000ms ,    0.000ms ,   83.082ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   98.226ms ,  109.375ms ,    0.000ms ,   96.569ms ,  109.375ms ,    0.000ms ,   97.170ms ,    5.029ms ,    0.000ms ,    0.000ms ,    0.000ms ,    6.776ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.246ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.622ms ,    0.000ms ,    0.000ms ,    0.000ms ,   83.896ms ,  109.375ms ,    0.000ms ,    0.000ms
