scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   10.897ms ,    0.000ms ,    1.890ms ,    1.807ms ,    0.000ms ,    1.772ms ,    0.007ms ,    0.001ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.010ms ,    0.000ms ,    0.149ms ,    0.122ms ,    1.750ms ,    0.000ms ,    0.399ms ,    0.394ms ,    0.042ms ,    0.000ms ,    1.220ms ,    1.217ms
sublime         , simple_vbo                ,    3.064ms ,   15.625ms ,    0.776ms ,    0.258ms ,    0.000ms ,    0.665ms ,    0.005ms ,    0.136ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.067ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.134ms ,    0.118ms ,    0.007ms ,    0.000ms ,    0.268ms ,    0.261ms ,    0.044ms ,    0.000ms ,    0.259ms ,    0.256ms
sublime         , simple_vbo_stor           ,    2.892ms ,    0.000ms ,    2.541ms ,    0.176ms ,    0.000ms ,    2.421ms ,    0.007ms ,    0.046ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.077ms ,    0.000ms ,    0.067ms ,    0.043ms ,    0.003ms ,    0.000ms ,    0.307ms ,    0.273ms ,    0.009ms ,    0.000ms ,    0.702ms ,    0.683ms ,    0.041ms ,    0.000ms ,    1.339ms ,    1.331ms
sublime         , complete_vbo              ,    1.713ms ,    0.000ms ,    0.945ms ,    0.508ms ,    0.000ms ,    0.835ms ,    0.005ms ,    0.254ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.162ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.150ms ,    0.134ms ,    0.020ms ,    0.000ms ,    0.396ms ,    0.392ms ,    0.069ms ,    0.000ms ,    0.284ms ,    0.282ms
sublime         , one_ssbo                  ,    1.238ms ,   31.250ms ,    0.856ms ,    0.177ms ,   31.250ms ,    0.768ms ,    0.004ms ,    0.045ms ,   31.250ms ,    0.001ms ,    0.000ms ,    0.057ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.142ms ,    0.128ms ,    0.021ms ,    0.000ms ,    0.369ms ,    0.366ms ,    0.051ms ,    0.000ms ,    0.252ms ,    0.250ms
sublime         , ssbo_instr_list           ,    2.367ms ,    0.000ms ,    1.661ms ,    0.113ms ,    0.000ms ,    1.543ms ,    0.005ms ,    0.033ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.022ms ,    0.000ms ,    0.014ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.016ms ,    0.000ms ,    0.962ms ,    0.954ms ,    0.039ms ,    0.000ms ,    0.251ms ,    0.248ms
sublime         , ssbo_inlined_instr_6      ,    2.222ms ,    0.000ms ,    1.751ms ,    0.240ms ,    0.000ms ,    1.642ms ,    0.005ms ,    0.123ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.050ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.172ms ,    0.142ms ,    0.019ms ,    0.000ms ,    1.216ms ,    1.208ms ,    0.045ms ,    0.000ms ,    0.250ms ,    0.247ms
sublime         , ssbo_inlined_instr_4_4    ,    1.748ms ,    0.000ms ,    1.246ms ,    0.166ms ,    0.000ms ,    1.151ms ,    0.006ms ,    0.045ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.037ms ,    0.000ms ,    0.014ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.310ms ,    0.275ms ,    0.028ms ,    0.000ms ,    0.554ms ,    0.546ms ,    0.053ms ,    0.000ms ,    0.267ms ,    0.264ms
sublime         , ssbo_inlined_instr_6_6    ,    1.974ms ,   15.625ms ,    1.405ms ,    0.195ms ,    0.000ms ,    1.310ms ,    0.004ms ,    0.063ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.049ms ,    0.000ms ,    0.014ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.308ms ,    0.274ms ,    0.012ms ,    0.000ms ,    0.728ms ,    0.720ms ,    0.068ms ,    0.000ms ,    0.253ms ,    0.250ms
sublime         , ssbo_inlined_instr_8_8    ,    2.423ms ,   15.625ms ,    1.827ms ,    0.247ms ,    0.000ms ,    1.709ms ,    0.005ms ,    0.072ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.071ms ,    0.000ms ,    0.014ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.309ms ,    0.274ms ,    0.032ms ,    0.000ms ,    1.128ms ,    1.119ms ,    0.069ms ,    0.000ms ,    0.253ms ,    0.250ms
sublime         , ssbo_inlined_instr_10_10  ,    2.341ms ,    0.000ms ,    1.585ms ,    0.371ms ,    0.000ms ,    1.357ms ,    0.004ms ,    0.193ms ,    0.000ms ,    0.006ms ,    0.000ms ,    0.072ms ,    0.000ms ,    0.014ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.308ms ,    0.274ms ,    0.012ms ,    0.000ms ,    0.775ms ,    0.767ms ,    0.091ms ,    0.000ms ,    0.253ms ,    0.250ms
