scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,     1807us ,        0us , 1772.280us ,        7us ,        1us ,        0us ,    1.240us ,    0.000us ,        4us ,        0us ,    3.920us ,    0.240us ,       10us ,        0us ,  148.880us ,  121.960us ,     1750us ,        0us ,  398.720us ,  394.320us ,       42us ,        0us , 1219.520us , 1216.680us
sublime         , simple_vbo                ,     1 ,      258us ,        0us ,  665.240us ,        5us ,      136us ,        0us ,    1.480us ,    0.000us ,       67us ,        0us ,    3.560us ,    0.320us ,        4us ,        0us ,  133.560us ,  117.680us ,        7us ,        0us ,  267.840us ,  260.920us ,       44us ,        0us ,  258.800us ,  255.640us
sublime         , simple_vbo_stor           ,     1 ,      176us ,        0us , 2421.060us ,        7us ,       46us ,        0us ,    5.960us ,    0.000us ,       77us ,        0us ,   66.640us ,   43.280us ,        3us ,        0us ,  307.480us ,  272.960us ,        9us ,        0us ,  701.720us ,  683.320us ,       41us ,        0us , 1339.260us , 1331.420us
sublime         , complete_vbo              ,     1 ,      508us ,        0us ,  834.960us ,        5us ,      254us ,        0us ,    1.240us ,    0.000us ,      162us ,        0us ,    2.960us ,    0.240us ,        3us ,        0us ,  149.880us ,  133.640us ,       20us ,        0us ,  396.400us ,  392.400us ,       69us ,        0us ,  284.480us ,  281.680us
sublime         , one_ssbo                  ,     1 ,      177us ,    31250us ,  767.840us ,        4us ,       45us ,    31250us ,    1.280us ,    0.000us ,       57us ,        0us ,    2.880us ,    0.240us ,        3us ,        0us ,  142.160us ,  127.720us ,       21us ,        0us ,  369.080us ,  365.560us ,       51us ,        0us ,  252.440us ,  249.880us
sublime         , ssbo_instr_list           ,     1 ,      113us ,        0us , 1543.010us ,        5us ,       33us ,        0us ,    6.280us ,    0.000us ,       22us ,        0us ,   14.480us ,    1.320us ,        3us ,        0us ,  308.840us ,  273.960us ,       16us ,        0us ,  962.370us ,  953.690us ,       39us ,        0us ,  251.040us ,  248.240us
sublime         , ssbo_inlined_instr_6      ,     1 ,      240us ,        0us , 1641.930us ,        5us ,      123us ,        0us ,    1.280us ,    0.000us ,       50us ,        0us ,    2.960us ,    0.280us ,        3us ,        0us ,  171.690us ,  141.810us ,       19us ,        0us , 1216.000us , 1207.520us ,       45us ,        0us ,  250.000us ,  247.360us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      166us ,        0us , 1150.810us ,        6us ,       45us ,        0us ,    6.000us ,    0.000us ,       37us ,        0us ,   13.920us ,    1.240us ,        3us ,        0us ,  309.520us ,  274.920us ,       28us ,        0us ,  554.130us ,  545.690us ,       53us ,        0us ,  267.240us ,  264.480us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      195us ,        0us , 1310.080us ,        4us ,       63us ,        0us ,    6.200us ,    0.000us ,       49us ,        0us ,   14.280us ,    1.240us ,        3us ,        0us ,  308.480us ,  273.720us ,       12us ,        0us ,  728.480us ,  720.120us ,       68us ,        0us ,  252.640us ,  249.960us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      247us ,        0us , 1709.470us ,        5us ,       72us ,        0us ,    5.960us ,    0.000us ,       71us ,        0us ,   13.840us ,    1.200us ,        3us ,        0us ,  308.850us ,  273.970us ,       32us ,        0us , 1127.780us , 1119.300us ,       69us ,        0us ,  253.040us ,  250.480us
