scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               , 1991.765ms , 1937.500ms , 1989.769ms , 1923.127ms , 1921.875ms , 1805.509ms , 1972.737ms ,    0.258ms ,    0.000ms ,    0.030ms ,    0.000ms ,    0.469ms ,    0.000ms ,    0.096ms ,    0.030ms ,    2.731ms ,    0.000ms ,    0.895ms ,    0.829ms , 1875.116ms , 1843.750ms , 1742.709ms , 1742.672ms ,   44.553ms ,   78.125ms ,   61.779ms ,   61.756ms
sublime         , simple_vbo                ,  215.424ms ,  109.375ms ,  214.206ms ,   95.228ms ,   93.750ms ,  137.828ms ,  213.422ms ,   14.227ms ,    0.000ms ,    0.021ms ,    0.000ms ,   12.184ms ,    0.000ms ,   16.437ms ,   16.389ms ,    3.466ms ,   15.625ms ,    0.643ms ,    0.595ms ,   18.941ms ,   15.625ms ,   62.801ms ,   62.773ms ,   46.410ms ,   62.500ms ,   57.925ms ,   57.901ms
sublime         , simple_vbo_stor           ,  218.661ms ,   93.750ms ,  217.901ms ,  102.797ms ,   78.125ms ,  120.153ms ,  216.373ms ,   15.573ms ,    0.000ms ,    0.021ms ,    0.000ms ,    9.419ms ,    0.000ms ,    0.069ms ,    0.021ms ,    3.783ms ,    0.000ms ,    0.634ms ,    0.586ms ,   21.458ms ,   31.250ms ,   62.771ms ,   62.744ms ,   52.564ms ,   46.875ms ,   56.658ms ,   56.634ms
sublime         , complete_vbo              ,  323.249ms ,  156.250ms ,  322.418ms ,  169.560ms ,  156.250ms ,  231.865ms ,  319.953ms ,   45.712ms ,   15.625ms ,    0.020ms ,    0.000ms ,   56.957ms ,   78.125ms ,   82.996ms ,   82.948ms ,    4.340ms ,    0.000ms ,    0.653ms ,    0.605ms ,   22.473ms ,    0.000ms ,   88.946ms ,   88.918ms ,   40.078ms ,   62.500ms ,   59.250ms ,   59.227ms
sublime         , one_ssbo                  ,  267.258ms ,   62.500ms ,  267.333ms ,  114.673ms ,   62.500ms ,  165.690ms ,  264.467ms ,   16.680ms ,    0.000ms ,    0.021ms ,    0.000ms ,   13.049ms ,    0.000ms ,   17.994ms ,   17.947ms ,    4.554ms ,    0.000ms ,    0.616ms ,    0.569ms ,   26.206ms ,    0.000ms ,   89.752ms ,   89.726ms ,   54.184ms ,   62.500ms ,   57.307ms ,   57.284ms
sublime         , ssbo_instr_list           ,  273.663ms ,  125.000ms ,  272.911ms ,   97.934ms ,  125.000ms ,  210.591ms ,  271.417ms ,   14.498ms ,   15.625ms ,    0.020ms ,    0.000ms ,   24.475ms ,    0.000ms ,   34.572ms ,   34.524ms ,    3.686ms ,    0.000ms ,    0.647ms ,    0.599ms ,   12.174ms ,   31.250ms ,  116.265ms ,  116.237ms ,   43.101ms ,   78.125ms ,   59.087ms ,   59.064ms
sublime         , ssbo_inlined_instr_6      ,  294.583ms ,  125.000ms ,  293.571ms ,  122.659ms ,  109.375ms ,  186.248ms ,  290.878ms ,   19.286ms ,    0.000ms ,    0.020ms ,    0.000ms ,   14.312ms ,   31.250ms ,   14.909ms ,   14.863ms ,    4.965ms ,   15.625ms ,    0.614ms ,    0.568ms ,   26.927ms ,   46.875ms ,  111.456ms ,  111.430ms ,   57.169ms ,   15.625ms ,   59.247ms ,   59.224ms
sublime         , ssbo_inlined_instr_4_4    ,  262.341ms ,   15.625ms ,  261.564ms ,   96.129ms ,    0.000ms ,  172.160ms ,  259.740ms ,   17.531ms ,    0.000ms ,    0.021ms ,    0.000ms ,   10.319ms ,    0.000ms ,    8.658ms ,    8.612ms ,    4.068ms ,    0.000ms ,    0.616ms ,    0.569ms ,   21.978ms ,    0.000ms ,  105.891ms ,  105.864ms ,   42.233ms ,    0.000ms ,   56.975ms ,   56.952ms
sublime         , ssbo_inlined_instr_6_6    ,  277.176ms ,  125.000ms ,  276.665ms ,  103.732ms ,   93.750ms ,  186.812ms ,  273.113ms ,   18.594ms ,   15.625ms ,    0.021ms ,    0.000ms ,   12.324ms ,    0.000ms ,   13.830ms ,   13.782ms ,    4.255ms ,    0.000ms ,    0.626ms ,    0.579ms ,   22.759ms ,    0.000ms ,  111.787ms ,  111.760ms ,   45.800ms ,   78.125ms ,   60.549ms ,   60.526ms
sublime         , ssbo_inlined_instr_8_8    ,  320.162ms ,  125.000ms ,  318.658ms ,  137.099ms ,  125.000ms ,  207.736ms ,  316.958ms ,   27.934ms ,    0.000ms ,    0.021ms ,    0.000ms ,   17.625ms ,    0.000ms ,   25.849ms ,   25.801ms ,    4.982ms ,    0.000ms ,    0.633ms ,    0.585ms ,   28.191ms ,   62.500ms ,  121.280ms ,  121.252ms ,   58.367ms ,   62.500ms ,   59.953ms ,   59.930ms
