scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               , 2008.727ms , 1937.500ms ,    0.000ms , 2004.002ms , 1937.500ms ,    0.000ms , 1989.858ms ,    0.151ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.626ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.098ms ,    0.000ms ,    0.000ms ,    0.000ms , 1953.852ms , 1921.875ms ,    0.000ms ,    0.000ms ,   46.275ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,  180.719ms ,  109.375ms ,    0.000ms ,  176.676ms ,   93.750ms ,    0.000ms ,  178.722ms ,   21.725ms ,   15.625ms ,    0.000ms ,    0.000ms ,   26.141ms ,   31.250ms ,    0.000ms ,    0.000ms ,    3.545ms ,   15.625ms ,    0.000ms ,    0.000ms ,   20.818ms ,   15.625ms ,    0.000ms ,    0.000ms ,  104.447ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,  182.844ms ,  140.625ms ,    0.000ms ,  178.124ms ,  140.625ms ,    0.000ms ,  180.801ms ,   20.893ms ,   15.625ms ,    0.000ms ,    0.000ms ,    9.749ms ,   15.625ms ,    0.000ms ,    0.000ms ,    3.371ms ,   15.625ms ,    0.000ms ,    0.000ms ,   19.995ms ,   46.875ms ,    0.000ms ,    0.000ms ,  124.116ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,  263.758ms ,  234.375ms ,    0.000ms ,  259.694ms ,  234.375ms ,    0.000ms ,  261.287ms ,   76.101ms ,   93.750ms ,    0.000ms ,    0.000ms ,  107.605ms ,   31.250ms ,    0.000ms ,    0.000ms ,    6.186ms ,    0.000ms ,    0.000ms ,    0.000ms ,   23.535ms ,   62.500ms ,    0.000ms ,    0.000ms ,   46.267ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,  211.928ms ,  109.375ms ,    0.000ms ,  208.363ms ,  109.375ms ,    0.000ms ,  209.727ms ,   19.887ms ,   78.125ms ,    0.000ms ,    0.000ms ,   30.633ms ,   15.625ms ,    0.000ms ,    0.000ms ,    3.778ms ,    0.000ms ,    0.000ms ,    0.000ms ,   25.201ms ,    0.000ms ,    0.000ms ,    0.000ms ,  128.864ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,  222.650ms ,  109.375ms ,    0.000ms ,  218.829ms ,   93.750ms ,    0.000ms ,  219.972ms ,   14.321ms ,   15.625ms ,    0.000ms ,    0.000ms ,  135.828ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.533ms ,    0.000ms ,    0.000ms ,    0.000ms ,   14.434ms ,    0.000ms ,    0.000ms ,    0.000ms ,   49.713ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,  242.729ms ,  125.000ms ,    0.000ms ,  238.408ms ,  125.000ms ,    0.000ms ,  241.482ms ,   21.416ms ,    0.000ms ,    0.000ms ,    0.000ms ,   37.706ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.034ms ,    0.000ms ,    0.000ms ,    0.000ms ,   27.380ms ,   31.250ms ,    0.000ms ,    0.000ms ,  147.872ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,  238.412ms ,  109.375ms ,    0.000ms ,  234.557ms ,   93.750ms ,    0.000ms ,  237.294ms ,   24.544ms ,   15.625ms ,    0.000ms ,    0.000ms ,   29.574ms ,   31.250ms ,    0.000ms ,    0.000ms ,    4.062ms ,    0.000ms ,    0.000ms ,    0.000ms ,   25.452ms ,   15.625ms ,    0.000ms ,    0.000ms ,  150.925ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,  244.820ms ,  140.625ms ,    0.000ms ,  240.751ms ,  140.625ms ,    0.000ms ,  241.028ms ,   25.948ms ,   46.875ms ,    0.000ms ,    0.000ms ,   38.908ms ,   31.250ms ,    0.000ms ,    0.000ms ,    4.107ms ,    0.000ms ,    0.000ms ,    0.000ms ,   25.468ms ,   31.250ms ,    0.000ms ,    0.000ms ,  146.320ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,  264.587ms ,  109.375ms ,    0.000ms ,  260.648ms ,   93.750ms ,    0.000ms ,  261.049ms ,   28.043ms ,    0.000ms ,    0.000ms ,    0.000ms ,   57.475ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.771ms ,   31.250ms ,    0.000ms ,    0.000ms ,   26.754ms ,   15.625ms ,    0.000ms ,    0.000ms ,  143.605ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,  270.195ms ,  156.250ms ,    0.000ms ,  266.524ms ,  156.250ms ,    0.000ms ,  266.448ms ,   28.403ms ,   46.875ms ,    0.000ms ,    0.000ms ,   83.557ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.732ms ,   15.625ms ,    0.000ms ,    0.000ms ,   25.207ms ,   62.500ms ,    0.000ms ,    0.000ms ,  124.625ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,  335.758ms ,  171.875ms ,    0.000ms ,  332.228ms ,  171.875ms ,    0.000ms ,  332.497ms ,   32.512ms ,   15.625ms ,    0.000ms ,    0.000ms ,  226.110ms ,   46.875ms ,    0.000ms ,    0.000ms ,    6.268ms ,   31.250ms ,    0.000ms ,    0.000ms ,   25.059ms ,   31.250ms ,    0.000ms ,    0.000ms ,   42.279ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,  246.944ms ,  125.000ms ,    0.000ms ,  242.541ms ,  125.000ms ,    0.000ms ,  244.541ms ,   25.690ms ,   15.625ms ,    0.000ms ,    0.000ms ,   18.957ms ,   31.250ms ,    0.000ms ,    0.000ms ,    3.746ms ,   15.625ms ,    0.000ms ,    0.000ms ,   26.250ms ,   15.625ms ,    0.000ms ,    0.000ms ,  167.898ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,  256.097ms ,   62.500ms ,    0.000ms ,  252.034ms ,   62.500ms ,    0.000ms ,  253.220ms ,   24.553ms ,    0.000ms ,    0.000ms ,    0.000ms ,   20.867ms ,   15.625ms ,    0.000ms ,    0.000ms ,    3.707ms ,    0.000ms ,    0.000ms ,    0.000ms ,   21.484ms ,   15.625ms ,    0.000ms ,    0.000ms ,  181.423ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_10   ,  286.512ms ,   78.125ms ,    0.000ms ,  282.375ms ,   78.125ms ,    0.000ms ,  283.307ms ,   24.451ms ,   31.250ms ,    0.000ms ,    0.000ms ,   22.481ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.950ms ,    0.000ms ,    0.000ms ,    0.000ms ,   23.661ms ,    0.000ms ,    0.000ms ,    0.000ms ,  207.832ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_20   ,  334.156ms ,   46.875ms ,    0.000ms ,  329.544ms ,   46.875ms ,    0.000ms ,  332.946ms ,   18.383ms ,   15.625ms ,    0.000ms ,    0.000ms ,   27.705ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.177ms ,    0.000ms ,    0.000ms ,    0.000ms ,   21.056ms ,   31.250ms ,    0.000ms ,    0.000ms ,  259.223ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_4    ,  276.136ms ,  125.000ms ,    0.000ms ,  269.653ms ,  125.000ms ,    0.000ms ,  272.207ms ,   25.313ms ,    0.000ms ,    0.000ms ,    0.000ms ,   23.197ms ,   15.625ms ,    0.000ms ,    0.000ms ,    4.118ms ,   15.625ms ,    0.000ms ,    0.000ms ,   24.717ms ,   31.250ms ,    0.000ms ,    0.000ms ,  192.308ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_4    ,  266.424ms ,   93.750ms ,    0.000ms ,  261.092ms ,   93.750ms ,    0.000ms ,  263.867ms ,   23.569ms ,    0.000ms ,    0.000ms ,    0.000ms ,   27.955ms ,   31.250ms ,    0.000ms ,    0.000ms ,    3.806ms ,    0.000ms ,    0.000ms ,    0.000ms ,   24.453ms ,   15.625ms ,    0.000ms ,    0.000ms ,  181.309ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_4   ,  249.738ms ,  109.375ms ,    0.000ms ,  246.114ms ,  109.375ms ,    0.000ms ,  246.953ms ,   21.152ms ,    0.000ms ,    0.000ms ,    0.000ms ,   37.048ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.237ms ,    0.000ms ,    0.000ms ,    0.000ms ,   20.096ms ,   46.875ms ,    0.000ms ,    0.000ms ,  164.581ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_4   ,  243.094ms ,   62.500ms ,    0.000ms ,  238.927ms ,   62.500ms ,    0.000ms ,  240.724ms ,   33.253ms ,   15.625ms ,    0.000ms ,    0.000ms ,  139.409ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.587ms ,    0.000ms ,    0.000ms ,    0.000ms ,   23.107ms ,    0.000ms ,    0.000ms ,    0.000ms ,   38.571ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_4        ,  220.671ms ,   31.250ms ,    0.000ms ,  216.247ms ,   31.250ms ,    0.000ms ,  218.537ms ,   16.389ms ,   15.625ms ,    0.000ms ,    0.000ms ,  140.494ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.735ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.694ms ,    0.000ms ,    0.000ms ,    0.000ms ,   41.935ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_6        ,  222.883ms ,   15.625ms ,    0.000ms ,  219.079ms ,    0.000ms ,    0.000ms ,  220.162ms ,   14.626ms ,    0.000ms ,    0.000ms ,    0.000ms ,  152.753ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.985ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.483ms ,    0.000ms ,    0.000ms ,    0.000ms ,   36.232ms ,    0.000ms ,    0.000ms ,    0.000ms
