scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   27.014ms ,   31.250ms ,   23.192ms ,   26.421ms ,   31.250ms ,   23.054ms ,    0.115ms ,    0.002ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.024ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.269ms ,    0.000ms ,    0.022ms ,    0.022ms ,   20.319ms ,   31.250ms ,   19.596ms ,   19.596ms ,    5.807ms ,    0.000ms ,    3.434ms ,    3.434ms
sublime         , simple_vbo                ,    2.651ms ,    0.000ms ,    1.392ms ,    1.484ms ,    0.000ms ,    1.209ms ,    0.011ms ,    0.328ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.123ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.032ms ,    0.000ms ,    0.007ms ,    0.006ms ,    0.550ms ,    0.000ms ,    0.642ms ,    0.641ms ,    0.451ms ,    0.000ms ,    0.559ms ,    0.559ms
sublime         , simple_vbo_stor           ,    2.161ms ,    0.000ms ,    1.475ms ,    0.934ms ,    0.000ms ,    1.279ms ,    0.010ms ,    0.152ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.117ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.034ms ,    0.000ms ,    0.007ms ,    0.006ms ,    0.196ms ,    0.000ms ,    0.643ms ,    0.643ms ,    0.435ms ,    0.000ms ,    0.628ms ,    0.628ms
sublime         , complete_vbo              ,    4.267ms ,    0.000ms ,    3.328ms ,    2.803ms ,    0.000ms ,    3.083ms ,    0.010ms ,    0.808ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.943ms ,    0.000ms ,    1.641ms ,    1.641ms ,    0.041ms ,    0.000ms ,    0.007ms ,    0.006ms ,    0.588ms ,    0.000ms ,    0.894ms ,    0.894ms ,    0.423ms ,    0.000ms ,    0.541ms ,    0.540ms
sublime         , one_ssbo                  ,    2.816ms ,    0.000ms ,    1.830ms ,    1.300ms ,    0.000ms ,    1.463ms ,    0.011ms ,    0.156ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.075ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.035ms ,    0.000ms ,    0.007ms ,    0.006ms ,    0.618ms ,    0.000ms ,    0.896ms ,    0.896ms ,    0.416ms ,    0.000ms ,    0.560ms ,    0.560ms
sublime         , ssbo_instr_list           ,    3.081ms ,    0.000ms ,    2.686ms ,    1.252ms ,    0.000ms ,    2.458ms ,    0.010ms ,    0.117ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.621ms ,    0.000ms ,    0.726ms ,    0.726ms ,    0.033ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.157ms ,    0.000ms ,    1.173ms ,    1.173ms ,    0.324ms ,    0.000ms ,    0.551ms ,    0.551ms
sublime         , ssbo_inlined_instr_6      ,    3.142ms ,    0.000ms ,    2.318ms ,    0.988ms ,    0.000ms ,    2.098ms ,    0.010ms ,    0.254ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.074ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.035ms ,    0.000ms ,    0.012ms ,    0.011ms ,    0.231ms ,    0.000ms ,    1.483ms ,    1.483ms ,    0.394ms ,    0.000ms ,    0.600ms ,    0.600ms
sublime         , ssbo_inlined_instr_4_4    ,    2.913ms ,    0.000ms ,    2.158ms ,    0.904ms ,    0.000ms ,    1.997ms ,    0.012ms ,    0.155ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.065ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.033ms ,    0.000ms ,    0.013ms ,    0.012ms ,    0.230ms ,    0.000ms ,    1.418ms ,    1.418ms ,    0.421ms ,    0.000ms ,    0.564ms ,    0.564ms
sublime         , ssbo_inlined_instr_6_6    ,    3.063ms ,    0.000ms ,    2.619ms ,    1.344ms ,    0.000ms ,    2.402ms ,    0.012ms ,    0.244ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.266ms ,    0.000ms ,    0.673ms ,    0.673ms ,    0.033ms ,    0.000ms ,    0.007ms ,    0.006ms ,    0.245ms ,    0.000ms ,    1.144ms ,    1.144ms ,    0.556ms ,    0.000ms ,    0.577ms ,    0.577ms
sublime         , ssbo_inlined_instr_8_8    ,    3.260ms ,   15.625ms ,    2.430ms ,    0.988ms ,   15.625ms ,    2.197ms ,    0.009ms ,    0.252ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.034ms ,    0.000ms ,    0.013ms ,    0.012ms ,    0.230ms ,    0.000ms ,    1.595ms ,    1.594ms ,    0.387ms ,    0.000ms ,    0.588ms ,    0.588ms
