scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,    26421us ,    31250us , 23053.550us ,      115us ,        2us ,        0us ,    0.230us ,    0.000us ,       24us ,        0us ,    0.720us ,    0.230us ,      269us ,        0us ,   22.140us ,   21.700us ,    20319us ,    31250us , 19596.190us , 19595.880us ,     5807us ,        0us , 3434.270us , 3434.040us
sublime         , simple_vbo                ,     1 ,     1484us ,        0us , 1208.680us ,       11us ,      328us ,        0us ,    0.240us ,    0.000us ,      123us ,        0us ,    0.710us ,    0.250us ,       32us ,        0us ,    6.740us ,    6.290us ,      550us ,        0us ,  641.710us ,  641.430us ,      451us ,        0us ,  559.280us ,  559.030us
sublime         , simple_vbo_stor           ,     1 ,      934us ,        0us , 1278.880us ,       10us ,      152us ,        0us ,    0.220us ,    0.000us ,      117us ,        0us ,    0.680us ,    0.240us ,       34us ,        0us ,    6.720us ,    6.240us ,      196us ,        0us ,  642.960us ,  642.670us ,      435us ,        0us ,  628.300us ,  628.050us
sublime         , complete_vbo              ,     1 ,     2803us ,        0us , 3083.070us ,       10us ,      808us ,        0us ,    0.230us ,    0.000us ,      943us ,        0us , 1641.230us , 1640.730us ,       41us ,        0us ,    6.670us ,    6.200us ,      588us ,        0us ,  894.330us ,  894.050us ,      423us ,        0us ,  540.610us ,  540.400us
sublime         , one_ssbo                  ,     1 ,     1300us ,        0us , 1463.330us ,       11us ,      156us ,        0us ,    0.220us ,    0.000us ,       75us ,        0us ,    0.700us ,    0.220us ,       35us ,        0us ,    6.530us ,    6.090us ,      618us ,        0us ,  895.950us ,  895.660us ,      416us ,        0us ,  559.930us ,  559.690us
sublime         , ssbo_instr_list           ,     1 ,     1252us ,        0us , 2458.160us ,       10us ,      117us ,        0us ,    0.190us ,    0.000us ,      621us ,        0us ,  726.420us ,  725.890us ,       33us ,        0us ,    7.050us ,    6.590us ,      157us ,        0us , 1173.090us , 1172.830us ,      324us ,        0us ,  551.410us ,  551.190us
sublime         , ssbo_inlined_instr_6      ,     1 ,      988us ,        0us , 2097.790us ,       10us ,      254us ,        0us ,    0.440us ,    0.000us ,       74us ,        0us ,    1.440us ,    0.440us ,       35us ,        0us ,   12.160us ,   11.160us ,      231us ,        0us , 1483.320us , 1482.800us ,      394us ,        0us ,  600.430us ,  600.190us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      904us ,        0us , 1997.140us ,       12us ,      155us ,        0us ,    0.480us ,    0.000us ,       65us ,        0us ,    1.440us ,    0.440us ,       33us ,        0us ,   12.720us ,   11.760us ,      230us ,        0us , 1418.390us , 1417.830us ,      421us ,        0us ,  564.110us ,  563.880us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,     1344us ,        0us , 2402.400us ,       12us ,      244us ,        0us ,    0.440us ,    0.000us ,      266us ,        0us ,  673.380us ,  672.640us ,       33us ,        0us ,    6.980us ,    6.480us ,      245us ,        0us , 1144.220us , 1143.980us ,      556us ,        0us ,  577.380us ,  577.130us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      988us ,    15625us , 2197.470us ,        9us ,      252us ,    15625us ,    0.440us ,    0.000us ,       85us ,        0us ,    1.440us ,    0.440us ,       34us ,        0us ,   12.760us ,   11.720us ,      230us ,        0us , 1594.810us , 1594.290us ,      387us ,        0us ,  588.020us ,  587.780us
