scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               , 1989.499ms , 1984.375ms , 1987.120ms , 1963.926ms , 1984.375ms , 1819.358ms , 1970.197ms ,    0.247ms ,    0.000ms ,    0.037ms ,    0.000ms ,    0.431ms ,    0.000ms ,    0.121ms ,    0.037ms ,    1.977ms ,    0.000ms ,    1.362ms ,    1.277ms , 1918.980ms , 1984.375ms , 1793.723ms , 1793.672ms ,   42.291ms ,    0.000ms ,   24.115ms ,   24.078ms
sublime         , simple_vbo                ,   75.801ms ,   62.500ms ,   74.406ms ,   63.058ms ,   46.875ms ,   31.614ms ,   75.096ms ,    7.982ms ,    0.000ms ,    0.012ms ,    0.000ms ,   11.460ms ,    0.000ms ,   10.840ms ,   10.812ms ,    1.929ms ,   15.625ms ,    0.402ms ,    0.373ms ,    8.329ms ,    0.000ms ,    6.921ms ,    6.904ms ,   33.358ms ,   31.250ms ,   13.440ms ,   13.427ms
sublime         , simple_vbo_stor           ,   72.691ms ,   62.500ms ,   72.111ms ,   60.239ms ,   62.500ms ,   19.907ms ,   71.986ms ,    7.897ms ,   15.625ms ,    0.013ms ,    0.000ms ,    9.558ms ,   31.250ms ,    0.040ms ,    0.013ms ,    1.901ms ,   15.625ms ,    0.392ms ,    0.366ms ,    8.154ms ,    0.000ms ,    6.649ms ,    6.633ms ,   32.729ms ,    0.000ms ,   12.813ms ,   12.801ms
sublime         , complete_vbo              ,  157.526ms ,   78.125ms ,  156.773ms ,  118.530ms ,   78.125ms ,  105.735ms ,  155.959ms ,   34.479ms ,   15.625ms ,    0.012ms ,    0.000ms ,   40.747ms ,   46.875ms ,   86.036ms ,   86.010ms ,    1.951ms ,    0.000ms ,    0.398ms ,    0.370ms ,    9.281ms ,    0.000ms ,   12.219ms ,   12.202ms ,   32.072ms ,   15.625ms ,    7.071ms ,    7.060ms
sublime         , one_ssbo                  ,   73.148ms ,   62.500ms ,   73.049ms ,   59.929ms ,   46.875ms ,   30.649ms ,   72.450ms ,    5.947ms ,   15.625ms ,    0.011ms ,    0.000ms ,   10.254ms ,    0.000ms ,    8.907ms ,    8.880ms ,    1.901ms ,    0.000ms ,    0.392ms ,    0.365ms ,    9.493ms ,    0.000ms ,   12.789ms ,   12.773ms ,   32.334ms ,   31.250ms ,    8.550ms ,    8.538ms
sublime         , ssbo_instr_list           ,   72.824ms ,   78.125ms ,   72.575ms ,   57.956ms ,   46.875ms ,   47.760ms ,   72.124ms ,    5.273ms ,    0.000ms ,    0.011ms ,    0.000ms ,   13.615ms ,   15.625ms ,   24.441ms ,   24.413ms ,    1.804ms ,    0.000ms ,    0.391ms ,    0.364ms ,    4.899ms ,   15.625ms ,   15.455ms ,   15.440ms ,   32.365ms ,   15.625ms ,    7.462ms ,    7.451ms
sublime         , ssbo_inlined_instr_6      ,   82.989ms ,   62.500ms ,   82.335ms ,   67.003ms ,   62.500ms ,   33.343ms ,   82.167ms ,   10.888ms ,    0.000ms ,    0.011ms ,    0.000ms ,   10.481ms ,   31.250ms ,    8.356ms ,    8.328ms ,    1.957ms ,    0.000ms ,    0.393ms ,    0.366ms ,    9.279ms ,    0.000ms ,   16.691ms ,   16.676ms ,   34.398ms ,   31.250ms ,    7.893ms ,    7.881ms
sublime         , ssbo_inlined_instr_4_4    ,   75.472ms ,   62.500ms ,   75.015ms ,   61.737ms ,   46.875ms ,   29.769ms ,   74.717ms ,    8.709ms ,    0.000ms ,    0.012ms ,    0.000ms ,    8.319ms ,   15.625ms ,    6.772ms ,    6.746ms ,    1.910ms ,    0.000ms ,    0.387ms ,    0.360ms ,    9.276ms ,   15.625ms ,   14.631ms ,   14.615ms ,   33.523ms ,   15.625ms ,    7.966ms ,    7.952ms
sublime         , ssbo_inlined_instr_6_6    ,   79.653ms ,   78.125ms ,   79.137ms ,   63.413ms ,   78.125ms ,   32.662ms ,   78.880ms ,    9.448ms ,   15.625ms ,    0.011ms ,    0.000ms ,   10.255ms ,   15.625ms ,    8.498ms ,    8.472ms ,    1.931ms ,    0.000ms ,    0.387ms ,    0.360ms ,    9.219ms ,   15.625ms ,   16.709ms ,   16.694ms ,   32.560ms ,   31.250ms ,    7.055ms ,    7.043ms
sublime         , ssbo_inlined_instr_8_8    ,   86.489ms ,   78.125ms ,   85.925ms ,   67.558ms ,   78.125ms ,   38.574ms ,   85.382ms ,   10.231ms ,   15.625ms ,    0.012ms ,    0.000ms ,   12.436ms ,    0.000ms ,   11.631ms ,   11.605ms ,    2.022ms ,   15.625ms ,    0.386ms ,    0.359ms ,    9.356ms ,   15.625ms ,   18.886ms ,   18.870ms ,   33.513ms ,   31.250ms ,    7.659ms ,    7.647ms
