scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               , 1980.520ms , 1953.125ms ,    0.000ms , 1977.576ms , 1953.125ms ,    0.000ms , 1961.411ms ,    0.160ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.544ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.987ms ,    0.000ms ,    0.000ms ,    0.000ms , 1933.020ms , 1890.625ms ,    0.000ms ,    0.000ms ,   41.865ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   84.287ms ,   78.125ms ,    0.000ms ,   81.862ms ,   78.125ms ,    0.000ms ,   83.424ms ,    7.919ms ,   15.625ms ,    0.000ms ,    0.000ms ,   11.593ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.874ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.253ms ,    0.000ms ,    0.000ms ,    0.000ms ,   52.223ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   90.112ms ,   62.500ms ,    0.000ms ,   87.653ms ,   46.875ms ,    0.000ms ,   89.235ms ,    7.761ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.593ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.869ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.100ms ,    0.000ms ,    0.000ms ,    0.000ms ,   60.330ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,  122.532ms ,  109.375ms ,    0.000ms ,  120.237ms ,  109.375ms ,    0.000ms ,  121.343ms ,   34.627ms ,   15.625ms ,    0.000ms ,    0.000ms ,   41.255ms ,   46.875ms ,    0.000ms ,    0.000ms ,    1.981ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.241ms ,    0.000ms ,    0.000ms ,    0.000ms ,   33.133ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   85.260ms ,   62.500ms ,    0.000ms ,   82.957ms ,   62.500ms ,    0.000ms ,   84.362ms ,    5.874ms ,    0.000ms ,    0.000ms ,    0.000ms ,   10.352ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.863ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.449ms ,   15.625ms ,    0.000ms ,    0.000ms ,   55.419ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   66.314ms ,   62.500ms ,    0.000ms ,   63.960ms ,   62.500ms ,    0.000ms ,   65.711ms ,    5.207ms ,   31.250ms ,    0.000ms ,    0.000ms ,   14.853ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.935ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.875ms ,    0.000ms ,    0.000ms ,    0.000ms ,   37.090ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   94.321ms ,   78.125ms ,    0.000ms ,   92.002ms ,   78.125ms ,    0.000ms ,   93.624ms ,   10.802ms ,   15.625ms ,    0.000ms ,    0.000ms ,   10.513ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.918ms ,   31.250ms ,    0.000ms ,    0.000ms ,    9.163ms ,    0.000ms ,    0.000ms ,    0.000ms ,   59.606ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   89.997ms ,   46.875ms ,    0.000ms ,   87.586ms ,   46.875ms ,    0.000ms ,   89.333ms ,    8.654ms ,   15.625ms ,    0.000ms ,    0.000ms ,    8.407ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.977ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.253ms ,    0.000ms ,    0.000ms ,    0.000ms ,   59.295ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   93.463ms ,   78.125ms ,    0.000ms ,   91.066ms ,   46.875ms ,    0.000ms ,   92.373ms ,    9.465ms ,    0.000ms ,    0.000ms ,    0.000ms ,   10.311ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.876ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.385ms ,   31.250ms ,    0.000ms ,    0.000ms ,   60.029ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   95.626ms ,   78.125ms ,    0.000ms ,   93.345ms ,   78.125ms ,    0.000ms ,   94.525ms ,   10.111ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.507ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.911ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.259ms ,    0.000ms ,    0.000ms ,    0.000ms ,   59.557ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,   96.460ms ,   62.500ms ,    0.000ms ,   94.112ms ,   62.500ms ,    0.000ms ,   95.261ms ,   11.110ms ,    0.000ms ,    0.000ms ,    0.000ms ,   16.823ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.883ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.186ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.110ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,  116.501ms ,   93.750ms ,    0.000ms ,  114.171ms ,   93.750ms ,    0.000ms ,  115.399ms ,   14.361ms ,    0.000ms ,    0.000ms ,    0.000ms ,   54.548ms ,   46.875ms ,    0.000ms ,    0.000ms ,    1.957ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.263ms ,    0.000ms ,    0.000ms ,    0.000ms ,   34.042ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,   92.974ms ,   78.125ms ,    0.000ms ,   90.594ms ,   78.125ms ,    0.000ms ,   92.054ms ,    8.844ms ,   15.625ms ,    0.000ms ,    0.000ms ,    7.887ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.919ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.456ms ,   15.625ms ,    0.000ms ,    0.000ms ,   62.488ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,   95.321ms ,   62.500ms ,    0.000ms ,   93.013ms ,   62.500ms ,    0.000ms ,   94.339ms ,    8.691ms ,   15.625ms ,    0.000ms ,    0.000ms ,    7.868ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.876ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.403ms ,    0.000ms ,    0.000ms ,    0.000ms ,   65.175ms ,   31.250ms ,    0.000ms ,    0.000ms
