scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   33.383ms ,   15.625ms ,   32.787ms ,   33.031ms ,   15.625ms ,   32.540ms ,    0.121ms ,    0.002ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.019ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.202ms ,    0.000ms ,    0.054ms ,    0.053ms ,   26.189ms ,   15.625ms ,   28.619ms ,   28.619ms ,    6.619ms ,    0.000ms ,    3.865ms ,    3.864ms
sublime         , simple_vbo                ,    3.965ms ,    0.000ms ,    2.657ms ,    1.804ms ,    0.000ms ,    0.525ms ,    0.010ms ,    0.259ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.141ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.038ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.461ms ,    0.000ms ,    0.275ms ,    0.274ms ,    0.905ms ,    0.000ms ,    0.233ms ,    0.233ms
sublime         , simple_vbo_stor           ,    1.599ms ,    0.000ms ,    0.621ms ,    1.207ms ,    0.000ms ,    0.410ms ,    0.009ms ,    0.113ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.331ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.031ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.206ms ,    0.000ms ,    0.257ms ,    0.257ms ,    0.526ms ,    0.000ms ,    0.136ms ,    0.136ms
sublime         , complete_vbo              ,    4.067ms ,    0.000ms ,    3.241ms ,    3.777ms ,    0.000ms ,    3.044ms ,    0.010ms ,    0.717ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.631ms ,    0.000ms ,    2.762ms ,    2.762ms ,    0.035ms ,    0.000ms ,    0.006ms ,    0.005ms ,    0.370ms ,    0.000ms ,    0.176ms ,    0.176ms ,    2.024ms ,    0.000ms ,    0.099ms ,    0.099ms
sublime         , one_ssbo                  ,    1.682ms ,   15.625ms ,    0.477ms ,    1.490ms ,   15.625ms ,    0.328ms ,    0.010ms ,    0.108ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.114ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.035ms ,    0.000ms ,    0.005ms ,    0.005ms ,    0.725ms ,   15.625ms ,    0.162ms ,    0.161ms ,    0.508ms ,    0.000ms ,    0.161ms ,    0.161ms
sublime         , ssbo_instr_list           ,    2.052ms ,    0.000ms ,    1.420ms ,    1.824ms ,    0.000ms ,    1.274ms ,    0.010ms ,    0.079ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.664ms ,    0.000ms ,    0.748ms ,    0.747ms ,    0.071ms ,    0.000ms ,    0.016ms ,    0.015ms ,    0.240ms ,    0.000ms ,    0.360ms ,    0.359ms ,    0.770ms ,    0.000ms ,    0.149ms ,    0.149ms
sublime         , ssbo_inlined_instr_6      ,    2.656ms ,   15.625ms ,    1.161ms ,    2.079ms ,    0.000ms ,    0.717ms ,    0.020ms ,    0.420ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.113ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.075ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.431ms ,    0.000ms ,    0.562ms ,    0.561ms ,    1.040ms ,    0.000ms ,    0.138ms ,    0.138ms
sublime         , ssbo_inlined_instr_4_4    ,    2.401ms ,   15.625ms ,    1.071ms ,    1.866ms ,   15.625ms ,    0.766ms ,    0.020ms ,    0.228ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.192ms ,   15.625ms ,    0.001ms ,    0.000ms ,    0.064ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.416ms ,    0.000ms ,    0.515ms ,    0.515ms ,    0.966ms ,    0.000ms ,    0.234ms ,    0.234ms
sublime         , ssbo_inlined_instr_6_6    ,    2.921ms ,    0.000ms ,    2.403ms ,    2.282ms ,    0.000ms ,    1.983ms ,    0.022ms ,    0.326ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.513ms ,    0.000ms ,    1.141ms ,    1.140ms ,    0.065ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.472ms ,    0.000ms ,    0.589ms ,    0.589ms ,    0.906ms ,    0.000ms ,    0.237ms ,    0.236ms
sublime         , ssbo_inlined_instr_8_8    ,    2.138ms ,    0.000ms ,    1.128ms ,    1.223ms ,    0.000ms ,    0.920ms ,    0.010ms ,    0.178ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.135ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.036ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.224ms ,    0.000ms ,    0.668ms ,    0.668ms ,    0.650ms ,    0.000ms ,    0.235ms ,    0.234ms
sublime         , ssbo_inlined_instr_10_10  ,    3.531ms ,    0.000ms ,    1.325ms ,    2.591ms ,    0.000ms ,    0.820ms ,    0.021ms ,    0.747ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.314ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.066ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.430ms ,    0.000ms ,    0.665ms ,    0.664ms ,    1.034ms ,    0.000ms ,    0.138ms ,    0.138ms
sublime         , ssbo_inlined_instr_20_20  ,    4.994ms ,    0.000ms ,    2.240ms ,    3.262ms ,    0.000ms ,    1.887ms ,    0.021ms ,    0.827ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.526ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.065ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.463ms ,    0.000ms ,    0.908ms ,    0.907ms ,    1.381ms ,    0.000ms ,    0.963ms ,    0.963ms
sublime         , ssbo_inlined_instr_4_6    ,    2.764ms ,    0.000ms ,    1.080ms ,    2.087ms ,    0.000ms ,    0.775ms ,    0.021ms ,    0.451ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.194ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.079ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.450ms ,    0.000ms ,    0.593ms ,    0.592ms ,    0.913ms ,    0.000ms ,    0.166ms ,    0.165ms
sublime         , ssbo_inlined_instr_4_8    ,    2.758ms ,    0.000ms ,    1.401ms ,    2.018ms ,    0.000ms ,    0.910ms ,    0.021ms ,    0.239ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.185ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.065ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.429ms ,    0.000ms ,    0.670ms ,    0.670ms ,    1.100ms ,    0.000ms ,    0.223ms ,    0.222ms
sublime         , ssbo_inlined_instr_4_10   ,    2.365ms ,    0.000ms ,    1.183ms ,    1.820ms ,    0.000ms ,    0.733ms ,    0.020ms ,    0.226ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.189ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.066ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.367ms ,    0.000ms ,    0.579ms ,    0.578ms ,    0.972ms ,    0.000ms ,    0.138ms ,    0.137ms
sublime         , ssbo_inlined_instr_4_20   ,    3.032ms ,    0.000ms ,    2.742ms ,    1.668ms ,    0.000ms ,    2.204ms ,    0.020ms ,    0.225ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.481ms ,    0.000ms ,    0.925ms ,    0.924ms ,    0.063ms ,    0.000ms ,    0.016ms ,    0.015ms ,    0.314ms ,    0.000ms ,    1.124ms ,    1.124ms ,    0.585ms ,    0.000ms ,    0.138ms ,    0.138ms
sublime         , ssbo_inlined_instr_6_4    ,    2.342ms ,   15.625ms ,    0.904ms ,    2.000ms ,   15.625ms ,    0.577ms ,    0.029ms ,    0.321ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.231ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.065ms ,    0.000ms ,    0.015ms ,    0.014ms ,    0.415ms ,   15.625ms ,    0.419ms ,    0.418ms ,    0.968ms ,    0.000ms ,    0.141ms ,    0.141ms
