scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,    33031us ,    15625us , 32539.852us ,      121us ,        2us ,        0us ,    0.444us ,    0.000us ,       19us ,        0us ,    1.482us ,    0.444us ,      202us ,        0us ,   53.629us ,   52.740us ,    26189us ,    15625us , 28619.408us , 28618.814us ,     6619us ,        0us , 3864.889us , 3864.296us
sublime         , simple_vbo                ,     1 ,     1804us ,        0us ,  525.333us ,       10us ,      259us ,        0us ,    0.444us ,    0.000us ,      141us ,        0us ,    1.334us ,    0.296us ,       38us ,        0us ,   15.407us ,   14.370us ,      461us ,        0us ,  274.963us ,  274.222us ,      905us ,        0us ,  233.185us ,  232.888us
sublime         , simple_vbo_stor           ,     1 ,     1207us ,        0us ,  409.778us ,        9us ,      113us ,        0us ,    0.445us ,    0.000us ,      331us ,        0us ,    1.333us ,    0.444us ,       31us ,        0us ,   14.815us ,   13.777us ,      206us ,        0us ,  257.333us ,  256.740us ,      526us ,        0us ,  135.852us ,  135.703us
sublime         , complete_vbo              ,     1 ,     3777us ,        0us , 3043.704us ,       10us ,      717us ,        0us ,    0.148us ,    0.000us ,      631us ,        0us , 2762.371us , 2761.777us ,       35us ,        0us ,    5.777us ,    5.481us ,      370us ,        0us ,  176.000us ,  175.703us ,     2024us ,        0us ,   99.408us ,   99.259us
sublime         , one_ssbo                  ,     1 ,     1490us ,    15625us ,  328.297us ,       10us ,      108us ,        0us ,    0.149us ,    0.000us ,      114us ,        0us ,    0.444us ,    0.148us ,       35us ,        0us ,    4.889us ,    4.592us ,      725us ,    15625us ,  161.778us ,  161.481us ,      508us ,        0us ,  161.037us ,  160.888us
sublime         , ssbo_instr_list           ,     1 ,     1824us ,        0us , 1273.629us ,       10us ,       79us ,        0us ,    0.444us ,    0.000us ,      664us ,        0us ,  747.852us ,  746.962us ,       71us ,        0us ,   16.296us ,   15.259us ,      240us ,        0us ,  359.556us ,  358.962us ,      770us ,        0us ,  149.481us ,  149.185us
sublime         , ssbo_inlined_instr_6      ,     1 ,     2079us ,        0us ,  716.889us ,       20us ,      420us ,        0us ,    0.445us ,    0.000us ,      113us ,        0us ,    1.481us ,    0.444us ,       75us ,        0us ,   14.963us ,   14.074us ,      431us ,        0us ,  561.778us ,  561.185us ,     1040us ,        0us ,  138.222us ,  138.074us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,     1866us ,    15625us ,  766.074us ,       20us ,      228us ,        0us ,    0.444us ,    0.000us ,      192us ,    15625us ,    1.482us ,    0.444us ,       64us ,        0us ,   14.666us ,   13.777us ,      416us ,        0us ,  515.408us ,  514.814us ,      966us ,        0us ,  234.074us ,  233.629us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,     2282us ,        0us , 1982.666us ,       22us ,      326us ,        0us ,    0.444us ,    0.000us ,      513us ,        0us , 1140.593us , 1139.555us ,       65us ,        0us ,   15.259us ,   14.370us ,      472us ,        0us ,  589.481us ,  588.888us ,      906us ,        0us ,  236.889us ,  236.296us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,     1223us ,        0us ,  919.704us ,       10us ,      178us ,        0us ,    0.445us ,    0.000us ,      135us ,        0us ,    1.333us ,    0.444us ,       36us ,        0us ,   14.963us ,   13.925us ,      224us ,        0us ,  668.445us ,  667.851us ,      650us ,        0us ,  234.518us ,  234.222us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,     2591us ,        0us ,  819.852us ,       21us ,      747us ,        0us ,    0.444us ,    0.000us ,      314us ,        0us ,    1.333us ,    0.444us ,       66us ,        0us ,   15.112us ,   14.074us ,      430us ,        0us ,  664.592us ,  664.000us ,     1034us ,        0us ,  138.371us ,  138.074us
