scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               , 2170.557ms , 2109.375ms , 2166.552ms , 2142.843ms , 2109.375ms , 2029.099ms , 2149.130ms ,    0.226ms ,    0.000ms ,    0.020ms ,    0.000ms ,    0.418ms ,    0.000ms ,    0.064ms ,    0.018ms ,    2.316ms ,    0.000ms ,    1.369ms ,    1.324ms , 2092.312ms , 2078.125ms , 2009.203ms , 2009.174ms ,   47.571ms ,   31.250ms ,   18.443ms ,   18.422ms
sublime         , simple_vbo                ,   73.872ms ,   78.125ms ,   72.760ms ,   60.988ms ,   78.125ms ,   30.333ms ,   73.177ms ,    8.055ms ,   46.875ms ,    0.012ms ,    0.000ms ,   12.559ms ,    0.000ms ,   11.146ms ,   11.117ms ,    1.924ms ,    0.000ms ,    0.719ms ,    0.692ms ,    7.625ms ,   15.625ms ,    7.489ms ,    7.471ms ,   30.825ms ,   15.625ms ,   10.968ms ,   10.956ms
sublime         , simple_vbo_stor           ,   71.990ms ,   78.125ms ,   71.510ms ,   59.146ms ,   62.500ms ,   18.809ms ,   71.306ms ,    7.920ms ,   15.625ms ,    0.012ms ,    0.000ms ,   10.606ms ,   15.625ms ,    0.036ms ,    0.009ms ,    1.871ms ,    0.000ms ,    0.693ms ,    0.667ms ,    7.701ms ,   31.250ms ,    7.211ms ,    7.193ms ,   31.048ms ,    0.000ms ,   10.857ms ,   10.844ms
sublime         , complete_vbo              ,  158.415ms ,  140.625ms ,  157.609ms ,  119.547ms ,  125.000ms ,  107.282ms ,  156.873ms ,   34.983ms ,   46.875ms ,    0.010ms ,    0.000ms ,   41.006ms ,   15.625ms ,   85.408ms ,   85.381ms ,    1.956ms ,    0.000ms ,    0.723ms ,    0.698ms ,    9.534ms ,   15.625ms ,   12.202ms ,   12.184ms ,   32.068ms ,   46.875ms ,    8.939ms ,    8.928ms
sublime         , one_ssbo                  ,   77.330ms ,   62.500ms ,   77.192ms ,   61.446ms ,   62.500ms ,   30.674ms ,   76.613ms ,    7.794ms ,    0.000ms ,    0.011ms ,    0.000ms ,   11.246ms ,   31.250ms ,    9.097ms ,    9.071ms ,    1.909ms ,    0.000ms ,    0.691ms ,    0.665ms ,    9.018ms ,    0.000ms ,   12.261ms ,   12.244ms ,   31.479ms ,   31.250ms ,    8.615ms ,    8.604ms
sublime         , ssbo_instr_list           ,   71.720ms ,   78.125ms ,   71.469ms ,   56.148ms ,   78.125ms ,   46.607ms ,   70.822ms ,    5.300ms ,   15.625ms ,    0.011ms ,    0.000ms ,   12.980ms ,   15.625ms ,   24.751ms ,   24.724ms ,    1.798ms ,    0.000ms ,    0.688ms ,    0.662ms ,    5.010ms ,    0.000ms ,   12.452ms ,   12.435ms ,   31.060ms ,   46.875ms ,    8.704ms ,    8.692ms
sublime         , ssbo_inlined_instr_6      ,   83.318ms ,   78.125ms ,   82.652ms ,   65.209ms ,   78.125ms ,   33.848ms ,   82.491ms ,   11.332ms ,    0.000ms ,    0.011ms ,    0.000ms ,   11.225ms ,    0.000ms ,    8.602ms ,    8.576ms ,    1.921ms ,    0.000ms ,    0.692ms ,    0.664ms ,    8.888ms ,    0.000ms ,   15.762ms ,   15.745ms ,   31.843ms ,   78.125ms ,    8.781ms ,    8.770ms
sublime         , ssbo_inlined_instr_4_4    ,   74.652ms ,   78.125ms ,   74.191ms ,   59.528ms ,   78.125ms ,   29.650ms ,   73.893ms ,    8.702ms ,    0.000ms ,    0.011ms ,    0.000ms ,    8.963ms ,   31.250ms ,    6.654ms ,    6.627ms ,    1.917ms ,    0.000ms ,    0.690ms ,    0.664ms ,    8.734ms ,   31.250ms ,   13.344ms ,   13.326ms ,   31.212ms ,   15.625ms ,    8.953ms ,    8.943ms
sublime         , ssbo_inlined_instr_6_6    ,   80.750ms ,   93.750ms ,   80.207ms ,   62.601ms ,   62.500ms ,   33.503ms ,   79.974ms ,    9.576ms ,    0.000ms ,    0.009ms ,    0.000ms ,   11.176ms ,    0.000ms ,    8.314ms ,    8.284ms ,    1.902ms ,    0.000ms ,    0.692ms ,    0.667ms ,    8.818ms ,   15.625ms ,   15.726ms ,   15.709ms ,   31.129ms ,   46.875ms ,    8.762ms ,    8.752ms
sublime         , ssbo_inlined_instr_8_8    ,   87.529ms ,   78.125ms ,   86.980ms ,   65.649ms ,   62.500ms ,   40.576ms ,   86.600ms ,   10.210ms ,    0.000ms ,    0.011ms ,    0.000ms ,   13.638ms ,   15.625ms ,   12.249ms ,   12.222ms ,    1.896ms ,    0.000ms ,    0.691ms ,    0.664ms ,    8.745ms ,   31.250ms ,   18.209ms ,   18.192ms ,   31.160ms ,   15.625ms ,    9.414ms ,    9.403ms
sublime         , ssbo_inlined_instr_10_10  ,   95.423ms ,   78.125ms ,   94.984ms ,   70.249ms ,   62.500ms ,   50.953ms ,   94.478ms ,   11.280ms ,    0.000ms ,    0.012ms ,    0.000ms ,   16.294ms ,    0.000ms ,   19.736ms ,   19.709ms ,    1.940ms ,    0.000ms ,    0.698ms ,    0.671ms ,    8.796ms ,    0.000ms ,   21.362ms ,   21.345ms ,   31.939ms ,   62.500ms ,    9.145ms ,    9.132ms
sublime         , ssbo_inlined_instr_20_20  ,  142.837ms ,   78.125ms ,  142.403ms ,   84.314ms ,   62.500ms ,  111.513ms ,  141.434ms ,   14.396ms ,    0.000ms ,    0.011ms ,    0.000ms ,   25.821ms ,   31.250ms ,   56.256ms ,   56.229ms ,    2.037ms ,    0.000ms ,    0.708ms ,    0.680ms ,    8.888ms ,   15.625ms ,   43.770ms ,   43.753ms ,   33.172ms ,   15.625ms ,   10.769ms ,   10.757ms
sublime         , ssbo_inlined_instr_4_6    ,   77.696ms ,   46.875ms ,   77.140ms ,   59.764ms ,   46.875ms ,   28.475ms ,   76.821ms ,    8.921ms ,    0.000ms ,    0.010ms ,    0.000ms ,    8.579ms ,    0.000ms ,    2.999ms ,    2.971ms ,    1.917ms ,    0.000ms ,    0.688ms ,    0.662ms ,    8.960ms ,   31.250ms ,   15.631ms ,   15.613ms ,   31.387ms ,   15.625ms ,    9.148ms ,    9.137ms
sublime         , ssbo_inlined_instr_4_8    ,   79.172ms ,   62.500ms ,   78.637ms ,   59.430ms ,   62.500ms ,   30.394ms ,   78.415ms ,    8.774ms ,   31.250ms ,    0.010ms ,    0.000ms ,    8.558ms ,    0.000ms ,    3.145ms ,    3.118ms ,    1.964ms ,    0.000ms ,    0.690ms ,    0.664ms ,    8.915ms ,    0.000ms ,   18.188ms ,   18.170ms ,   31.219ms ,   31.250ms ,    8.360ms ,    8.348ms
sublime         , ssbo_inlined_instr_4_10   ,   82.958ms ,   46.875ms ,   82.485ms ,   59.732ms ,   31.250ms ,   34.177ms ,   82.166ms ,    8.785ms ,    0.000ms ,    0.010ms ,    0.000ms ,    8.681ms ,    0.000ms ,    3.144ms ,    3.117ms ,    1.908ms ,    0.000ms ,    0.691ms ,    0.664ms ,    8.961ms ,    0.000ms ,   21.224ms ,   21.207ms ,   31.397ms ,   31.250ms ,    9.108ms ,    9.096ms
sublime         , ssbo_inlined_instr_4_20   ,  105.525ms ,   78.125ms ,  105.384ms ,   59.900ms ,   78.125ms ,   56.864ms ,  104.173ms ,    8.715ms ,   15.625ms ,    0.011ms ,    0.000ms ,    8.696ms ,    0.000ms ,    3.360ms ,    3.332ms ,    1.908ms ,   31.250ms ,    0.692ms ,    0.665ms ,    8.948ms ,    0.000ms ,   43.311ms ,   43.294ms ,   31.633ms ,   31.250ms ,    9.489ms ,    9.477ms
sublime         , ssbo_inlined_instr_6_4    ,   77.230ms ,   78.125ms ,   76.553ms ,   61.944ms ,   78.125ms ,   26.124ms ,   76.436ms ,    9.539ms ,    0.000ms ,    0.011ms ,    0.000ms ,   10.663ms ,   31.250ms ,    3.854ms ,    3.827ms ,    1.898ms ,    0.000ms ,    0.692ms ,    0.664ms ,    8.724ms ,    0.000ms ,   13.367ms ,   13.349ms ,   31.120ms ,   46.875ms ,    8.199ms ,    8.187ms
sublime         , ssbo_inlined_instr_8_4    ,   82.039ms ,   78.125ms ,   81.459ms ,   65.166ms ,   62.500ms ,   28.305ms ,   81.245ms ,   10.279ms ,   31.250ms ,    0.011ms ,    0.000ms ,   12.750ms ,    0.000ms ,    5.174ms ,    5.145ms ,    1.895ms ,   15.625ms ,    0.695ms ,    0.667ms ,    8.758ms ,   15.625ms ,   13.377ms ,   13.360ms ,   31.484ms ,    0.000ms ,    9.049ms ,    9.037ms
sublime         , ssbo_inlined_instr_10_4   ,   86.066ms ,   78.125ms ,   85.236ms ,   68.455ms ,   78.125ms ,   30.217ms ,   85.208ms ,   11.224ms ,   15.625ms ,    0.012ms ,    0.000ms ,   15.095ms ,    0.000ms ,    7.577ms ,    7.551ms ,    1.948ms ,    0.000ms ,    0.694ms ,    0.669ms ,    8.773ms ,    0.000ms ,   13.345ms ,   13.327ms ,   31.415ms ,   62.500ms ,    8.589ms ,    8.578ms
