scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   30.976ms ,   15.625ms ,   27.720ms ,   30.722ms ,   15.625ms ,   27.476ms ,    0.123ms ,    0.002ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.018ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.401ms ,    0.000ms ,    0.020ms ,    0.020ms ,   24.519ms ,   15.625ms ,   23.907ms ,   23.906ms ,    5.782ms ,    0.000ms ,    3.549ms ,    3.548ms
sublime         , simple_vbo                ,    1.401ms ,    0.000ms ,    0.384ms ,    1.262ms ,    0.000ms ,    0.256ms ,    0.010ms ,    0.261ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.141ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.036ms ,    0.000ms ,    0.008ms ,    0.007ms ,    0.367ms ,    0.000ms ,    0.092ms ,    0.092ms ,    0.457ms ,    0.000ms ,    0.156ms ,    0.156ms
sublime         , simple_vbo_stor           ,    1.210ms ,    0.000ms ,    0.364ms ,    1.069ms ,    0.000ms ,    0.241ms ,    0.010ms ,    0.109ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.293ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.036ms ,    0.000ms ,    0.007ms ,    0.007ms ,    0.177ms ,    0.000ms ,    0.086ms ,    0.086ms ,    0.454ms ,    0.000ms ,    0.147ms ,    0.147ms
sublime         , complete_vbo              ,    2.802ms ,    0.000ms ,    1.953ms ,    2.653ms ,    0.000ms ,    1.816ms ,    0.011ms ,    0.714ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.608ms ,    0.000ms ,    1.564ms ,    1.564ms ,    0.037ms ,    0.000ms ,    0.008ms ,    0.008ms ,    0.524ms ,    0.000ms ,    0.140ms ,    0.140ms ,    0.770ms ,    0.000ms ,    0.104ms ,    0.104ms
sublime         , one_ssbo                  ,    1.277ms ,    0.000ms ,    0.419ms ,    1.140ms ,    0.000ms ,    0.263ms ,    0.010ms ,    0.109ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.114ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.036ms ,    0.000ms ,    0.008ms ,    0.007ms ,    0.383ms ,    0.000ms ,    0.139ms ,    0.139ms ,    0.498ms ,    0.000ms ,    0.116ms ,    0.116ms
sublime         , ssbo_instr_list           ,    1.215ms ,    0.000ms ,    0.942ms ,    1.038ms ,    0.000ms ,    0.817ms ,    0.011ms ,    0.077ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.355ms ,    0.000ms ,    0.563ms ,    0.562ms ,    0.035ms ,    0.000ms ,    0.008ms ,    0.008ms ,    0.154ms ,    0.000ms ,    0.140ms ,    0.140ms ,    0.417ms ,    0.000ms ,    0.106ms ,    0.106ms
sublime         , ssbo_inlined_instr_6      ,    1.409ms ,   15.625ms ,    0.473ms ,    1.268ms ,   15.625ms ,    0.319ms ,    0.012ms ,    0.304ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.112ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.041ms ,    0.000ms ,    0.008ms ,    0.008ms ,    0.240ms ,    0.000ms ,    0.183ms ,    0.182ms ,    0.571ms ,   15.625ms ,    0.128ms ,    0.127ms
sublime         , ssbo_inlined_instr_4_4    ,    1.084ms ,    0.000ms ,    0.387ms ,    0.935ms ,    0.000ms ,    0.250ms ,    0.012ms ,    0.114ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.088ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.034ms ,    0.000ms ,    0.007ms ,    0.006ms ,    0.214ms ,    0.000ms ,    0.139ms ,    0.138ms ,    0.485ms ,    0.000ms ,    0.104ms ,    0.104ms
sublime         , ssbo_inlined_instr_6_6    ,    1.252ms ,    0.000ms ,    0.945ms ,    1.067ms ,    0.000ms ,    0.823ms ,    0.013ms ,    0.177ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.241ms ,    0.000ms ,    0.531ms ,    0.531ms ,    0.035ms ,    0.000ms ,    0.008ms ,    0.008ms ,    0.207ms ,    0.000ms ,    0.178ms ,    0.178ms ,    0.407ms ,    0.000ms ,    0.106ms ,    0.106ms
sublime         , ssbo_inlined_instr_8_8    ,    1.341ms ,    0.000ms ,    0.554ms ,    1.066ms ,    0.000ms ,    0.388ms ,    0.010ms ,    0.186ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.126ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.036ms ,    0.000ms ,    0.010ms ,    0.010ms ,    0.222ms ,    0.000ms ,    0.254ms ,    0.254ms ,    0.496ms ,    0.000ms ,    0.123ms ,    0.123ms
