scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,    30722us ,    15625us , 27476.000us ,      123us ,        2us ,        0us ,    0.160us ,    0.000us ,       18us ,        0us ,    0.320us ,    0.160us ,      401us ,        0us ,   20.160us ,   20.000us ,    24519us ,    15625us , 23906.720us , 23906.400us ,     5782us ,        0us , 3548.640us , 3548.480us
sublime         , simple_vbo                ,     1 ,     1262us ,        0us ,  256.480us ,       10us ,      261us ,        0us ,    0.160us ,    0.000us ,      141us ,        0us ,    0.320us ,    0.160us ,       36us ,        0us ,    7.520us ,    7.200us ,      367us ,        0us ,   92.320us ,   92.160us ,      457us ,        0us ,  156.160us ,  156.000us
sublime         , simple_vbo_stor           ,     1 ,     1069us ,        0us ,  241.440us ,       10us ,      109us ,        0us ,    0.000us ,    0.000us ,      293us ,        0us ,    0.480us ,    0.160us ,       36us ,        0us ,    7.360us ,    7.040us ,      177us ,        0us ,   86.240us ,   86.080us ,      454us ,        0us ,  147.360us ,  147.200us
sublime         , complete_vbo              ,     1 ,     2653us ,        0us , 1816.160us ,       11us ,      714us ,        0us ,    0.000us ,    0.000us ,      608us ,        0us , 1564.160us , 1563.680us ,       37us ,        0us ,    7.840us ,    7.680us ,      524us ,        0us ,  140.160us ,  140.000us ,      770us ,        0us ,  104.000us ,  103.840us
sublime         , one_ssbo                  ,     1 ,     1140us ,        0us ,  263.360us ,       10us ,      109us ,        0us ,    0.160us ,    0.000us ,      114us ,        0us ,    0.320us ,    0.160us ,       36us ,        0us ,    7.520us ,    7.360us ,      383us ,        0us ,  139.040us ,  138.880us ,      498us ,        0us ,  116.320us ,  116.160us
sublime         , ssbo_instr_list           ,     1 ,     1038us ,        0us ,  816.960us ,       11us ,       77us ,        0us ,    0.160us ,    0.000us ,      355us ,        0us ,  562.560us ,  562.240us ,       35us ,        0us ,    8.000us ,    7.840us ,      154us ,        0us ,  140.000us ,  139.840us ,      417us ,        0us ,  106.240us ,  106.240us
sublime         , ssbo_inlined_instr_6      ,     1 ,     1268us ,    15625us ,  318.560us ,       12us ,      304us ,        0us ,    0.160us ,    0.000us ,      112us ,        0us ,    0.320us ,    0.160us ,       41us ,        0us ,    8.000us ,    7.680us ,      240us ,        0us ,  182.560us ,  182.240us ,      571us ,    15625us ,  127.520us ,  127.360us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      935us ,        0us ,  250.240us ,       12us ,      114us ,        0us ,    0.160us ,    0.000us ,       88us ,        0us ,    0.480us ,    0.160us ,       34us ,        0us ,    6.720us ,    6.400us ,      214us ,        0us ,  138.560us ,  138.400us ,      485us ,        0us ,  104.320us ,  104.320us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,     1067us ,        0us ,  822.720us ,       13us ,      177us ,        0us ,    0.160us ,    0.000us ,      241us ,        0us ,  531.040us ,  530.720us ,       35us ,        0us ,    7.840us ,    7.680us ,      207us ,        0us ,  177.920us ,  177.600us ,      407us ,        0us ,  105.760us ,  105.600us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,     1066us ,        0us ,  387.520us ,       10us ,      186us ,        0us ,    0.160us ,    0.000us ,      126us ,        0us ,    0.480us ,    0.160us ,       36us ,        0us ,    9.920us ,    9.600us ,      222us ,        0us ,  254.080us ,  253.920us ,      496us ,        0us ,  122.880us ,  122.720us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,     1459us ,    15625us , 1092.800us ,       10us ,      362us ,        0us ,    0.320us ,    0.000us ,      152us ,        0us ,    1.280us ,    0.480us ,       37us ,        0us ,   23.040us ,   22.240us ,      230us ,    15625us ,  701.440us ,  700.960us ,      678us ,        0us ,  366.720us ,  366.240us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,     1827us ,        0us ,  970.720us ,       11us ,      350us ,        0us ,    0.320us ,    0.000us ,      255us ,        0us ,    0.640us ,    0.160us ,       34us ,        0us ,   14.080us ,   13.440us ,      220us ,        0us ,  832.640us ,  832.320us ,      968us ,        0us ,  123.040us ,  122.880us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,     1120us ,        0us ,  280.800us ,       11us ,      247us ,        0us ,    0.160us ,    0.000us ,       89us ,        0us ,    0.320us ,    0.160us ,       40us ,        0us ,    7.680us ,    7.520us ,      235us ,        0us ,  169.440us ,  169.280us ,      509us ,        0us ,  103.200us ,  103.200us
