scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  610.653ms ,  406.250ms ,  603.257ms ,  381.310ms ,  328.125ms ,  197.114ms ,  605.170ms ,    0.195ms ,    0.000ms ,    0.910ms ,    0.000ms ,    0.544ms ,    0.000ms ,    2.093ms ,    0.416ms ,    1.561ms ,   15.625ms ,    2.149ms ,    0.515ms ,  362.995ms ,  312.500ms ,  109.146ms ,  107.454ms ,   16.015ms ,    0.000ms ,   82.816ms ,   81.124ms
sublime         , simple_vbo                ,  103.161ms ,   62.500ms ,  102.168ms ,   18.476ms ,   15.625ms ,   70.150ms ,  102.283ms ,    1.829ms ,    0.000ms ,    0.910ms ,    0.000ms ,    3.414ms ,    0.000ms ,    2.095ms ,    0.416ms ,    0.939ms ,    0.000ms ,    2.148ms ,    0.517ms ,    1.813ms ,    0.000ms ,   12.024ms ,   10.330ms ,   10.481ms ,   15.625ms ,   52.974ms ,   51.285ms
sublime         , simple_vbo_stor           ,   92.632ms ,   78.125ms ,   92.379ms ,   18.050ms ,   15.625ms ,   67.869ms ,   91.770ms ,    1.688ms ,    0.000ms ,    0.909ms ,    0.000ms ,    2.944ms ,    0.000ms ,    2.093ms ,    0.416ms ,    0.936ms ,    0.000ms ,    2.098ms ,    0.515ms ,    1.721ms ,    0.000ms ,   13.258ms ,   11.569ms ,   10.761ms ,   15.625ms ,   49.511ms ,   47.820ms
sublime         , complete_vbo              ,  116.582ms ,   62.500ms ,  114.636ms ,   34.794ms ,   15.625ms ,   73.616ms ,  115.535ms ,    9.158ms ,   15.625ms ,    0.908ms ,    0.000ms ,   12.527ms ,    0.000ms ,    2.093ms ,    0.416ms ,    0.931ms ,    0.000ms ,    2.104ms ,    0.515ms ,    2.028ms ,    0.000ms ,   18.863ms ,   17.171ms ,   10.150ms ,    0.000ms ,   49.648ms ,   47.954ms
sublime         , one_ssbo                  ,  102.730ms ,   78.125ms ,  101.720ms ,   18.722ms ,   31.250ms ,   76.663ms ,  101.781ms ,    1.996ms ,    0.000ms ,    0.909ms ,    0.000ms ,    3.155ms ,    0.000ms ,    2.094ms ,    0.416ms ,    0.963ms ,    0.000ms ,    2.099ms ,    0.514ms ,    2.189ms ,    0.000ms ,   20.721ms ,   19.023ms ,   10.419ms ,   31.250ms ,   50.839ms ,   49.149ms
sublime         , ssbo_instr_list           ,  159.958ms ,   78.125ms ,  158.817ms ,   18.863ms ,   31.250ms ,  134.015ms ,  158.481ms ,    2.489ms ,    0.000ms ,    0.860ms ,    0.000ms ,    1.915ms ,    0.000ms ,    1.973ms ,    0.392ms ,    0.959ms ,    0.000ms ,    1.980ms ,    0.489ms ,    2.548ms ,    0.000ms ,   78.323ms ,   76.732ms ,   10.952ms ,   31.250ms ,   50.879ms ,   49.287ms
sublime         , ssbo_inlined_instr_6      ,  109.269ms ,   78.125ms ,  108.717ms ,   21.072ms ,   15.625ms ,   82.061ms ,  108.241ms ,    4.709ms ,    0.000ms ,    0.848ms ,    0.000ms ,    2.616ms ,   15.625ms ,    1.943ms ,    0.386ms ,    1.005ms ,    0.000ms ,    1.948ms ,    0.484ms ,    2.219ms ,    0.000ms ,   29.603ms ,   28.035ms ,   10.523ms ,    0.000ms ,   47.718ms ,   46.152ms
sublime         , ssbo_inlined_instr_4_4    ,  107.737ms ,   46.875ms ,  106.779ms ,   19.779ms ,   31.250ms ,   80.881ms ,  106.750ms ,    3.278ms ,   15.625ms ,    0.906ms ,    0.000ms ,    2.594ms ,    0.000ms ,    2.085ms ,    0.414ms ,    1.002ms ,    0.000ms ,    2.091ms ,    0.514ms ,    2.275ms ,    0.000ms ,   24.366ms ,   22.680ms ,   10.630ms ,   15.625ms ,   51.432ms ,   49.749ms
sublime         , ssbo_inlined_instr_6_6    ,  116.628ms ,   93.750ms ,  116.097ms ,   19.997ms ,   15.625ms ,   90.673ms ,  115.498ms ,    3.431ms ,    0.000ms ,    0.911ms ,    0.000ms ,    2.808ms ,    0.000ms ,    2.096ms ,    0.416ms ,    0.989ms ,    0.000ms ,    2.098ms ,    0.515ms ,    2.235ms ,    0.000ms ,   31.839ms ,   30.149ms ,   10.534ms ,   15.625ms ,   53.730ms ,   52.042ms
sublime         , ssbo_inlined_instr_8_8    ,  124.732ms ,   46.875ms ,  123.399ms ,   22.087ms ,    0.000ms ,   95.282ms ,  123.580ms ,    3.555ms ,    0.000ms ,    0.909ms ,    0.000ms ,    3.997ms ,    0.000ms ,    2.094ms ,    0.416ms ,    0.992ms ,    0.000ms ,    2.101ms ,    0.516ms ,    2.356ms ,    0.000ms ,   38.585ms ,   36.891ms ,   11.187ms ,    0.000ms ,   51.594ms ,   49.904ms
sublime         , ssbo_inlined_instr_10_10  ,  132.545ms ,   62.500ms ,  131.012ms ,   22.803ms ,   31.250ms ,  102.409ms ,  130.854ms ,    3.971ms ,    0.000ms ,    0.911ms ,    0.000ms ,    4.788ms ,    0.000ms ,    2.093ms ,    0.416ms ,    1.001ms ,    0.000ms ,    2.101ms ,    0.516ms ,    2.305ms ,   15.625ms ,   45.062ms ,   43.369ms ,   10.738ms ,   15.625ms ,   52.242ms ,   50.553ms
sublime         , ssbo_inlined_instr_20_20  ,  230.017ms ,   93.750ms ,  227.982ms ,   29.431ms ,   62.500ms ,  193.685ms ,  227.839ms ,    5.553ms ,   15.625ms ,    0.929ms ,    0.000ms ,    7.592ms ,   15.625ms ,    2.093ms ,    0.416ms ,    1.153ms ,    0.000ms ,    2.118ms ,    0.515ms ,    2.685ms ,    0.000ms ,  127.453ms ,  125.740ms ,   12.448ms ,   31.250ms ,   61.092ms ,   59.402ms
sublime         , ssbo_inlined_instr_4_6    ,  119.192ms ,   46.875ms ,  118.647ms ,   19.546ms ,   15.625ms ,   93.160ms ,  118.082ms ,    3.375ms ,    0.000ms ,    0.910ms ,    0.000ms ,    2.248ms ,    0.000ms ,    2.094ms ,    0.416ms ,    0.981ms ,    0.000ms ,    2.098ms ,    0.515ms ,    2.281ms ,    0.000ms ,   37.588ms ,   35.889ms ,   10.661ms ,   15.625ms ,   50.471ms ,   48.781ms
sublime         , ssbo_inlined_instr_4_8    ,  130.670ms ,   46.875ms ,  130.168ms ,   19.355ms ,   15.625ms ,  104.191ms ,  129.419ms ,    3.339ms ,    0.000ms ,    0.909ms ,    0.000ms ,    2.252ms ,    0.000ms ,    2.095ms ,    0.416ms ,    0.935ms ,    0.000ms ,    2.098ms ,    0.515ms ,    2.229ms ,    0.000ms ,   49.299ms ,   47.612ms ,   10.600ms ,   15.625ms ,   49.789ms ,   48.101ms
sublime         , ssbo_inlined_instr_4_10   ,  139.835ms ,   46.875ms ,  139.312ms ,   19.446ms ,    0.000ms ,  113.445ms ,  138.235ms ,    3.358ms ,    0.000ms ,    0.910ms ,    0.000ms ,    2.243ms ,    0.000ms ,    2.111ms ,    0.416ms ,    1.025ms ,    0.000ms ,    2.098ms ,    0.516ms ,    2.274ms ,    0.000ms ,   57.631ms ,   55.941ms ,   10.546ms ,    0.000ms ,   50.695ms ,   48.988ms
sublime         , ssbo_inlined_instr_4_20   ,  202.183ms ,  109.375ms ,  201.567ms ,   22.031ms ,   31.250ms ,  175.626ms ,  200.439ms ,    4.048ms ,    0.000ms ,    0.803ms ,    0.000ms ,    2.260ms ,    0.000ms ,    1.840ms ,    0.365ms ,    1.091ms ,    0.000ms ,    1.845ms ,    0.458ms ,    2.596ms ,   15.625ms ,  118.619ms ,  117.132ms ,   12.036ms ,   15.625ms ,   52.519ms ,   51.038ms
sublime         , ssbo_inlined_instr_6_4    ,   89.879ms ,   46.875ms ,   89.402ms ,   19.236ms ,   15.625ms ,   65.377ms ,   89.029ms ,    3.173ms ,    0.000ms ,    0.747ms ,    0.000ms ,    2.529ms ,    0.000ms ,    1.702ms ,    0.338ms ,    0.915ms ,    0.000ms ,    1.707ms ,    0.430ms ,    2.185ms ,    0.000ms ,   20.097ms ,   18.721ms ,   10.434ms ,   15.625ms ,   41.125ms ,   39.751ms
sublime         , ssbo_inlined_instr_8_4    ,   90.549ms ,   46.875ms ,   90.139ms ,   19.751ms ,   15.625ms ,   65.528ms ,   89.647ms ,    3.356ms ,    0.000ms ,    0.746ms ,    0.000ms ,    2.992ms ,    0.000ms ,    1.702ms ,    0.339ms ,    0.932ms ,    0.000ms ,    1.706ms ,    0.430ms ,    2.174ms ,    0.000ms ,   19.576ms ,   18.204ms ,   10.297ms ,   15.625ms ,   41.797ms ,   40.425ms
sublime         , ssbo_inlined_instr_10_4   ,   91.969ms ,   62.500ms ,   91.438ms ,   21.006ms ,    0.000ms ,   66.040ms ,   91.111ms ,    3.874ms ,    0.000ms ,    0.746ms ,    0.000ms ,    3.425ms ,    0.000ms ,    1.703ms ,    0.338ms ,    0.965ms ,    0.000ms ,    1.706ms ,    0.429ms ,    2.216ms ,    0.000ms ,   19.759ms ,   18.386ms ,   10.526ms ,    0.000ms ,   42.126ms ,   40.753ms
sublime         , ssbo_inlined_instr_20_4   ,   93.702ms ,   31.250ms ,   93.147ms ,   23.595ms ,   15.625ms ,   64.902ms ,   92.764ms ,    4.366ms ,    0.000ms ,    0.747ms ,    0.000ms ,    5.707ms ,   15.625ms ,    1.702ms ,    0.338ms ,    0.949ms ,    0.000ms ,    1.706ms ,    0.429ms ,    2.172ms ,    0.000ms ,   19.138ms ,   17.766ms ,   10.401ms ,    0.000ms ,   41.610ms ,   40.237ms
sublime         , ssbo_instr_combo_4        ,   88.286ms ,   78.125ms ,   87.871ms ,   17.426ms ,    0.000ms ,   65.804ms ,   87.249ms ,    2.290ms ,    0.000ms ,    0.746ms ,    0.000ms ,    1.584ms ,    0.000ms ,    1.702ms ,    0.339ms ,    0.897ms ,    0.000ms ,    1.707ms ,    0.428ms ,    2.235ms ,    0.000ms ,   20.354ms ,   18.980ms ,   10.420ms ,    0.000ms ,   41.295ms ,   39.922ms
sublime         , ssbo_instr_combo_6        ,   95.921ms ,   15.625ms ,   95.508ms ,   17.535ms ,    0.000ms ,   73.433ms ,   94.801ms ,    2.249ms ,    0.000ms ,    0.746ms ,    0.000ms ,    1.581ms ,    0.000ms ,    1.702ms ,    0.338ms ,    0.936ms ,    0.000ms ,    1.705ms ,    0.428ms ,    2.302ms ,    0.000ms ,   26.843ms ,   25.470ms ,   10.467ms ,    0.000ms ,   42.437ms ,   41.064ms
sublime         , ssbo_instr_combo_8        ,   99.537ms ,   46.875ms ,   99.107ms ,   17.732ms ,   15.625ms ,   75.993ms ,   98.576ms ,    2.195ms ,   15.625ms ,    0.746ms ,    0.000ms ,    1.574ms ,    0.000ms ,    1.702ms ,    0.338ms ,    0.921ms ,    0.000ms ,    1.710ms ,    0.432ms ,    2.258ms ,    0.000ms ,   32.831ms ,   31.456ms ,   10.784ms ,    0.000ms ,   39.005ms ,   37.629ms
