scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  503.808ms ,  500.000ms ,    0.000ms ,  501.779ms ,  500.000ms ,    0.000ms ,  498.439ms ,    0.166ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.298ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.125ms ,    0.000ms ,    0.000ms ,    0.000ms ,  453.118ms ,  421.875ms ,    0.000ms ,    0.000ms ,   46.072ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   77.061ms ,   78.125ms ,    0.000ms ,   76.057ms ,   78.125ms ,    0.000ms ,   76.330ms ,    1.805ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.625ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.893ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.383ms ,   15.625ms ,    0.000ms ,    0.000ms ,   64.351ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   94.712ms ,   93.750ms ,    0.000ms ,   93.663ms ,   93.750ms ,    0.000ms ,   93.887ms ,    1.600ms ,    0.000ms ,    0.000ms ,    0.000ms ,   16.355ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.040ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.365ms ,   15.625ms ,    0.000ms ,    0.000ms ,   63.303ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   77.104ms ,   78.125ms ,    0.000ms ,   76.003ms ,   78.125ms ,    0.000ms ,   76.405ms ,    9.476ms ,   15.625ms ,    0.000ms ,    0.000ms ,   14.925ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.902ms ,   15.625ms ,    0.000ms ,    0.000ms ,    3.939ms ,    0.000ms ,    0.000ms ,    0.000ms ,   46.761ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   81.438ms ,   62.500ms ,    0.000ms ,   80.469ms ,   62.500ms ,    0.000ms ,   80.628ms ,    1.779ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.065ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.882ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.840ms ,   31.250ms ,    0.000ms ,    0.000ms ,   61.903ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   97.886ms ,  109.375ms ,    0.000ms ,   96.826ms ,  109.375ms ,    0.000ms ,   97.083ms ,    1.995ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.967ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.986ms ,    0.000ms ,    0.000ms ,    0.000ms ,   49.028ms ,   78.125ms ,    0.000ms ,    0.000ms ,   42.850ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   51.923ms ,   46.875ms ,    0.000ms ,   50.894ms ,   46.875ms ,    0.000ms ,   51.467ms ,    4.823ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.638ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.029ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.700ms ,    0.000ms ,    0.000ms ,    0.000ms ,   34.704ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   44.595ms ,   46.875ms ,    0.000ms ,   43.602ms ,   46.875ms ,    0.000ms ,   44.120ms ,    2.847ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.736ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.091ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.514ms ,    0.000ms ,    0.000ms ,    0.000ms ,   31.414ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   48.618ms ,   46.875ms ,    0.000ms ,   47.543ms ,   46.875ms ,    0.000ms ,   48.114ms ,    3.205ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.697ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.006ms ,    0.000ms ,    0.000ms ,    0.000ms ,    8.235ms ,   46.875ms ,    0.000ms ,    0.000ms ,   32.400ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   50.226ms ,   62.500ms ,    0.000ms ,   49.256ms ,   62.500ms ,    0.000ms ,   49.824ms ,    3.273ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.826ms ,   46.875ms ,    0.000ms ,    0.000ms ,    1.056ms ,    0.000ms ,    0.000ms ,    0.000ms ,   10.523ms ,   15.625ms ,    0.000ms ,    0.000ms ,   30.578ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,   46.445ms ,   46.875ms ,    0.000ms ,   45.386ms ,   46.875ms ,    0.000ms ,   46.041ms ,    3.587ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.685ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.104ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.946ms ,   15.625ms ,    0.000ms ,    0.000ms ,   28.064ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,   70.045ms ,   62.500ms ,    0.000ms ,   68.943ms ,   62.500ms ,    0.000ms ,   69.508ms ,    4.768ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.930ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.053ms ,    0.000ms ,    0.000ms ,    0.000ms ,   22.219ms ,   31.250ms ,    0.000ms ,    0.000ms ,   32.973ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,   30.704ms ,   31.250ms ,    0.000ms ,   29.509ms ,   31.250ms ,    0.000ms ,   30.432ms ,    3.916ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.084ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.970ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.854ms ,   15.625ms ,    0.000ms ,    0.000ms ,   18.685ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,   32.802ms ,   31.250ms ,    0.000ms ,   31.718ms ,   31.250ms ,    0.000ms ,   32.487ms ,    3.371ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.461ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.135ms ,   15.625ms ,    0.000ms ,    0.000ms ,    3.602ms ,    0.000ms ,    0.000ms ,    0.000ms ,   21.149ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_10   ,   34.352ms ,   31.250ms ,    0.000ms ,   33.300ms ,   31.250ms ,    0.000ms ,   34.019ms ,    2.969ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.186ms ,   15.625ms ,    0.000ms ,    0.000ms ,    1.266ms ,    0.000ms ,    0.000ms ,    0.000ms ,    5.746ms ,    0.000ms ,    0.000ms ,    0.000ms ,   21.133ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_20   ,   56.150ms ,   46.875ms ,    0.000ms ,   55.025ms ,   46.875ms ,    0.000ms ,   55.676ms ,    3.250ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.160ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.019ms ,   15.625ms ,    0.000ms ,    0.000ms ,   20.707ms ,   15.625ms ,    0.000ms ,    0.000ms ,   27.889ms ,   15.625ms ,    0.000ms ,    0.000ms
