scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,    9.480ms ,    0.000ms ,    2.544ms ,    7.201ms ,    0.000ms ,    1.874ms ,    0.094ms ,    0.025ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.089ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.100ms ,    0.000ms ,    0.020ms ,    0.004ms ,    5.994ms ,    0.000ms ,    1.112ms ,    1.094ms ,    0.993ms ,    0.000ms ,    0.713ms ,    0.695ms
sublime         , simple_vbo                ,    3.863ms ,    0.000ms ,    1.055ms ,    1.902ms ,    0.000ms ,    0.644ms ,    0.006ms ,    0.149ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.548ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.016ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.071ms ,    0.000ms ,    0.122ms ,    0.106ms ,    1.118ms ,    0.000ms ,    0.471ms ,    0.454ms
sublime         , simple_vbo_stor           ,    1.769ms ,    0.000ms ,    1.055ms ,    0.681ms ,    0.000ms ,    0.641ms ,    0.003ms ,    0.030ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.451ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.011ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.046ms ,    0.000ms ,    0.119ms ,    0.102ms ,    0.143ms ,    0.000ms ,    0.471ms ,    0.454ms
sublime         , complete_vbo              ,    3.836ms ,    0.000ms ,    1.074ms ,    2.419ms ,    0.000ms ,    0.676ms ,    0.005ms ,    0.284ms ,    0.000ms ,    0.009ms ,    0.000ms ,    1.884ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.022ms ,    0.004ms ,    0.083ms ,    0.000ms ,    0.149ms ,    0.133ms ,    0.153ms ,    0.000ms ,    0.474ms ,    0.457ms
sublime         , one_ssbo                  ,    1.884ms ,    0.000ms ,    1.114ms ,    0.747ms ,    0.000ms ,    0.726ms ,    0.005ms ,    0.041ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.433ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.016ms ,    0.000ms ,    0.023ms ,    0.004ms ,    0.080ms ,    0.000ms ,    0.198ms ,    0.181ms ,    0.177ms ,    0.000ms ,    0.475ms ,    0.458ms
sublime         , ssbo_instr_list           ,    2.520ms ,    0.000ms ,    1.770ms ,    0.525ms ,    0.000ms ,    1.357ms ,    0.006ms ,    0.034ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.225ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.014ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.102ms ,    0.000ms ,    0.834ms ,    0.817ms ,    0.150ms ,    0.000ms ,    0.472ms ,    0.456ms
sublime         , ssbo_inlined_instr_6      ,    1.653ms ,    0.000ms ,    1.257ms ,    0.475ms ,    0.000ms ,    0.847ms ,    0.005ms ,    0.165ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.049ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.023ms ,    0.004ms ,    0.067ms ,    0.000ms ,    0.320ms ,    0.303ms ,    0.179ms ,    0.000ms ,    0.475ms ,    0.458ms
sublime         , ssbo_inlined_instr_4_4    ,    1.979ms ,    0.000ms ,    1.162ms ,    0.680ms ,    0.000ms ,    0.761ms ,    0.006ms ,    0.043ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.339ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.022ms ,    0.004ms ,    0.094ms ,    0.000ms ,    0.235ms ,    0.218ms ,    0.189ms ,    0.000ms ,    0.474ms ,    0.457ms
sublime         , ssbo_inlined_instr_6_6    ,    1.494ms ,    0.000ms ,    1.266ms ,    0.363ms ,    0.000ms ,    0.845ms ,    0.006ms ,    0.066ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.031ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.067ms ,    0.000ms ,    0.324ms ,    0.307ms ,    0.184ms ,    0.000ms ,    0.471ms ,    0.454ms
sublime         , ssbo_inlined_instr_8_8    ,    3.228ms ,    0.000ms ,    1.308ms ,    1.708ms ,    0.000ms ,    0.901ms ,    0.012ms ,    0.166ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.795ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.036ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.197ms ,    0.000ms ,    0.374ms ,    0.357ms ,    0.514ms ,    0.000ms ,    0.476ms ,    0.459ms
sublime         , ssbo_inlined_instr_10_10  ,    2.805ms ,    0.000ms ,    1.375ms ,    1.088ms ,    0.000ms ,    0.971ms ,    0.006ms ,    0.174ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.619ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.016ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.081ms ,    0.000ms ,    0.440ms ,    0.423ms ,    0.198ms ,    0.000ms ,    0.480ms ,    0.463ms
sublime         , ssbo_inlined_instr_20_20  ,    4.843ms ,    0.000ms ,    2.229ms ,    1.745ms ,    0.000ms ,    1.836ms ,    0.006ms ,    0.165ms ,    0.000ms ,    0.009ms ,    0.000ms ,    1.247ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.154ms ,    0.000ms ,    1.272ms ,    1.256ms ,    0.164ms ,    0.000ms ,    0.513ms ,    0.496ms
sublime         , ssbo_inlined_instr_4_6    ,    1.587ms ,    0.000ms ,    1.257ms ,    0.418ms ,    0.000ms ,    0.858ms ,    0.006ms ,    0.091ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.067ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.014ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.068ms ,    0.000ms ,    0.331ms ,    0.314ms ,    0.178ms ,    0.000ms ,    0.477ms ,    0.460ms
sublime         , ssbo_inlined_instr_4_8    ,    2.158ms ,    0.000ms ,    1.310ms ,    0.675ms ,    0.000ms ,    0.898ms ,    0.006ms ,    0.045ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.316ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.016ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.096ms ,    0.000ms ,    0.374ms ,    0.357ms ,    0.202ms ,    0.000ms ,    0.474ms ,    0.457ms
sublime         , ssbo_inlined_instr_4_10   ,    1.594ms ,    0.000ms ,    1.256ms ,    0.402ms ,    0.000ms ,    0.846ms ,    0.006ms ,    0.041ms ,    0.000ms ,    0.008ms ,    0.000ms ,    0.025ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.017ms ,    0.004ms ,    0.067ms ,    0.000ms ,    0.383ms ,    0.368ms ,    0.254ms ,    0.000ms ,    0.418ms ,    0.403ms
sublime         , ssbo_inlined_instr_4_20   ,    2.586ms ,    0.000ms ,    2.261ms ,    0.416ms ,    0.000ms ,    1.849ms ,    0.006ms ,    0.041ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.114ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.014ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.065ms ,    0.000ms ,    1.281ms ,    1.264ms ,    0.182ms ,    0.000ms ,    0.517ms ,    0.500ms
sublime         , ssbo_inlined_instr_6_4    ,    1.474ms ,    0.000ms ,    1.151ms ,    0.380ms ,    0.000ms ,    0.763ms ,    0.006ms ,    0.087ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.030ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.067ms ,    0.000ms ,    0.237ms ,    0.220ms ,    0.181ms ,    0.000ms ,    0.476ms ,    0.459ms
sublime         , ssbo_inlined_instr_8_4    ,    1.586ms ,    0.000ms ,    1.176ms ,    0.517ms ,    0.000ms ,    0.766ms ,    0.005ms ,    0.069ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.186ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.065ms ,    0.000ms ,    0.236ms ,    0.220ms ,    0.182ms ,    0.000ms ,    0.479ms ,    0.463ms
sublime         , ssbo_inlined_instr_10_4   ,    1.548ms ,    0.000ms ,    1.154ms ,    0.458ms ,    0.000ms ,    0.762ms ,    0.005ms ,    0.154ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.042ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.065ms ,    0.000ms ,    0.239ms ,    0.222ms ,    0.182ms ,    0.000ms ,    0.473ms ,    0.456ms
sublime         , ssbo_inlined_instr_20_4   ,    1.555ms ,    0.000ms ,    1.165ms ,    0.484ms ,    0.000ms ,    0.762ms ,    0.006ms ,    0.153ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.068ms ,    0.000ms ,    0.021ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.066ms ,    0.000ms ,    0.237ms ,    0.220ms ,    0.182ms ,    0.000ms ,    0.474ms ,    0.458ms
sublime         , ssbo_instr_combo_4        ,    1.412ms ,    0.000ms ,    1.160ms ,    0.323ms ,    0.000ms ,    0.770ms ,    0.007ms ,    0.055ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.021ms ,    0.000ms ,    0.022ms ,    0.004ms ,    0.015ms ,    0.000ms ,    0.020ms ,    0.004ms ,    0.068ms ,    0.000ms ,    0.239ms ,    0.222ms ,    0.164ms ,    0.000ms ,    0.480ms ,    0.463ms
