scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,     7201us ,        0us , 1874.392us ,       94us ,       25us ,        0us ,    9.100us ,    0.000us ,       89us ,        0us ,   21.060us ,    4.264us ,      100us ,        0us ,   20.124us ,    4.264us ,     5994us ,        0us , 1111.552us , 1093.768us ,      993us ,        0us ,  712.556us ,  694.512us
sublime         , simple_vbo                ,     1 ,     1902us ,        0us ,  643.760us ,        6us ,      149us ,        0us ,    9.204us ,    0.000us ,      548us ,        0us ,   21.112us ,    4.264us ,       16us ,        0us ,   20.124us ,    4.264us ,       71us ,        0us ,  122.356us ,  105.560us ,     1118us ,        0us ,  470.964us ,  454.012us
sublime         , simple_vbo_stor           ,     1 ,      681us ,        0us ,  640.952us ,        3us ,       30us ,        0us ,    9.152us ,    0.000us ,      451us ,        0us ,   21.112us ,    4.264us ,       11us ,        0us ,   20.124us ,    4.316us ,       46us ,        0us ,  119.236us ,  102.388us ,      143us ,        0us ,  471.328us ,  454.376us
sublime         , complete_vbo              ,     1 ,     2419us ,        0us ,  675.688us ,        5us ,      284us ,        0us ,    9.204us ,    0.000us ,     1884us ,        0us ,   21.164us ,    4.316us ,       15us ,        0us ,   21.840us ,    4.264us ,       83us ,        0us ,  149.344us ,  132.548us ,      153us ,        0us ,  474.136us ,  457.184us
sublime         , one_ssbo                  ,     1 ,      747us ,        0us ,  725.660us ,        5us ,       41us ,        0us ,    9.204us ,    0.000us ,      433us ,        0us ,   20.904us ,    4.264us ,       16us ,        0us ,   22.672us ,    4.264us ,       80us ,        0us ,  197.964us ,  181.220us ,      177us ,        0us ,  474.916us ,  457.964us
sublime         , ssbo_instr_list           ,     1 ,      525us ,        0us , 1356.940us ,        6us ,       34us ,        0us ,    9.100us ,    0.000us ,      225us ,        0us ,   20.956us ,    4.212us ,       14us ,        0us ,   20.124us ,    4.264us ,      102us ,        0us ,  834.340us ,  817.440us ,      150us ,        0us ,  472.420us ,  455.520us
sublime         , ssbo_inlined_instr_6      ,     1 ,      475us ,        0us ,  847.132us ,        5us ,      165us ,        0us ,    9.152us ,    0.000us ,       49us ,        0us ,   21.060us ,    4.264us ,       15us ,        0us ,   22.516us ,    4.264us ,       67us ,        0us ,  319.644us ,  302.796us ,      179us ,        0us ,  474.760us ,  457.860us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      680us ,        0us ,  761.072us ,        6us ,       43us ,        0us ,    9.256us ,    0.000us ,      339us ,        0us ,   21.008us ,    4.264us ,       15us ,        0us ,   21.528us ,    4.316us ,       94us ,        0us ,  234.936us ,  218.140us ,      189us ,        0us ,  474.344us ,  457.392us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      363us ,        0us ,  845.052us ,        6us ,       66us ,        0us ,    9.100us ,    0.000us ,       31us ,        0us ,   21.060us ,    4.264us ,       15us ,        0us ,   20.332us ,    4.316us ,       67us ,        0us ,  323.856us ,  307.008us ,      184us ,        0us ,  470.704us ,  453.804us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,     1708us ,        0us ,  900.588us ,       12us ,      166us ,        0us ,    9.204us ,    0.000us ,      795us ,        0us ,   21.060us ,    4.264us ,       36us ,        0us ,   20.124us ,    4.316us ,      197us ,        0us ,  374.296us ,  357.396us ,      514us ,        0us ,  475.904us ,  459.004us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,     1088us ,        0us ,  971.308us ,        6us ,      174us ,        0us ,    9.204us ,    0.000us ,      619us ,        0us ,   21.112us ,    4.264us ,       16us ,        0us ,   20.592us ,    4.316us ,       81us ,        0us ,  440.128us ,  423.280us ,      198us ,        0us ,  480.272us ,  463.372us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,     1745us ,        0us , 1836.068us ,        6us ,      165us ,        0us ,    9.204us ,    0.000us ,     1247us ,        0us ,   21.060us ,    4.264us ,       15us ,        0us ,   20.124us ,    4.264us ,      154us ,        0us , 1272.388us , 1255.592us ,      164us ,        0us ,  513.292us ,  496.392us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,      418us ,        0us ,  858.052us ,        6us ,       91us ,        0us ,    9.204us ,    0.000us ,       67us ,        0us ,   21.008us ,    4.264us ,       14us ,        0us ,   20.072us ,    4.212us ,       68us ,        0us ,  331.240us ,  314.392us ,      178us ,        0us ,  476.528us ,  459.576us
sublime         , ssbo_inlined_instr_4_8    ,     1 ,      675us ,        0us ,  898.144us ,        6us ,       45us ,        0us ,    9.204us ,    0.000us ,      316us ,        0us ,   21.008us ,    4.264us ,       16us ,        0us ,   20.436us ,    4.316us ,       96us ,        0us ,  373.880us ,  357.084us ,      202us ,        0us ,  473.616us ,  456.768us
sublime         , ssbo_inlined_instr_4_10   ,     1 ,      402us ,        0us ,  846.352us ,        6us ,       41us ,        0us ,    8.060us ,    0.000us ,       25us ,        0us ,   20.384us ,    3.692us ,       15us ,        0us ,   17.420us ,    3.744us ,       67us ,        0us ,  382.668us ,  368.056us ,      254us ,        0us ,  417.820us ,  403.208us
sublime         , ssbo_inlined_instr_4_20   ,     1 ,      416us ,        0us , 1848.704us ,        6us ,       41us ,        0us ,    9.256us ,    0.000us ,      114us ,        0us ,   21.008us ,    4.264us ,       14us ,        0us ,   20.176us ,    4.316us ,       65us ,        0us , 1281.228us , 1264.484us ,      182us ,        0us ,  517.036us ,  500.136us
sublime         , ssbo_inlined_instr_6_4    ,     1 ,      380us ,        0us ,  763.412us ,        6us ,       87us ,        0us ,    9.204us ,    0.000us ,       30us ,        0us ,   21.008us ,    4.264us ,       15us ,        0us ,   20.124us ,    4.264us ,       67us ,        0us ,  237.172us ,  220.324us ,      181us ,        0us ,  475.904us ,  459.004us
