scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  430.012ms ,  437.500ms ,  429.058ms ,   29.612ms ,    0.000ms ,  131.789ms ,  425.509ms ,    0.074ms ,    0.000ms ,    0.071ms ,    0.000ms ,    0.045ms ,    0.000ms ,    0.208ms ,    0.078ms ,    0.159ms ,    0.000ms ,    0.217ms ,    0.081ms ,   26.810ms ,    0.000ms ,  116.328ms ,  116.177ms ,    2.524ms ,    0.000ms ,   14.965ms ,   14.845ms
sublime         , simple_vbo                ,   30.422ms ,   31.250ms ,   29.946ms ,   13.952ms ,   15.625ms ,   13.364ms ,   30.172ms ,    1.302ms ,    0.000ms ,    0.073ms ,    0.000ms ,    3.945ms ,    0.000ms ,    0.209ms ,    0.061ms ,    0.550ms ,    0.000ms ,    0.391ms ,    0.262ms ,    0.374ms ,    0.000ms ,    3.483ms ,    3.362ms ,    7.781ms ,   15.625ms ,    9.209ms ,    9.082ms
sublime         , simple_vbo_stor           ,   29.219ms ,   31.250ms ,   28.899ms ,   14.895ms ,    0.000ms ,   13.292ms ,   28.950ms ,    1.138ms ,    0.000ms ,    0.071ms ,    0.000ms ,    3.754ms ,    0.000ms ,    0.207ms ,    0.075ms ,    0.665ms ,    0.000ms ,    0.391ms ,    0.268ms ,    0.468ms ,    0.000ms ,    3.478ms ,    3.357ms ,    8.870ms ,    0.000ms ,    9.145ms ,    9.019ms
sublime         , complete_vbo              ,   64.611ms ,   62.500ms ,   63.172ms ,   33.305ms ,   31.250ms ,   28.900ms ,   64.094ms ,    5.920ms ,    0.000ms ,    0.079ms ,    0.000ms ,   16.849ms ,   15.625ms ,   12.478ms ,   12.333ms ,    0.701ms ,    0.000ms ,    0.426ms ,    0.290ms ,    0.694ms ,    0.000ms ,    7.775ms ,    7.647ms ,    9.141ms ,   15.625ms ,    8.142ms ,    8.027ms
sublime         , one_ssbo                  ,   32.013ms ,   31.250ms ,   31.596ms ,   13.896ms ,   31.250ms ,   17.869ms ,   31.719ms ,    1.331ms ,    0.000ms ,    0.066ms ,    0.000ms ,    1.850ms ,    0.000ms ,    0.194ms ,    0.061ms ,    0.725ms ,    0.000ms ,    0.334ms ,    0.211ms ,    0.779ms ,   15.625ms ,    8.184ms ,    8.058ms ,    9.211ms ,   15.625ms ,    9.092ms ,    8.975ms
sublime         , ssbo_instr_list           ,   54.701ms ,   46.875ms ,   54.061ms ,   14.403ms ,   15.625ms ,   42.312ms ,   54.192ms ,    1.947ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.893ms ,    0.000ms ,    0.413ms ,    0.259ms ,    0.776ms ,    0.000ms ,    0.327ms ,    0.219ms ,    1.012ms ,   15.625ms ,   32.435ms ,   32.309ms ,    9.775ms ,    0.000ms ,    9.052ms ,    8.933ms
sublime         , ssbo_inlined_instr_6      ,   68.396ms ,   78.125ms ,   67.882ms ,   15.915ms ,    0.000ms ,   51.875ms ,   67.467ms ,    3.477ms ,    0.000ms ,    0.069ms ,    0.000ms ,    1.830ms ,    0.000ms ,    0.172ms ,    0.070ms ,    0.683ms ,    0.000ms ,    0.333ms ,    0.209ms ,    0.781ms ,    0.000ms ,   42.941ms ,   42.818ms ,    9.144ms ,    0.000ms ,    8.360ms ,    8.241ms
sublime         , ssbo_inlined_instr_4_4    ,   65.953ms ,   46.875ms ,   65.586ms ,   16.863ms ,    0.000ms ,   50.002ms ,   65.358ms ,    2.329ms ,    0.000ms ,    0.058ms ,    0.000ms ,    1.443ms ,    0.000ms ,    0.191ms ,    0.060ms ,    0.709ms ,    0.000ms ,    0.324ms ,    0.203ms ,    0.786ms ,    0.000ms ,   41.308ms ,   41.173ms ,   11.596ms ,    0.000ms ,    8.120ms ,    8.003ms
sublime         , ssbo_inlined_instr_6_6    ,   73.776ms ,   78.125ms ,   73.331ms ,   15.473ms ,    0.000ms ,   58.231ms ,   73.079ms ,    2.462ms ,    0.000ms ,    0.068ms ,    0.000ms ,    1.830ms ,    0.000ms ,    0.183ms ,    0.066ms ,    0.680ms ,    0.000ms ,    0.325ms ,    0.203ms ,    0.791ms ,    0.000ms ,   40.655ms ,   40.526ms ,    9.710ms ,    0.000ms ,   17.000ms ,   16.880ms
sublime         , ssbo_inlined_instr_8_8    ,   72.873ms ,   62.500ms ,   72.167ms ,   19.802ms ,   15.625ms ,   51.097ms ,   72.250ms ,    2.697ms ,    0.000ms ,    0.055ms ,    0.000ms ,    2.356ms ,    0.000ms ,    0.184ms ,    0.069ms ,    0.762ms ,    0.000ms ,    0.324ms ,    0.202ms ,    0.939ms ,   15.625ms ,   41.381ms ,   41.249ms ,   13.048ms ,    0.000ms ,    9.153ms ,    9.047ms
