scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  368.390ms ,  375.000ms ,    0.000ms ,  363.583ms ,  375.000ms ,    0.000ms ,  361.353ms ,    0.026ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.044ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.154ms ,    0.000ms ,    0.000ms ,    0.000ms ,   27.462ms ,   31.250ms ,    0.000ms ,    0.000ms ,  335.897ms ,  343.750ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   19.285ms ,   31.250ms ,    0.000ms ,   18.472ms ,   31.250ms ,    0.000ms ,   19.096ms ,    2.730ms ,    0.000ms ,    0.000ms ,    0.000ms ,   14.216ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.084ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.058ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.384ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   19.224ms ,   31.250ms ,    0.000ms ,   18.506ms ,   31.250ms ,    0.000ms ,   19.059ms ,    2.587ms ,   31.250ms ,    0.000ms ,    0.000ms ,   14.307ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.089ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.067ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.456ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   33.868ms ,   46.875ms ,    0.000ms ,   33.125ms ,   46.875ms ,    0.000ms ,   33.548ms ,    9.819ms ,   31.250ms ,    0.000ms ,    0.000ms ,   21.705ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.089ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.427ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   19.531ms ,   15.625ms ,    0.000ms ,   18.891ms ,   15.625ms ,    0.000ms ,   19.334ms ,    2.627ms ,    0.000ms ,    0.000ms ,    0.000ms ,   14.651ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.076ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.091ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.446ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   37.452ms ,   46.875ms ,    0.000ms ,   36.630ms ,   46.875ms ,    0.000ms ,   37.061ms ,    1.837ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.506ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.048ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.137ms ,    0.000ms ,    0.000ms ,    0.000ms ,   34.102ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   50.337ms ,   46.875ms ,    0.000ms ,   49.620ms ,   46.875ms ,    0.000ms ,   49.842ms ,    4.367ms ,    0.000ms ,    0.000ms ,    0.000ms ,   43.723ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.070ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.082ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.378ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   48.773ms ,   46.875ms ,    0.000ms ,   47.982ms ,   46.875ms ,    0.000ms ,   48.297ms ,    3.452ms ,    0.000ms ,    0.000ms ,    0.000ms ,   42.778ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.082ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.083ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.587ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   54.768ms ,   46.875ms ,    0.000ms ,   53.928ms ,   46.875ms ,    0.000ms ,   54.131ms ,    3.308ms ,    0.000ms ,    0.000ms ,    0.000ms ,   45.881ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.094ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.098ms ,    0.000ms ,    0.000ms ,    0.000ms ,    4.547ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   53.268ms ,   46.875ms ,    0.000ms ,   52.550ms ,   46.875ms ,    0.000ms ,   52.717ms ,    3.759ms ,    0.000ms ,    0.000ms ,    0.000ms ,   46.704ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.080ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.092ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.915ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,   57.164ms ,   62.500ms ,    0.000ms ,   56.389ms ,   62.500ms ,    0.000ms ,   56.276ms ,    4.514ms ,    0.000ms ,    0.000ms ,    0.000ms ,   50.285ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.080ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.096ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.414ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,  111.368ms ,  140.625ms ,    0.000ms ,  110.579ms ,  140.625ms ,    0.000ms ,  110.488ms ,    5.355ms ,   62.500ms ,    0.000ms ,    0.000ms ,  103.499ms ,   78.125ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.098ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.542ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,   61.452ms ,   62.500ms ,    0.000ms ,   60.643ms ,   62.500ms ,    0.000ms ,   60.952ms ,    3.540ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.437ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.093ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.488ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,   69.052ms ,   93.750ms ,    0.000ms ,   68.219ms ,   93.750ms ,    0.000ms ,   68.562ms ,    3.423ms ,   31.250ms ,    0.000ms ,    0.000ms ,   63.038ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.088ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.096ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.574ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_10   ,   66.012ms ,   62.500ms ,    0.000ms ,   65.227ms ,   62.500ms ,    0.000ms ,   65.352ms ,    3.177ms ,    0.000ms ,    0.000ms ,    0.000ms ,   60.391ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.083ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.091ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.485ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_20   ,   98.522ms ,  125.000ms ,    0.000ms ,   97.750ms ,  125.000ms ,    0.000ms ,   97.436ms ,    3.437ms ,   62.500ms ,    0.000ms ,    0.000ms ,   92.659ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.083ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.100ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.471ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_4    ,   61.865ms ,   62.500ms ,    0.000ms ,   60.992ms ,   62.500ms ,    0.000ms ,   61.166ms ,    3.795ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.550ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.087ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.105ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.455ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_4    ,   61.829ms ,   62.500ms ,    0.000ms ,   61.124ms ,   62.500ms ,    0.000ms ,   61.098ms ,    3.921ms ,    0.000ms ,    0.000ms ,    0.000ms ,   55.712ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.080ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.326ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_4   ,   59.879ms ,   62.500ms ,    0.000ms ,   59.139ms ,   31.250ms ,    0.000ms ,   59.376ms ,    4.312ms ,    0.000ms ,    0.000ms ,    0.000ms ,   53.168ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.087ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.087ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.485ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_4   ,   56.373ms ,   31.250ms ,    0.000ms ,   55.580ms ,   31.250ms ,    0.000ms ,   55.744ms ,    5.288ms ,    0.000ms ,    0.000ms ,    0.000ms ,   48.767ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.081ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.082ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.362ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_4        ,   48.016ms ,   46.875ms ,    0.000ms ,   46.997ms ,   46.875ms ,    0.000ms ,   47.544ms ,    1.946ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.528ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.052ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.142ms ,    0.000ms ,    0.000ms ,    0.000ms ,   44.329ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_6        ,   49.270ms ,   46.875ms ,    0.000ms ,   48.444ms ,   46.875ms ,    0.000ms ,   48.518ms ,    1.883ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.447ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.044ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.143ms ,    0.000ms ,    0.000ms ,    0.000ms ,   45.927ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_8        ,   50.007ms ,   78.125ms ,    0.000ms ,   49.234ms ,   78.125ms ,    0.000ms ,   49.523ms ,    1.878ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.441ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.048ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.170ms ,    0.000ms ,    0.000ms ,    0.000ms ,   46.697ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_combo_10       ,   53.615ms ,   62.500ms ,    0.000ms ,   52.750ms ,   62.500ms ,    0.000ms ,   53.090ms ,    1.856ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.437ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.058ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.141ms ,    0.000ms ,    0.000ms ,    0.000ms ,   50.258ms ,   62.500ms ,    0.000ms ,    0.000ms
