scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,    8.055ms ,    0.000ms ,    3.402ms ,    7.997ms ,    0.000ms ,    3.354ms ,    0.010ms ,    0.001ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.002ms ,    0.000ms ,    1.376ms ,    0.000ms ,    0.013ms ,    0.012ms ,    6.093ms ,    0.000ms ,    3.238ms ,    3.231ms ,    0.525ms ,    0.000ms ,    0.100ms ,    0.098ms
sublime         , simple_vbo                ,    0.718ms ,    0.000ms ,    0.197ms ,    0.549ms ,    0.000ms ,    0.161ms ,    0.004ms ,    0.120ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.197ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.022ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.015ms ,    0.000ms ,    0.047ms ,    0.045ms ,    0.195ms ,    0.000ms ,    0.108ms ,    0.108ms
sublime         , simple_vbo_stor           ,    0.685ms ,    0.000ms ,    0.179ms ,    0.520ms ,    0.000ms ,    0.144ms ,    0.003ms ,    0.040ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.176ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.016ms ,    0.000ms ,    0.004ms ,    0.002ms ,    0.064ms ,    0.000ms ,    0.047ms ,    0.045ms ,    0.224ms ,    0.000ms ,    0.090ms ,    0.090ms
sublime         , complete_vbo              ,    1.695ms ,    0.000ms ,    0.325ms ,    1.390ms ,    0.000ms ,    0.289ms ,    0.006ms ,    0.276ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.714ms ,    0.000ms ,    0.119ms ,    0.117ms ,    0.024ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.136ms ,    0.000ms ,    0.084ms ,    0.083ms ,    0.240ms ,    0.000ms ,    0.083ms ,    0.081ms
sublime         , one_ssbo                  ,    0.873ms ,    0.000ms ,    0.202ms ,    0.693ms ,    0.000ms ,    0.168ms ,    0.007ms ,    0.026ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.156ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.025ms ,    0.000ms ,    0.004ms ,    0.002ms ,    0.245ms ,    0.000ms ,    0.082ms ,    0.081ms ,    0.241ms ,    0.000ms ,    0.080ms ,    0.078ms
sublime         , ssbo_instr_list           ,    1.331ms ,    0.000ms ,    0.488ms ,    0.903ms ,    0.000ms ,    0.447ms ,    0.007ms ,    0.032ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.294ms ,    0.000ms ,    0.017ms ,    0.016ms ,    0.031ms ,    0.000ms ,    0.006ms ,    0.004ms ,    0.326ms ,    0.000ms ,    0.343ms ,    0.342ms ,    0.220ms ,    0.000ms ,    0.080ms ,    0.080ms
sublime         , ssbo_inlined_instr_6      ,    1.202ms ,    0.000ms ,    0.574ms ,    0.668ms ,    0.000ms ,    0.539ms ,    0.006ms ,    0.118ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.145ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.025ms ,    0.000ms ,    0.004ms ,    0.002ms ,    0.108ms ,    0.000ms ,    0.437ms ,    0.437ms ,    0.272ms ,    0.000ms ,    0.095ms ,    0.093ms
sublime         , ssbo_inlined_instr_4_4    ,    1.121ms ,    0.000ms ,    0.614ms ,    0.555ms ,    0.000ms ,    0.564ms ,    0.007ms ,    0.037ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.144ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.026ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.061ms ,    0.000ms ,    0.430ms ,    0.429ms ,    0.287ms ,    0.000ms ,    0.129ms ,    0.127ms
sublime         , ssbo_inlined_instr_6_6    ,    1.094ms ,    0.000ms ,    0.582ms ,    0.549ms ,    0.000ms ,    0.547ms ,    0.006ms ,    0.065ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.142ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.024ms ,    0.000ms ,    0.004ms ,    0.002ms ,    0.056ms ,    0.000ms ,    0.439ms ,    0.439ms ,    0.262ms ,    0.000ms ,    0.101ms ,    0.099ms
sublime         , ssbo_inlined_instr_8_8    ,    1.177ms ,    0.000ms ,    0.601ms ,    0.608ms ,    0.000ms ,    0.567ms ,    0.006ms ,    0.065ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.171ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.024ms ,    0.000ms ,    0.003ms ,    0.002ms ,    0.070ms ,    0.000ms ,    0.461ms ,    0.459ms ,    0.278ms ,    0.000ms ,    0.100ms ,    0.099ms
