scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  402.401ms ,  781.250ms ,  388.991ms ,  151.461ms ,  203.125ms ,   61.866ms ,  398.449ms ,    0.106ms ,    0.000ms ,    0.657ms ,    0.000ms ,    0.095ms ,    0.000ms ,    1.104ms ,    0.095ms ,    0.145ms ,    0.000ms ,    5.032ms ,    3.634ms ,  135.393ms ,  187.500ms ,   39.519ms ,   38.494ms ,   15.722ms ,   15.625ms ,   15.552ms ,   14.330ms
sublime         , simple_vbo                ,   61.296ms ,   78.125ms ,   57.333ms ,    9.507ms ,    0.000ms ,   30.731ms ,   60.793ms ,    1.777ms ,    0.000ms ,    0.730ms ,    0.000ms ,    3.496ms ,    0.000ms ,    1.040ms ,    0.095ms ,    0.338ms ,    0.000ms ,    4.587ms ,    3.355ms ,    0.778ms ,    0.000ms ,    8.599ms ,    7.204ms ,    3.118ms ,    0.000ms ,   15.775ms ,   14.352ms
sublime         , simple_vbo_stor           ,   55.042ms ,   62.500ms ,   54.907ms ,    8.254ms ,    0.000ms ,   30.318ms ,   54.507ms ,    1.609ms ,    0.000ms ,    0.489ms ,    0.000ms ,    2.387ms ,    0.000ms ,    1.547ms ,    0.555ms ,    0.678ms ,    0.000ms ,    4.606ms ,    3.356ms ,    0.555ms ,    0.000ms ,    9.043ms ,    7.191ms ,    3.025ms ,    0.000ms ,   14.633ms ,   13.681ms
sublime         , complete_vbo              ,   89.197ms ,  125.000ms ,   88.423ms ,   22.844ms ,   62.500ms ,   35.379ms ,   88.416ms ,    9.431ms ,   31.250ms ,    0.505ms ,    0.000ms ,    7.461ms ,    0.000ms ,    1.303ms ,    0.096ms ,    0.124ms ,    0.000ms ,    4.694ms ,    3.356ms ,    0.824ms ,    0.000ms ,   14.006ms ,   12.169ms ,    5.004ms ,   31.250ms ,   14.871ms ,   13.922ms
sublime         , one_ssbo                  ,   56.815ms ,   62.500ms ,   56.530ms ,    7.359ms ,    0.000ms ,   34.575ms ,   56.377ms ,    1.736ms ,    0.000ms ,    0.894ms ,    0.000ms ,    1.672ms ,    0.000ms ,    1.011ms ,    0.090ms ,    0.280ms ,    0.000ms ,    4.440ms ,    3.166ms ,    0.940ms ,    0.000ms ,   14.202ms ,   12.399ms ,    2.731ms ,    0.000ms ,   14.028ms ,   13.127ms
sublime         , ssbo_instr_list           ,   52.007ms ,   62.500ms ,   51.755ms ,    5.826ms ,    0.000ms ,   31.736ms ,   51.567ms ,    1.954ms ,    0.000ms ,    0.424ms ,    0.000ms ,    1.213ms ,    0.000ms ,    0.930ms ,    0.081ms ,    0.229ms ,    0.000ms ,    3.988ms ,    2.855ms ,    0.352ms ,    0.000ms ,   13.322ms ,   11.910ms ,    2.078ms ,    0.000ms ,   13.072ms ,   12.242ms
sublime         , ssbo_inlined_instr_6      ,   65.155ms ,   93.750ms ,   63.902ms ,   10.183ms ,    0.000ms ,   38.749ms ,   64.597ms ,    4.625ms ,    0.000ms ,    0.462ms ,    0.000ms ,    1.608ms ,    0.000ms ,    0.999ms ,    0.089ms ,    0.352ms ,    0.000ms ,    4.341ms ,    3.126ms ,    0.868ms ,    0.000ms ,   18.996ms ,   17.208ms ,    2.730ms ,    0.000ms ,   13.951ms ,   12.822ms
sublime         , ssbo_inlined_instr_4_4    ,   60.671ms ,   78.125ms ,   60.288ms ,    7.817ms ,    0.000ms ,   37.487ms ,   60.115ms ,    2.881ms ,    0.000ms ,    0.446ms ,    0.000ms ,    1.293ms ,    0.000ms ,    1.003ms ,    0.088ms ,    0.294ms ,    0.000ms ,    4.512ms ,    3.104ms ,    0.878ms ,    0.000ms ,   16.973ms ,   14.848ms ,    2.471ms ,    0.000ms ,   14.553ms ,   13.660ms
sublime         , ssbo_inlined_instr_6_6    ,   60.609ms ,   78.125ms ,   60.266ms ,    8.498ms ,    0.000ms ,   37.396ms ,   59.951ms ,    3.011ms ,    0.000ms ,    0.670ms ,    0.000ms ,    1.506ms ,    0.000ms ,    0.970ms ,    0.085ms ,    0.259ms ,    0.000ms ,    4.389ms ,    2.996ms ,    0.922ms ,    0.000ms ,   18.269ms ,   16.499ms ,    2.800ms ,    0.000ms ,   13.099ms ,   12.231ms
sublime         , ssbo_inlined_instr_8_8    ,   65.096ms ,   78.125ms ,   64.748ms ,    9.008ms ,    0.000ms ,   39.840ms ,   64.463ms ,    3.122ms ,    0.000ms ,    0.442ms ,    0.000ms ,    1.677ms ,    0.000ms ,    0.973ms ,    0.086ms ,    0.269ms ,    0.000ms ,    4.306ms ,    3.043ms ,    0.908ms ,    0.000ms ,   20.621ms ,   19.060ms ,    3.032ms ,    0.000ms ,   13.497ms ,   12.381ms
