scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  302.512ms ,  640.625ms ,    0.000ms ,  301.428ms ,  609.375ms ,    0.000ms ,  298.686ms ,    0.045ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.053ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.000ms ,    0.000ms ,  286.222ms ,  593.750ms ,    0.000ms ,    0.000ms ,   15.023ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   30.510ms ,   31.250ms ,    0.000ms ,   29.546ms ,   31.250ms ,    0.000ms ,   30.375ms ,    1.587ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.278ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.234ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.574ms ,    0.000ms ,    0.000ms ,    0.000ms ,   23.873ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   14.130ms ,   46.875ms ,    0.000ms ,   13.256ms ,   46.875ms ,    0.000ms ,   14.001ms ,    1.550ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.323ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.460ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.453ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.470ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   54.846ms ,   93.750ms ,    0.000ms ,   53.791ms ,   62.500ms ,    0.000ms ,   54.584ms ,    9.777ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.639ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.135ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.600ms ,    0.000ms ,    0.000ms ,    0.000ms ,   35.640ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   23.380ms ,   31.250ms ,    0.000ms ,   22.394ms ,   31.250ms ,    0.000ms ,   23.271ms ,    1.875ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.723ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.167ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.768ms ,    0.000ms ,    0.000ms ,    0.000ms ,   17.861ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   21.314ms ,   31.250ms ,    0.000ms ,   20.399ms ,   31.250ms ,    0.000ms ,   21.201ms ,    1.917ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.127ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.200ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.350ms ,    0.000ms ,    0.000ms ,    0.000ms ,   16.805ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   23.228ms ,   46.875ms ,    0.000ms ,   22.241ms ,   46.875ms ,    0.000ms ,   23.064ms ,    4.418ms ,   31.250ms ,    0.000ms ,    0.000ms ,    1.932ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.285ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.780ms ,    0.000ms ,    0.000ms ,    0.000ms ,   14.826ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   20.154ms ,   62.500ms ,    0.000ms ,   19.185ms ,   62.500ms ,    0.000ms ,   20.022ms ,    2.988ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.373ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.205ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.808ms ,    0.000ms ,    0.000ms ,    0.000ms ,   13.811ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   16.721ms ,   31.250ms ,    0.000ms ,   15.713ms ,   31.250ms ,    0.000ms ,   16.565ms ,    3.318ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.776ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.254ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.620ms ,    0.000ms ,    0.000ms ,    0.000ms ,    9.745ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   19.825ms ,   78.125ms ,    0.000ms ,   18.827ms ,   78.125ms ,    0.000ms ,   19.698ms ,    3.388ms ,   62.500ms ,    0.000ms ,    0.000ms ,    2.106ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.200ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.791ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.342ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_10_10  ,   19.457ms ,   46.875ms ,    0.000ms ,   18.527ms ,   46.875ms ,    0.000ms ,   19.335ms ,    3.777ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.383ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.356ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.771ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.240ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_20_20  ,   24.021ms ,   31.250ms ,    0.000ms ,   23.115ms ,   31.250ms ,    0.000ms ,   23.866ms ,    4.364ms ,   31.250ms ,    0.000ms ,    0.000ms ,    3.432ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.358ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.830ms ,    0.000ms ,    0.000ms ,    0.000ms ,   14.131ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_6    ,   13.146ms ,   46.875ms ,    0.000ms ,   12.079ms ,    0.000ms ,    0.000ms ,   13.030ms ,    3.228ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.332ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.194ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.552ms ,    0.000ms ,    0.000ms ,    0.000ms ,    6.773ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_8    ,   16.593ms ,   78.125ms ,    0.000ms ,   15.695ms ,   78.125ms ,    0.000ms ,   16.478ms ,    3.016ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.346ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.195ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.713ms ,    0.000ms ,    0.000ms ,    0.000ms ,   10.425ms ,   78.125ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_10   ,   14.052ms ,   15.625ms ,    0.000ms ,   13.017ms ,   15.625ms ,    0.000ms ,   13.909ms ,    2.951ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.182ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.195ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.700ms ,    0.000ms ,    0.000ms ,    0.000ms ,    7.989ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_20   ,   18.222ms ,   31.250ms ,    0.000ms ,   17.247ms ,   31.250ms ,    0.000ms ,   18.041ms ,    3.024ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.400ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.293ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.773ms ,    0.000ms ,    0.000ms ,    0.000ms ,   11.757ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_4    ,   13.751ms ,   31.250ms ,    0.000ms ,   12.754ms ,   31.250ms ,    0.000ms ,   13.600ms ,    3.280ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.775ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.222ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.676ms ,    0.000ms ,    0.000ms ,    0.000ms ,    6.801ms ,   31.250ms ,    0.000ms ,    0.000ms
