scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,    29762us ,    31250us , 1640.810us ,        6us ,        1us ,        0us ,    5.160us ,    0.000us ,        3us ,        0us ,   14.920us ,    0.960us ,       14us ,        0us ,   43.000us ,   32.920us ,     1655us ,        0us ,  420.520us ,  411.120us ,    28089us ,    31250us , 1157.210us , 1145.850us
sublime         , simple_vbo                ,     1 ,      297us ,        0us ,  300.800us ,        4us ,      169us ,        0us ,    4.920us ,    0.000us ,       82us ,        0us ,   11.040us ,    0.920us ,        3us ,        0us ,   48.000us ,   33.920us ,        5us ,        0us ,   89.160us ,   75.120us ,       38us ,        0us ,  147.680us ,  137.800us
sublime         , simple_vbo_stor           ,     1 ,      157us ,        0us ,  306.560us ,        3us ,       37us ,        0us ,    4.920us ,    0.000us ,       56us ,        0us ,   18.520us ,    7.960us ,        3us ,        0us ,   48.080us ,   34.080us ,       11us ,        0us ,   88.840us ,   74.800us ,       50us ,        0us ,  146.200us ,  136.320us
sublime         , complete_vbo              ,     1 ,      760us ,        0us ,  352.680us ,        5us ,      373us ,        0us ,    4.880us ,    0.000us ,      286us ,        0us ,   11.040us ,    0.960us ,        3us ,        0us ,   48.280us ,   34.000us ,       24us ,        0us ,  141.280us ,  127.880us ,       74us ,        0us ,  147.200us ,  137.600us
sublime         , one_ssbo                  ,     1 ,      165us ,        0us ,  354.440us ,        4us ,       38us ,        0us ,    4.920us ,    0.000us ,       60us ,        0us ,   11.040us ,    0.920us ,       10us ,        0us ,   44.280us ,   34.040us ,       20us ,        0us ,  148.160us ,  133.920us ,       37us ,        0us ,  146.040us ,  136.400us
sublime         , ssbo_instr_list           ,     1 ,      100us ,        0us ,  366.280us ,        4us ,       27us ,        0us ,    4.880us ,    0.000us ,       26us ,        0us ,   11.080us ,    0.960us ,        3us ,        0us ,   44.040us ,   33.680us ,        7us ,        0us ,  159.040us ,  144.800us ,       37us ,        0us ,  147.240us ,  137.480us
sublime         , ssbo_inlined_instr_6      ,     1 ,      283us ,        0us ,  414.760us ,        4us ,      162us ,        0us ,    4.960us ,    0.000us ,       57us ,        0us ,    9.760us ,    0.960us ,        4us ,        0us ,   47.240us ,   34.240us ,       16us ,        0us ,  207.000us ,  192.720us ,       44us ,        0us ,  145.800us ,  136.120us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      127us ,        0us ,  388.320us ,        4us ,       39us ,        0us ,    4.960us ,    0.000us ,       32us ,        0us ,    9.800us ,    0.920us ,        2us ,        0us ,   47.840us ,   34.840us ,       18us ,        0us ,  175.800us ,  165.920us ,       36us ,        0us ,  149.920us ,  140.360us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      203us ,        0us ,  408.680us ,        4us ,       70us ,        0us ,    4.880us ,    0.000us ,       71us ,        0us ,    9.880us ,    0.920us ,        3us ,        0us ,   46.840us ,   33.800us ,       17us ,        0us ,  202.240us ,  189.160us ,       42us ,        0us ,  144.840us ,  136.360us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      197us ,        0us ,  434.040us ,        3us ,       76us ,        0us ,    4.960us ,    0.000us ,       61us ,        0us ,    9.800us ,    0.960us ,        3us ,        0us ,   47.600us ,   34.520us ,       19us ,        0us ,  224.200us ,  215.080us ,       38us ,        0us ,  147.480us ,  139.000us
sublime         , ssbo_inlined_instr_10_10  ,     1 ,      337us ,        0us ,  457.760us ,        4us ,      192us ,        0us ,    4.960us ,    0.000us ,       87us ,        0us ,    9.880us ,    0.920us ,        2us ,        0us ,   46.920us ,   33.880us ,       17us ,        0us ,  249.480us ,  240.920us ,       39us ,        0us ,  146.520us ,  138.080us
sublime         , ssbo_inlined_instr_20_20  ,     1 ,      420us ,        0us , 1153.810us ,        4us ,      201us ,        0us ,    4.880us ,    0.000us ,      161us ,        0us ,    9.880us ,    0.920us ,        3us ,        0us ,   43.080us ,   33.920us ,       10us ,        0us ,  949.170us ,  544.600us ,       45us ,        0us ,  146.800us ,  136.240us
sublime         , ssbo_inlined_instr_4_6    ,     1 ,      214us ,        0us ,  409.720us ,        4us ,      111us ,        0us ,    4.920us ,    0.000us ,       42us ,        0us ,   11.040us ,    0.960us ,        3us ,        0us ,   48.160us ,   33.920us ,       17us ,        0us ,  199.880us ,  190.600us ,       41us ,        0us ,  145.720us ,  136.080us
