scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  839.304ms ,  875.000ms ,  837.996ms ,  798.925ms ,  812.500ms ,  306.049ms ,  832.987ms ,    0.111ms ,    0.000ms ,    0.083ms ,    0.000ms ,    0.076ms ,    0.000ms ,    0.238ms ,    0.079ms ,    0.237ms ,    0.000ms ,    0.547ms ,    0.388ms ,   65.233ms ,  125.000ms ,  195.471ms ,  195.284ms ,  733.268ms ,  687.500ms ,  109.710ms ,  109.555ms
sublime         , simple_vbo                ,   50.383ms ,   31.250ms ,   49.864ms ,   36.819ms ,   15.625ms ,   25.207ms ,   49.951ms ,    3.306ms ,   15.625ms ,    0.078ms ,    0.000ms ,    4.545ms ,    0.000ms ,    0.603ms ,    0.444ms ,    0.772ms ,    0.000ms ,    0.654ms ,    0.507ms ,    1.322ms ,    0.000ms ,    3.673ms ,    3.499ms ,   26.874ms ,    0.000ms ,   20.198ms ,   20.033ms
sublime         , simple_vbo_stor           ,   42.438ms ,   46.875ms ,   42.064ms ,   38.644ms ,   46.875ms ,   20.554ms ,   42.052ms ,    2.708ms ,   15.625ms ,    0.071ms ,    0.000ms ,    3.615ms ,    0.000ms ,    0.226ms ,    0.085ms ,    1.292ms ,    0.000ms ,    0.643ms ,    0.501ms ,    0.843ms ,    0.000ms ,    3.649ms ,    3.503ms ,   30.186ms ,   31.250ms ,   15.965ms ,   15.823ms
sublime         , complete_vbo              ,  101.436ms ,  109.375ms ,   99.879ms ,   82.556ms ,   93.750ms ,   36.589ms ,  100.120ms ,   17.005ms ,   15.625ms ,    0.298ms ,    0.000ms ,   27.797ms ,   31.250ms ,   22.061ms ,   21.687ms ,    1.486ms ,    0.000ms ,    0.553ms ,    0.417ms ,    1.273ms ,    0.000ms ,    5.646ms ,    5.505ms ,   34.995ms ,   46.875ms ,    8.030ms ,    7.880ms
sublime         , one_ssbo                  ,   48.276ms ,   31.250ms ,   47.417ms ,   43.507ms ,   31.250ms ,   25.515ms ,   47.675ms ,    3.032ms ,    0.000ms ,    0.073ms ,    0.000ms ,    2.373ms ,    0.000ms ,    0.236ms ,    0.080ms ,    1.466ms ,   15.625ms ,    0.578ms ,    0.425ms ,    1.494ms ,    0.000ms ,    5.750ms ,    5.588ms ,   35.142ms ,   15.625ms ,   18.879ms ,   18.715ms
sublime         , ssbo_instr_list           ,   47.119ms ,   46.875ms ,   46.610ms ,   38.526ms ,   46.875ms ,   31.567ms ,   46.681ms ,    2.344ms ,    0.000ms ,    0.295ms ,    0.000ms ,    1.260ms ,    0.000ms ,    0.432ms ,    0.153ms ,    1.402ms ,    0.000ms ,    0.590ms ,    0.433ms ,    1.520ms ,   15.625ms ,   21.720ms ,   21.559ms ,   32.000ms ,   31.250ms ,    8.530ms ,    8.383ms
sublime         , ssbo_inlined_instr_6      ,   63.017ms ,   62.500ms ,   62.307ms ,   43.663ms ,   62.500ms ,   38.304ms ,   62.366ms ,    5.653ms ,   15.625ms ,    0.085ms ,    0.000ms ,    2.376ms ,    0.000ms ,    0.220ms ,    0.079ms ,    1.401ms ,    0.000ms ,    0.557ms ,    0.402ms ,    1.439ms ,    0.000ms ,   29.111ms ,   28.955ms ,   32.794ms ,   46.875ms ,    8.330ms ,    8.192ms
sublime         , ssbo_inlined_instr_4_4    ,   58.112ms ,   62.500ms ,   57.314ms ,   41.654ms ,   15.625ms ,   37.034ms ,   57.541ms ,    4.233ms ,    0.000ms ,    0.074ms ,    0.000ms ,    1.918ms ,    0.000ms ,    0.225ms ,    0.076ms ,    1.421ms ,    0.000ms ,    0.547ms ,    0.399ms ,    1.532ms ,    0.000ms ,   28.813ms ,   28.661ms ,   32.550ms ,   15.625ms ,    7.375ms ,    7.221ms
sublime         , ssbo_inlined_instr_6_6    ,   60.664ms ,   62.500ms ,   60.026ms ,   43.703ms ,   46.875ms ,   36.767ms ,   59.864ms ,    4.744ms ,   15.625ms ,    0.077ms ,    0.000ms ,    2.414ms ,    0.000ms ,    0.218ms ,    0.077ms ,    1.475ms ,    0.000ms ,    0.543ms ,    0.397ms ,    1.520ms ,    0.000ms ,   28.828ms ,   28.671ms ,   33.550ms ,   31.250ms ,    7.101ms ,    6.950ms
sublime         , ssbo_inlined_instr_8_8    ,   61.637ms ,   62.500ms ,   60.826ms ,   41.756ms ,   46.875ms ,   35.941ms ,   60.984ms ,    4.800ms ,    0.000ms ,    0.078ms ,    0.000ms ,    2.844ms ,   15.625ms ,    0.216ms ,    0.074ms ,    1.406ms ,    0.000ms ,    0.560ms ,    0.413ms ,    1.446ms ,   15.625ms ,   28.915ms ,   28.763ms ,   31.260ms ,   15.625ms ,    6.173ms ,    6.027ms
sublime         , ssbo_inlined_instr_10_10  ,   65.553ms ,   62.500ms ,   64.370ms ,   44.499ms ,   46.875ms ,   38.153ms ,   64.813ms ,    4.897ms ,   15.625ms ,    0.300ms ,    0.000ms ,    3.609ms ,    0.000ms ,    0.942ms ,    0.567ms ,    1.385ms ,   31.250ms ,    0.595ms ,    0.431ms ,    1.468ms ,    0.000ms ,   29.240ms ,   29.111ms ,   33.140ms ,    0.000ms ,    7.076ms ,    6.921ms
sublime         , ssbo_inlined_instr_20_20  ,   81.391ms ,   78.125ms ,   80.058ms ,   48.882ms ,   62.500ms ,   49.473ms ,   80.489ms ,    7.256ms ,   31.250ms ,    0.302ms ,    0.000ms ,    5.907ms ,    0.000ms ,    8.770ms ,    8.395ms ,    1.487ms ,    0.000ms ,    0.534ms ,    0.381ms ,    1.551ms ,    0.000ms ,   33.490ms ,   33.370ms ,   32.681ms ,   31.250ms ,    6.377ms ,    6.226ms
sublime         , ssbo_inlined_instr_4_6    ,   58.480ms ,   62.500ms ,   57.672ms ,   41.478ms ,   62.500ms ,   37.534ms ,   57.943ms ,    4.212ms ,    0.000ms ,    0.080ms ,    0.000ms ,    1.871ms ,    0.000ms ,    0.219ms ,    0.076ms ,    1.357ms ,   15.625ms ,    0.561ms ,    0.416ms ,    1.465ms ,    0.000ms ,   28.814ms ,   28.668ms ,   32.573ms ,   46.875ms ,    7.859ms ,    7.712ms
sublime         , ssbo_inlined_instr_4_8    ,   58.166ms ,   62.500ms ,   57.581ms ,   40.521ms ,   62.500ms ,   37.203ms ,   57.619ms ,    4.290ms ,   15.625ms ,    0.078ms ,    0.000ms ,    1.839ms ,    0.000ms ,    0.221ms ,    0.069ms ,    1.361ms ,    0.000ms ,    0.546ms ,    0.397ms ,    1.415ms ,   15.625ms ,   28.879ms ,   28.715ms ,   31.616ms ,   31.250ms ,    7.479ms ,    7.337ms
sublime         , ssbo_inlined_instr_4_10   ,   57.519ms ,   62.500ms ,   56.968ms ,   39.480ms ,   31.250ms ,   37.248ms ,   56.982ms ,    4.095ms ,    0.000ms ,    0.076ms ,    0.000ms ,    1.800ms ,    0.000ms ,    0.217ms ,    0.081ms ,    1.300ms ,    0.000ms ,    0.556ms ,    0.408ms ,    1.367ms ,    0.000ms ,   29.232ms ,   29.089ms ,   30.918ms ,   31.250ms ,    7.167ms ,    7.014ms
sublime         , ssbo_inlined_instr_4_20   ,   60.812ms ,   62.500ms ,   60.274ms ,   38.723ms ,   46.875ms ,   40.479ms ,   60.230ms ,    3.997ms ,    0.000ms ,    0.076ms ,    0.000ms ,    1.837ms ,    0.000ms ,    0.215ms ,    0.074ms ,    1.338ms ,   15.625ms ,    0.553ms ,    0.401ms ,    1.355ms ,    0.000ms ,   33.384ms ,   33.236ms ,   30.196ms ,   31.250ms ,    6.250ms ,    6.104ms
sublime         , ssbo_inlined_instr_6_4    ,   60.006ms ,   46.875ms ,   59.329ms ,   41.309ms ,   15.625ms ,   36.615ms ,   59.442ms ,    4.381ms ,    0.000ms ,    0.078ms ,    0.000ms ,    2.311ms ,    0.000ms ,    0.219ms ,    0.073ms ,    1.378ms ,    0.000ms ,    0.556ms ,    0.406ms ,    1.416ms ,    0.000ms ,   28.795ms ,   28.653ms ,   31.823ms ,   15.625ms ,    6.967ms ,    6.824ms
sublime         , ssbo_inlined_instr_8_4    ,   61.559ms ,   46.875ms ,   60.791ms ,   40.434ms ,   31.250ms ,   36.571ms ,   60.911ms ,    4.529ms ,   15.625ms ,    0.073ms ,    0.000ms ,    2.727ms ,    0.000ms ,    0.219ms ,    0.068ms ,    1.335ms ,    0.000ms ,    0.562ms ,    0.400ms ,    1.396ms ,    0.000ms ,   28.862ms ,   28.713ms ,   30.447ms ,   15.625ms ,    6.855ms ,    6.707ms
sublime         , ssbo_inlined_instr_10_4   ,   63.083ms ,   78.125ms ,   62.224ms ,   41.140ms ,   62.500ms ,   37.176ms ,   62.265ms ,    4.693ms ,    0.000ms ,    0.302ms ,    0.000ms ,    3.271ms ,   31.250ms ,    0.948ms ,    0.568ms ,    1.308ms ,    0.000ms ,    0.578ms ,    0.426ms ,    1.359ms ,    0.000ms ,   28.882ms ,   28.744ms ,   30.509ms ,   31.250ms ,    6.467ms ,    6.320ms
sublime         , ssbo_inlined_instr_20_4   ,   74.861ms ,   62.500ms ,   73.847ms ,   47.388ms ,   31.250ms ,   44.513ms ,   74.150ms ,    6.079ms ,    0.000ms ,    0.298ms ,    0.000ms ,    5.643ms ,    0.000ms ,    8.767ms ,    8.392ms ,    1.421ms ,   15.625ms ,    0.515ms ,    0.383ms ,    1.440ms ,   15.625ms ,   28.824ms ,   28.682ms ,   32.805ms ,    0.000ms ,    6.109ms ,    5.974ms
sublime         , ssbo_instr_combo_4        ,   52.411ms ,   62.500ms ,   51.792ms ,   38.359ms ,   46.875ms ,   37.225ms ,   51.906ms ,    2.325ms ,    0.000ms ,    0.306ms ,    0.000ms ,    1.233ms ,    0.000ms ,    0.415ms ,    0.135ms ,    1.395ms ,    0.000ms ,    0.550ms ,    0.393ms ,    1.491ms ,   15.625ms ,   28.848ms ,   28.708ms ,   31.915ms ,   31.250ms ,    7.107ms ,    6.952ms
sublime         , ssbo_instr_combo_6        ,   52.139ms ,   46.875ms ,   51.720ms ,   36.774ms ,   15.625ms ,   37.114ms ,   51.616ms ,    2.257ms ,   15.625ms ,    0.300ms ,    0.000ms ,    1.192ms ,    0.000ms ,    0.419ms ,    0.125ms ,    1.356ms ,    0.000ms ,    0.540ms ,    0.394ms ,    1.443ms ,    0.000ms ,   28.873ms ,   28.717ms ,   30.526ms ,    0.000ms ,    6.983ms ,    6.838ms
sublime         , ssbo_instr_combo_8        ,   52.137ms ,   62.500ms ,   51.561ms ,   36.770ms ,   62.500ms ,   37.165ms ,   51.635ms ,    2.204ms ,    0.000ms ,    0.302ms ,    0.000ms ,    1.200ms ,    0.000ms ,    0.419ms ,    0.133ms ,    1.331ms ,    0.000ms ,    0.554ms ,    0.406ms ,    1.431ms ,   15.625ms ,   28.958ms ,   28.814ms ,   30.604ms ,   46.875ms ,    6.932ms ,    6.778ms
sublime         , ssbo_instr_combo_10       ,   51.642ms ,   46.875ms ,   51.135ms ,   35.656ms ,   31.250ms ,   37.350ms ,   51.155ms ,    2.134ms ,    0.000ms ,    0.303ms ,    0.000ms ,    1.185ms ,    0.000ms ,    0.418ms ,    0.130ms ,    1.289ms ,    0.000ms ,    0.546ms ,    0.397ms ,    1.423ms ,    0.000ms ,   29.302ms ,   29.147ms ,   29.625ms ,   31.250ms ,    6.782ms ,    6.634ms
sublime         , ssbo_instr_combo_20       ,   56.549ms ,   62.500ms ,   56.082ms ,   36.500ms ,   46.875ms ,   41.917ms ,   56.019ms ,    2.195ms ,    0.000ms ,    0.303ms ,    0.000ms ,    1.184ms ,   15.625ms ,    0.419ms ,    0.132ms ,    1.314ms ,    0.000ms ,    0.553ms ,    0.396ms ,    1.408ms ,    0.000ms ,   33.558ms ,   33.410ms ,   30.399ms ,   31.250ms ,    7.085ms ,    6.934ms
