scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  768.769ms ,  812.500ms ,    0.000ms ,  766.980ms ,  812.500ms ,    0.000ms ,  762.091ms ,    0.032ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.053ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.253ms ,    0.000ms ,    0.000ms ,    0.000ms ,   64.357ms ,  125.000ms ,    0.000ms ,    0.000ms ,  702.285ms ,  687.500ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   55.563ms ,   78.125ms ,    0.000ms ,   54.212ms ,   78.125ms ,    0.000ms ,   55.096ms ,    4.926ms ,    0.000ms ,    0.000ms ,    0.000ms ,   20.487ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.081ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.264ms ,    0.000ms ,    0.000ms ,    0.000ms ,   26.454ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   53.755ms ,  109.375ms ,    0.000ms ,   52.402ms ,  109.375ms ,    0.000ms ,   53.307ms ,    6.550ms ,    0.000ms ,    0.000ms ,    0.000ms ,   18.133ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.067ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.422ms ,   15.625ms ,    0.000ms ,    0.000ms ,   25.230ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   91.855ms ,  125.000ms ,    0.000ms ,   90.526ms ,  125.000ms ,    0.000ms ,   90.633ms ,   27.811ms ,   31.250ms ,    0.000ms ,    0.000ms ,   35.540ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.074ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.567ms ,    0.000ms ,    0.000ms ,    0.000ms ,   24.534ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   50.151ms ,   78.125ms ,    0.000ms ,   48.756ms ,   78.125ms ,    0.000ms ,   49.579ms ,    7.000ms ,    0.000ms ,    0.000ms ,    0.000ms ,   15.289ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.069ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.148ms ,    0.000ms ,    0.000ms ,    0.000ms ,   24.250ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   46.312ms ,   78.125ms ,    0.000ms ,   44.914ms ,   78.125ms ,    0.000ms ,   45.884ms ,    2.746ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.170ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.064ms ,    0.000ms ,    0.000ms ,    0.000ms ,   16.636ms ,   31.250ms ,    0.000ms ,    0.000ms ,   24.298ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   54.370ms ,  109.375ms ,    0.000ms ,   53.081ms ,  109.375ms ,    0.000ms ,   53.717ms ,   10.141ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.140ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.068ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.021ms ,    0.000ms ,    0.000ms ,    0.000ms ,   27.711ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   50.098ms ,   78.125ms ,    0.000ms ,   48.669ms ,   78.125ms ,    0.000ms ,   49.564ms ,    5.515ms ,   31.250ms ,    0.000ms ,    0.000ms ,   15.022ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.065ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.654ms ,    0.000ms ,    0.000ms ,    0.000ms ,   25.413ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   50.255ms ,   93.750ms ,    0.000ms ,   49.040ms ,   93.750ms ,    0.000ms ,   49.763ms ,    5.871ms ,   31.250ms ,    0.000ms ,    0.000ms ,   15.229ms ,   31.250ms ,    0.000ms ,    0.000ms ,    0.085ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.785ms ,    0.000ms ,    0.000ms ,    0.000ms ,   25.070ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   50.947ms ,  109.375ms ,    0.000ms ,   49.685ms ,  109.375ms ,    0.000ms ,   50.370ms ,    6.991ms ,   15.625ms ,    0.000ms ,    0.000ms ,   14.863ms ,   62.500ms ,    0.000ms ,    0.000ms ,    0.059ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.440ms ,    0.000ms ,    0.000ms ,    0.000ms ,   25.332ms ,   31.250ms ,    0.000ms ,    0.000ms
