scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  116.025ms ,  125.000ms ,  114.909ms ,  115.975ms ,  125.000ms ,  114.870ms ,    0.009ms ,    0.001ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.131ms ,    0.000ms ,    0.013ms ,    0.012ms ,    5.922ms ,   15.625ms ,   40.131ms ,   40.129ms ,  109.919ms ,  109.375ms ,   74.723ms ,   74.722ms
sublime         , simple_vbo                ,    1.427ms ,    0.000ms ,    0.373ms ,    1.388ms ,    0.000ms ,    0.329ms ,    0.007ms ,    0.175ms ,    0.000ms ,    0.015ms ,    0.000ms ,    0.268ms ,    0.000ms ,    0.034ms ,    0.013ms ,    0.032ms ,    0.000ms ,    0.008ms ,    0.003ms ,    0.090ms ,    0.000ms ,    0.049ms ,    0.048ms ,    0.823ms ,    0.000ms ,    0.222ms ,    0.221ms
sublime         , simple_vbo_stor           ,    0.932ms ,    0.000ms ,    0.287ms ,    0.893ms ,    0.000ms ,    0.256ms ,    0.010ms ,    0.053ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.195ms ,    0.000ms ,    0.003ms ,    0.001ms ,    0.030ms ,    0.000ms ,    0.004ms ,    0.002ms ,    0.084ms ,    0.000ms ,    0.047ms ,    0.045ms ,    0.531ms ,    0.000ms ,    0.201ms ,    0.199ms
sublime         , complete_vbo              ,    2.418ms ,    0.000ms ,    0.392ms ,    2.299ms ,    0.000ms ,    0.358ms ,    0.006ms ,    0.304ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.987ms ,    0.000ms ,    0.219ms ,    0.215ms ,    0.029ms ,    0.000ms ,    0.003ms ,    0.001ms ,    0.333ms ,    0.000ms ,    0.063ms ,    0.062ms ,    0.646ms ,    0.000ms ,    0.070ms ,    0.068ms
sublime         , one_ssbo                  ,    1.194ms ,    0.000ms ,    0.314ms ,    1.155ms ,    0.000ms ,    0.283ms ,    0.006ms ,    0.044ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.175ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.029ms ,    0.000ms ,    0.005ms ,    0.003ms ,    0.356ms ,    0.000ms ,    0.072ms ,    0.071ms ,    0.551ms ,    0.000ms ,    0.203ms ,    0.202ms
sublime         , ssbo_instr_list           ,    1.189ms ,    0.000ms ,    0.338ms ,    1.111ms ,    0.000ms ,    0.306ms ,    0.006ms ,    0.040ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.090ms ,    0.000ms ,    0.006ms ,    0.002ms ,    0.034ms ,    0.000ms ,    0.005ms ,    0.003ms ,    0.400ms ,    0.000ms ,    0.225ms ,    0.224ms ,    0.547ms ,    0.000ms ,    0.069ms ,    0.068ms
sublime         , ssbo_inlined_instr_6      ,    1.462ms ,    0.000ms ,    0.447ms ,    1.243ms ,    0.000ms ,    0.418ms ,    0.006ms ,    0.130ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.177ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.030ms ,    0.000ms ,    0.005ms ,    0.003ms ,    0.400ms ,    0.000ms ,    0.341ms ,    0.340ms ,    0.506ms ,    0.000ms ,    0.069ms ,    0.068ms
sublime         , ssbo_inlined_instr_4_4    ,    1.690ms ,    0.000ms ,    0.675ms ,    1.636ms ,    0.000ms ,    0.626ms ,    0.005ms ,    0.062ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.163ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.030ms ,    0.000ms ,    0.005ms ,    0.003ms ,    0.414ms ,    0.000ms ,    0.341ms ,    0.339ms ,    0.967ms ,    0.000ms ,    0.276ms ,    0.274ms
sublime         , ssbo_inlined_instr_6_6    ,    1.412ms ,    0.000ms ,    1.206ms ,    1.167ms ,    0.000ms ,    0.419ms ,    0.006ms ,    0.079ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.177ms ,    0.000ms ,    0.003ms ,    0.000ms ,    0.029ms ,    0.000ms ,    0.004ms ,    0.003ms ,    0.384ms ,    0.000ms ,    0.342ms ,    0.340ms ,    0.498ms ,    0.000ms ,    0.069ms ,    0.068ms
sublime         , ssbo_inlined_instr_8_8    ,    1.540ms ,    0.000ms ,    0.452ms ,    1.292ms ,    0.000ms ,    0.417ms ,    0.006ms ,    0.103ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.205ms ,    0.000ms ,    0.002ms ,    0.001ms ,    0.030ms ,    0.000ms ,    0.005ms ,    0.003ms ,    0.403ms ,    0.000ms ,    0.341ms ,    0.340ms ,    0.551ms ,    0.000ms ,    0.068ms ,    0.067ms
