scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  337.197ms ,  593.750ms ,  323.421ms ,  127.046ms ,  250.000ms ,   40.945ms ,  333.993ms ,    0.090ms ,    0.000ms ,    0.200ms ,    0.000ms ,    0.098ms ,    0.000ms ,    0.413ms ,    0.067ms ,    0.114ms ,    0.000ms ,    0.404ms ,    0.066ms ,  125.031ms ,  250.000ms ,   28.377ms ,   28.015ms ,    1.713ms ,    0.000ms ,   11.552ms ,   11.203ms
sublime         , simple_vbo                ,   50.310ms ,   46.875ms ,   45.151ms ,   12.706ms ,    0.000ms ,   20.937ms ,   49.921ms ,    1.989ms ,    0.000ms ,    0.179ms ,    0.000ms ,    5.989ms ,    0.000ms ,    0.397ms ,    0.062ms ,    0.288ms ,    0.000ms ,    0.373ms ,    0.060ms ,    0.605ms ,    0.000ms ,    9.445ms ,    8.943ms ,    3.835ms ,    0.000ms ,   10.543ms ,   10.208ms
sublime         , simple_vbo_stor           ,   43.921ms ,   62.500ms ,   43.850ms ,    7.792ms ,   62.500ms ,   25.080ms ,   43.475ms ,    1.867ms ,   31.250ms ,    0.152ms ,    0.000ms ,    2.449ms ,    0.000ms ,    4.625ms ,    4.308ms ,    0.235ms ,    0.000ms ,    0.367ms ,    0.060ms ,    0.502ms ,   31.250ms ,    9.444ms ,    8.944ms ,    2.739ms ,    0.000ms ,   10.492ms ,   10.152ms
sublime         , complete_vbo              ,   92.142ms ,  171.875ms ,   90.630ms ,   32.527ms ,   62.500ms ,   24.653ms ,   91.337ms ,   10.833ms ,    0.000ms ,    0.179ms ,    0.000ms ,   12.589ms ,   62.500ms ,    0.391ms ,    0.060ms ,    0.331ms ,    0.000ms ,    0.532ms ,    0.223ms ,    1.525ms ,    0.000ms ,   12.744ms ,   11.734ms ,    7.249ms ,    0.000ms ,   10.808ms ,   10.479ms
sublime         , one_ssbo                  ,   44.373ms ,   78.125ms ,   44.101ms ,    8.903ms ,    0.000ms ,   23.881ms ,   43.942ms ,    2.103ms ,    0.000ms ,    0.153ms ,    0.000ms ,    2.001ms ,    0.000ms ,    0.390ms ,    0.060ms ,    0.308ms ,    0.000ms ,    0.361ms ,    0.060ms ,    1.003ms ,    0.000ms ,   12.644ms ,   11.981ms ,    3.488ms ,    0.000ms ,   10.332ms ,    9.994ms
sublime         , ssbo_instr_list           ,   43.336ms ,   46.875ms ,   43.151ms ,    6.238ms ,   31.250ms ,   27.125ms ,   42.921ms ,    2.285ms ,    0.000ms ,    0.174ms ,    0.000ms ,    1.102ms ,    0.000ms ,    0.388ms ,    0.060ms ,    0.245ms ,    0.000ms ,    0.358ms ,    0.060ms ,    0.490ms ,    0.000ms ,   15.927ms ,   14.762ms ,    2.116ms ,   31.250ms ,   10.279ms ,    9.949ms
sublime         , ssbo_inlined_instr_6      ,   52.181ms ,   62.500ms ,   51.774ms ,   12.503ms ,   31.250ms ,   27.608ms ,   51.664ms ,    5.252ms ,   31.250ms ,    0.154ms ,    0.000ms ,    2.364ms ,    0.000ms ,    0.388ms ,    0.060ms ,    0.302ms ,    0.000ms ,    0.364ms ,    0.060ms ,    1.064ms ,    0.000ms ,   16.030ms ,   15.542ms ,    3.521ms ,    0.000ms ,   10.673ms ,   10.330ms
sublime         , ssbo_inlined_instr_4_4    ,   46.712ms ,   78.125ms ,   46.158ms ,    9.669ms ,   62.500ms ,   25.937ms ,   46.261ms ,    3.477ms ,   31.250ms ,    0.176ms ,    0.000ms ,    1.760ms ,   31.250ms ,    0.389ms ,    0.061ms ,    0.311ms ,    0.000ms ,    0.368ms ,    0.059ms ,    1.014ms ,    0.000ms ,   14.849ms ,   14.527ms ,    3.107ms ,    0.000ms ,   10.155ms ,    9.828ms
sublime         , ssbo_inlined_instr_6_6    ,   49.716ms ,   62.500ms ,   49.382ms ,   11.198ms ,   31.250ms ,   26.952ms ,   49.197ms ,    3.760ms ,    0.000ms ,    0.158ms ,    0.000ms ,    2.322ms ,    0.000ms ,    0.395ms ,    0.060ms ,    0.331ms ,    0.000ms ,    0.364ms ,    0.059ms ,    1.155ms ,    0.000ms ,   15.858ms ,   15.533ms ,    3.630ms ,   31.250ms ,   10.177ms ,    9.841ms
sublime         , ssbo_inlined_instr_8_8    ,   55.057ms ,  125.000ms ,   54.489ms ,   11.797ms ,   93.750ms ,   29.423ms ,   54.534ms ,    3.861ms ,   62.500ms ,    0.177ms ,    0.000ms ,    2.567ms ,    0.000ms ,    0.388ms ,    0.060ms ,    0.384ms ,    0.000ms ,    0.368ms ,    0.059ms ,    1.087ms ,    0.000ms ,   18.035ms ,   16.896ms ,    3.898ms ,   31.250ms ,   10.456ms ,   10.119ms
