scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,  278.446ms ,  562.500ms ,    0.000ms ,  277.639ms ,  562.500ms ,    0.000ms ,  275.706ms ,    0.027ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.056ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.046ms ,    0.000ms ,    0.000ms ,    0.000ms ,  276.376ms ,  562.500ms ,    0.000ms ,    0.000ms ,    1.134ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo                ,   28.930ms ,   46.875ms ,    0.000ms ,   27.862ms ,   46.875ms ,    0.000ms ,   28.732ms ,    2.919ms ,    0.000ms ,    0.000ms ,    0.000ms ,    6.900ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.227ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.498ms ,    0.000ms ,    0.000ms ,    0.000ms ,   17.318ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , simple_vbo_stor           ,   25.247ms ,   62.500ms ,    0.000ms ,   24.277ms ,   31.250ms ,    0.000ms ,   25.003ms ,    1.750ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.486ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.211ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.383ms ,    0.000ms ,    0.000ms ,    0.000ms ,   20.447ms ,   31.250ms ,    0.000ms ,    0.000ms
sublime         , complete_vbo              ,   52.692ms ,  125.000ms ,    0.000ms ,   50.226ms ,   62.500ms ,    0.000ms ,   52.292ms ,   20.203ms ,    0.000ms ,    0.000ms ,    0.000ms ,   12.874ms ,   46.875ms ,    0.000ms ,    0.000ms ,    0.150ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.800ms ,    0.000ms ,    0.000ms ,    0.000ms ,   16.199ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , one_ssbo                  ,   23.756ms ,   62.500ms ,    0.000ms ,   22.700ms ,   62.500ms ,    0.000ms ,   23.524ms ,    2.248ms ,   46.875ms ,    0.000ms ,    0.000ms ,    2.048ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.155ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.478ms ,    0.000ms ,    0.000ms ,    0.000ms ,   17.771ms ,   15.625ms ,    0.000ms ,    0.000ms
sublime         , ssbo_instr_list           ,   26.395ms ,   62.500ms ,    0.000ms ,   25.420ms ,   62.500ms ,    0.000ms ,   26.132ms ,    2.296ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.067ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.171ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.346ms ,    0.000ms ,    0.000ms ,    0.000ms ,   21.540ms ,   62.500ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6      ,   29.200ms ,   46.875ms ,    0.000ms ,   28.240ms ,   46.875ms ,    0.000ms ,   28.930ms ,    7.128ms ,    0.000ms ,    0.000ms ,    0.000ms ,    2.274ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.242ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.779ms ,    0.000ms ,    0.000ms ,    0.000ms ,   17.817ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_4_4    ,   26.578ms ,   46.875ms ,    0.000ms ,   25.562ms ,   46.875ms ,    0.000ms ,   26.319ms ,    3.498ms ,    0.000ms ,    0.000ms ,    0.000ms ,    1.732ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.166ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.565ms ,    0.000ms ,    0.000ms ,    0.000ms ,   19.601ms ,   46.875ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_6_6    ,   27.359ms ,   46.875ms ,    0.000ms ,   26.362ms ,   46.875ms ,    0.000ms ,   27.054ms ,    3.743ms ,   31.250ms ,    0.000ms ,    0.000ms ,    2.299ms ,   15.625ms ,    0.000ms ,    0.000ms ,    0.234ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.772ms ,    0.000ms ,    0.000ms ,    0.000ms ,   19.314ms ,    0.000ms ,    0.000ms ,    0.000ms
sublime         , ssbo_inlined_instr_8_8    ,   29.799ms ,   62.500ms ,    0.000ms ,   28.712ms ,   62.500ms ,    0.000ms ,   29.512ms ,    5.249ms ,    0.000ms ,    0.000ms ,    0.000ms ,    3.332ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.280ms ,    0.000ms ,    0.000ms ,    0.000ms ,    0.797ms ,    0.000ms ,    0.000ms ,    0.000ms ,   19.054ms ,   62.500ms ,    0.000ms ,    0.000ms
