scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,   29.154ms ,   62.500ms ,    0.529ms ,    1.665ms ,    0.000ms ,    0.386ms ,    0.009ms ,    0.000ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.005ms ,    0.000ms ,    0.005ms ,    0.000ms ,    0.014ms ,    0.000ms ,    0.006ms ,    0.002ms ,    1.602ms ,    0.000ms ,    0.267ms ,    0.263ms ,    0.044ms ,    0.000ms ,    0.107ms ,    0.104ms
sublime         , simple_vbo                ,    9.171ms ,   15.625ms ,    0.462ms ,    0.282ms ,    0.000ms ,    0.336ms ,    0.002ms ,    0.168ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.074ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.005ms ,    0.002ms ,    0.005ms ,    0.000ms ,    0.215ms ,    0.093ms ,    0.032ms ,    0.000ms ,    0.111ms ,    0.107ms
sublime         , simple_vbo_stor           ,    0.608ms ,    0.000ms ,    0.372ms ,    0.185ms ,    0.000ms ,    0.257ms ,    0.001ms ,    0.041ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.091ms ,    0.000ms ,    0.046ms ,    0.043ms ,    0.003ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.008ms ,    0.000ms ,    0.098ms ,    0.095ms ,    0.042ms ,    0.000ms ,    0.107ms ,    0.104ms
sublime         , complete_vbo              ,   16.910ms ,   31.250ms ,    0.361ms ,    0.680ms ,    0.000ms ,    0.243ms ,    0.003ms ,    0.298ms ,    0.000ms ,    0.001ms ,    0.000ms ,    0.246ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.002ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.059ms ,    0.000ms ,    0.126ms ,    0.122ms ,    0.075ms ,    0.000ms ,    0.108ms ,    0.105ms
sublime         , one_ssbo                  ,   22.619ms ,   31.250ms ,    0.358ms ,    0.195ms ,    0.000ms ,    0.242ms ,    0.002ms ,    0.045ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.080ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.025ms ,    0.000ms ,    0.125ms ,    0.122ms ,    0.042ms ,    0.000ms ,    0.108ms ,    0.105ms
sublime         , ssbo_instr_list           ,   42.313ms ,   93.750ms ,    0.407ms ,    0.105ms ,    0.000ms ,    0.284ms ,    0.002ms ,    0.040ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.025ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.002ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.008ms ,    0.000ms ,    0.164ms ,    0.160ms ,    0.030ms ,    0.000ms ,    0.111ms ,    0.107ms
sublime         , ssbo_inlined_instr_6      ,  113.988ms ,  250.000ms ,    0.454ms ,    0.290ms ,    0.000ms ,    0.302ms ,    0.002ms ,    0.165ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.076ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.004ms ,    0.000ms ,    0.009ms ,    0.000ms ,    0.178ms ,    0.174ms ,    0.037ms ,    0.000ms ,    0.114ms ,    0.110ms
sublime         , ssbo_inlined_instr_4_4    ,   83.818ms ,  187.500ms ,    0.436ms ,    0.185ms ,    0.000ms ,    0.297ms ,    0.003ms ,    0.052ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.062ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.004ms ,    0.001ms ,    0.025ms ,    0.000ms ,    0.172ms ,    0.168ms ,    0.043ms ,    0.000ms ,    0.114ms ,    0.111ms
sublime         , ssbo_inlined_instr_6_6    ,    6.443ms ,    0.000ms ,    0.437ms ,    0.251ms ,    0.000ms ,    0.311ms ,    0.003ms ,    0.094ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.094ms ,    0.000ms ,    0.005ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.005ms ,    0.001ms ,    0.016ms ,    0.000ms ,    0.184ms ,    0.181ms ,    0.044ms ,    0.000ms ,    0.116ms ,    0.112ms
sublime         , ssbo_inlined_instr_8_8    ,  152.389ms ,  281.250ms ,    0.557ms ,    0.259ms ,    0.000ms ,    0.389ms ,    0.002ms ,    0.083ms ,    0.000ms ,    0.002ms ,    0.000ms ,    0.094ms ,    0.000ms ,    0.005ms ,    0.001ms ,    0.003ms ,    0.000ms ,    0.005ms ,    0.001ms ,    0.023ms ,    0.000ms ,    0.248ms ,    0.243ms ,    0.056ms ,    0.000ms ,    0.128ms ,    0.124ms
