scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , 1rect_1draw               ,     1 ,     1665us ,        0us ,  385.920us ,        9us ,        0us ,        0us ,    1.600us ,    0.000us ,        5us ,        0us ,    5.440us ,    0.480us ,       14us ,        0us ,    5.600us ,    2.400us ,     1602us ,        0us ,  266.560us ,  263.040us ,       44us ,        0us ,  106.720us ,  103.840us
sublime         , simple_vbo                ,     1 ,      282us ,        0us ,  336.320us ,        2us ,      168us ,        0us ,    1.440us ,    0.000us ,       74us ,        0us ,    4.000us ,    0.640us ,        3us ,        0us ,    5.120us ,    2.080us ,        5us ,        0us ,  215.200us ,   93.120us ,       32us ,        0us ,  110.560us ,  107.360us
sublime         , simple_vbo_stor           ,     1 ,      185us ,        0us ,  256.800us ,        1us ,       41us ,        0us ,    1.440us ,    0.000us ,       91us ,        0us ,   46.400us ,   43.200us ,        3us ,        0us ,    3.680us ,    0.480us ,        8us ,        0us ,   97.920us ,   94.720us ,       42us ,        0us ,  107.360us ,  104.480us
sublime         , complete_vbo              ,     1 ,      680us ,        0us ,  242.880us ,        3us ,      298us ,        0us ,    1.440us ,    0.000us ,      246us ,        0us ,    3.840us ,    0.640us ,        2us ,        0us ,    3.520us ,    0.640us ,       59us ,        0us ,  125.600us ,  122.400us ,       75us ,        0us ,  108.480us ,  105.440us
sublime         , one_ssbo                  ,     1 ,      195us ,        0us ,  242.240us ,        2us ,       45us ,        0us ,    1.600us ,    0.000us ,       80us ,        0us ,    3.520us ,    0.640us ,        3us ,        0us ,    4.160us ,    0.480us ,       25us ,        0us ,  125.120us ,  121.760us ,       42us ,        0us ,  107.840us ,  104.960us
sublime         , ssbo_instr_list           ,     1 ,      105us ,        0us ,  284.000us ,        2us ,       40us ,        0us ,    1.600us ,    0.000us ,       25us ,        0us ,    3.840us ,    0.640us ,        2us ,        0us ,    4.000us ,    0.640us ,        8us ,        0us ,  163.840us ,  160.160us ,       30us ,        0us ,  110.720us ,  107.360us
sublime         , ssbo_inlined_instr_6      ,     1 ,      290us ,        0us ,  301.920us ,        2us ,      165us ,        0us ,    1.600us ,    0.000us ,       76us ,        0us ,    4.000us ,    0.640us ,        3us ,        0us ,    4.480us ,    0.480us ,        9us ,        0us ,  178.080us ,  174.240us ,       37us ,        0us ,  113.760us ,  110.080us
sublime         , ssbo_inlined_instr_4_4    ,     1 ,      185us ,        0us ,  296.640us ,        3us ,       52us ,        0us ,    1.600us ,    0.000us ,       62us ,        0us ,    4.160us ,    0.640us ,        3us ,        0us ,    4.480us ,    0.640us ,       25us ,        0us ,  172.000us ,  168.320us ,       43us ,        0us ,  114.400us ,  110.560us
sublime         , ssbo_inlined_instr_6_6    ,     1 ,      251us ,        0us ,  310.880us ,        3us ,       94us ,        0us ,    1.600us ,    0.000us ,       94us ,        0us ,    4.640us ,    0.800us ,        3us ,        0us ,    4.640us ,    0.640us ,       16us ,        0us ,  184.160us ,  180.640us ,       44us ,        0us ,  115.840us ,  112.160us
sublime         , ssbo_inlined_instr_8_8    ,     1 ,      259us ,        0us ,  388.640us ,        2us ,       83us ,        0us ,    2.080us ,    0.000us ,       94us ,        0us ,    5.440us ,    0.960us ,        3us ,        0us ,    5.440us ,    0.800us ,       23us ,        0us ,  247.680us ,  243.040us ,       56us ,        0us ,  128.000us ,  123.840us
